paper,author,affiliations
Characterization of a fiber laser hydrophone for acoustic neutrino detection,E. J. Buis,"TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands; Nikhef, National Institute for Subatomic Physics, Amsterdam, The Netherlands"
Characterization of a fiber laser hydrophone for acoustic neutrino detection,A. M. von Benda-Beckmann,"TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"
Characterization of a fiber laser hydrophone for acoustic neutrino detection,E. Doppenberg,"TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"
Characterization of a fiber laser hydrophone for acoustic neutrino detection,J. Dorant,"TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"
Characterization of a fiber laser hydrophone for acoustic neutrino detection,T. H. Jansen,"TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"
Characterization of a fiber laser hydrophone for acoustic neutrino detection,P. Toet,"TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"
Characterization of a fiber laser hydrophone for acoustic neutrino detection,P. Verhooren,"TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"
Characterization of a fiber laser hydrophone for acoustic neutrino detection,J. de Vreugd,"TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"

The case for large-scale AGN feedback in galaxy formation simulations: insights from XFABLE,Leah Bigwood,"Institute of Astronomy, University of Cambridge, Cambridge, UK; Kavli Institute for Cosmology, University of Cambridge, Cambridge, UK"
The case for large-scale AGN feedback in galaxy formation simulations: insights from XFABLE,Martin A. Bourne,"Institute of Astronomy, University of Cambridge, Cambridge, UK; Kavli Institute for Cosmology, University of Cambridge, Cambridge, UK; Centre for Astrophysics Research, University of Hertfordshire, Hatfield, UK"
The case for large-scale AGN feedback in galaxy formation simulations: insights from XFABLE,Vid Iršič,"Kavli Institute for Cosmology, University of Cambridge, Cambridge, UK; SISSA, Trieste, Italy; IFPU, Trieste, Italy; INFN Sezione di Trieste, Italy; INAF Osservatorio Astronomico di Trieste, Italy"
The case for large-scale AGN feedback in galaxy formation simulations: insights from XFABLE,Alexandra Amon,"Department of Astrophysical Sciences, Princeton University, Princeton, NJ, USA; Kavli Institute for Cosmology, University of Cambridge, Cambridge, UK"
The case for large-scale AGN feedback in galaxy formation simulations: insights from XFABLE,Debora Sijacki,"Institute of Astronomy, University of Cambridge, Cambridge, UK; Kavli Institute for Cosmology, University of Cambridge, Cambridge, UK"

Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II,Chiara Buttitta,"INAF – Astronomical Observatory of Capodimonte, Naples, Italy"
Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II,Enrichetta Iodice,"INAF – Astronomical Observatory of Capodimonte, Naples, Italy"
Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II,Goran Doll,"INAF – Astronomical Observatory of Capodimonte, Naples, Italy; University of Naples Federico II, Naples, Italy"
Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II,Johanna Hartke,"Finnish Centre for Astronomy with ESO (FINCA), University of Turku, Finland; Tuorla Observatory, University of Turku, Finland"
Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II,Michael Hilker,"European Southern Observatory, Garching, Germany"
Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II,Duncan A. Forbes,"Centre for Astrophysics and Supercomputing, Swinburne University of Technology, Australia"
Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II,Enrico M. Corsini,"INAF – Osservatorio Astronomico di Padova, Padova, Italy; Dipartimento di Fisica e Astronomia, Università di Padova, Padova, Italy"
Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II,Luca Rossi,"INAF – Astronomical Observatory of Capodimonte, Naples, Italy; University of Naples Federico II, Naples, Italy"
Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II,Magda Arnaboldi,"European Southern Observatory, Garching, Germany"
Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II,Michele Cantiello,"INAF – Astronomical Observatory of Abruzzo, Teramo, Italy"
Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II,Giuseppe D'Ago,"Institute of Astronomy, University of Cambridge, Cambridge, UK"
Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II,Jesús Falcón-Barroso,"Instituto de Astrofísica de Canarias, Tenerife, Spain; Universidad de La Laguna, Tenerife, Spain"

paper,author,affiliations
DASCH: Bringing 100+ Years of Photographic Data into the 21st Century and Beyond,Peter K. G. Williams,"Center for Astrophysics | Harvard & Smithsonian, Cambridge, MA, USA"

Constraining the shape of dark matter haloes using only starlight. I. A new technique and its application to the galaxy Nube,Jorge Sánchez Almeida,"Instituto de Astrofísica de Canarias, La Laguna, Tenerife, E-38200, Spain; Departamento de Astrofísica, Universidad de La Laguna, Spain"
Constraining the shape of dark matter haloes using only starlight. I. A new technique and its application to the galaxy Nube,Ignacio Trujillo,"Instituto de Astrofísica de Canarias, La Laguna, Tenerife, E-38200, Spain; Departamento de Astrofísica, Universidad de La Laguna, Spain"
Constraining the shape of dark matter haloes using only starlight. I. A new technique and its application to the galaxy Nube,Mireia Montes,"Institute of Space Sciences (ICE, CSIC), Campus UAB, Carrer de Can Magrans, s/n, 08193 Barcelona, Spain"
Constraining the shape of dark matter haloes using only starlight. I. A new technique and its application to the galaxy Nube,Angel R. Plastino,"CeBio y Departamento de Ciencias Básicas, Universidad Nacional del Noroeste de la Prov. de Buenos Aires (UNNOBA), CONICET, Roque Saenz Peña 456, Junín, Argentina"

Structure formation in O-type stars and Wolf-Rayet stars,C. Van der Sijpt,"Institute of Astronomy, KU Leuven, Celestijnenlaan 200D, 3001 Leuven, Belgium"
Structure formation in O-type stars and Wolf-Rayet stars,J. O. Sundqvist,"Institute of Astronomy, KU Leuven, Celestijnenlaan 200D, 3001 Leuven, Belgium"
Structure formation in O-type stars and Wolf-Rayet stars,D. Debnath,"Institute of Astronomy, KU Leuven, Celestijnenlaan 200D, 3001 Leuven, Belgium"
Structure formation in O-type stars and Wolf-Rayet stars,F. A. Driessen,"Anton Pannekoek Institute for Astronomy, University of Amsterdam, 1090GE Amsterdam, The Netherlands"
Structure formation in O-type stars and Wolf-Rayet stars,N. Moens,"Institute of Astronomy, KU Leuven, Celestijnenlaan 200D, 3001 Leuven, Belgium"

Follow-up on three poorly studied AM CVn stars,Amornrat Aungwerojwit,"Department of Physics, Faculty of Science, Naresuan University, Phitsanulok, 65000, Thailand"
Follow-up on three poorly studied AM CVn stars,Boris T. Gänsicke,"Department of Physics, University of Warwick, Coventry, CV4 7AL, UK"
Follow-up on three poorly studied AM CVn stars,E. Breedt,"Institute of Astronomy, University of Cambridge, Cambridge, CB3 0HA, UK"
Follow-up on three poorly studied AM CVn stars,S. Arjyotha,"Department of Physics, Faculty of Science, Naresuan University, Phitsanulok, 65000, Thailand"
Follow-up on three poorly studied AM CVn stars,J. J. Hermes,"Department of Astronomy, Boston University, Boston, MA 02215, USA"
Follow-up on three poorly studied AM CVn stars,F.-J. Hambsch,"Vereniging Voor Sterrenkunde (VVS), Brugge, Belgium; Bundesdeutsche Arbeitsgemeinschaft für Veränderliche Sterne, Berlin, Germany; AAVSO, Cambridge, MA, USA"
Follow-up on three poorly studied AM CVn stars,A. Kumar,"Department of Physics, University of Warwick, Coventry, CV4 7AL, UK; Department of Physics, Royal Holloway, University of London, Egham, Surrey, TW20 0EX, UK"
Follow-up on three poorly studied AM CVn stars,S. H. Ramírez,"Department of Physics, University of Warwick, Coventry, CV4 7AL, UK"
Follow-up on three poorly studied AM CVn stars,T. G. Wilson,"Department of Physics, University of Warwick, Coventry, CV4 7AL, UK"
Follow-up on three poorly studied AM CVn stars,V. S. Dhillon,"Department of Physics and Astronomy, University of Sheffield, Sheffield S3 7RH, UK; Instituto de Astrofísica de Canarias, La Laguna, Tenerife, Spain"
Follow-up on three poorly studied AM CVn stars,T. R. Marsh,"Department of Physics, University of Warwick, Coventry, CV4 7AL, UK"
Follow-up on three poorly studied AM CVn stars,S. Poshyachinda,"National Astronomical Research Institute of Thailand (Public Organization), Chiangmai, 50180, Thailand"
Follow-up on three poorly studied AM CVn stars,S. Scaringi,"Centre for Extragalactic Astronomy, University of Durham, Durham DH1 3LE, UK; INAF–Osservatorio Astronomico di Capodimonte, Naples, Italy"
Follow-up on three poorly studied AM CVn stars,J. B. Haislip,"Department of Physics and Astronomy, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599, USA"
Follow-up on three poorly studied AM CVn stars,D. E. Reichart,"Department of Physics and Astronomy, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599, USA"

Type I X-ray Burst Emission Reflected into the Eclipses of EXO 0748-676,Amy H. Knight,"Centre for Extragalactic Astronomy, Durham University, Durham DH1 3LE, UK; Department of Physics, University of Oxford, Oxford OX1 3RH, UK"
Type I X-ray Burst Emission Reflected into the Eclipses of EXO 0748-676,Jakob van den Eijnden,"Department of Physics, University of Warwick, Coventry, CV4 7AL, UK; Department of Physics, University of Oxford, Oxford OX1 3RH, UK"
Type I X-ray Burst Emission Reflected into the Eclipses of EXO 0748-676,Adam Ingram,"School of Mathematics, Statistics, and Physics, Newcastle University, Newcastle upon Tyne, UK; Department of Physics, University of Oxford, Oxford OX1 3RH, UK"
Type I X-ray Burst Emission Reflected into the Eclipses of EXO 0748-676,James H. Matthews,"Department of Physics, University of Oxford, Oxford OX1 3RH, UK"
Type I X-ray Burst Emission Reflected into the Eclipses of EXO 0748-676,Sara E. Motta,"INAF, Osservatorio Astronomico di Brera, Merate (LC), Italy"
Type I X-ray Burst Emission Reflected into the Eclipses of EXO 0748-676,Matthew Middleton,"School of Physics and Astronomy, University of Southampton, Southampton SO17 1BJ, UK"
Type I X-ray Burst Emission Reflected into the Eclipses of EXO 0748-676,Giulio C. Mancuso,"Instituto Argentino de Radioastronomía (CCT-La Plata, CONICET; CICPBA), Villa Elisa, Argentina; Facultad de Ciencias Astronómicas y Geofísicas, Universidad Nacional de La Plata, La Plata, Argentina"
Type I X-ray Burst Emission Reflected into the Eclipses of EXO 0748-676,Douglas J. K. Buisson,"Independent Researcher"
Type I X-ray Burst Emission Reflected into the Eclipses of EXO 0748-676,Diego Altamirano,"School of Physics and Astronomy, University of Southampton, Southampton SO17 1BJ, UK"
Type I X-ray Burst Emission Reflected into the Eclipses of EXO 0748-676,Rob Fender,"Department of Physics, University of Oxford, Oxford OX1 3RH, UK"
Type I X-ray Burst Emission Reflected into the Eclipses of EXO 0748-676,Timothy P. Roberts,"Centre for Extragalactic Astronomy, Durham University, Durham DH1 3LE, UK"

TiDES: The 4MOST Time Domain Extragalactic Survey,C. Frohmaier,"School of Physics and Astronomy, University of Southampton, Southampton, SO17 1BJ, UK"
TiDES: The 4MOST Time Domain Extragalactic Survey,M. Vincenzi,"Department of Physics, University of Oxford, Oxford, OX1 3RH, UK"
TiDES: The 4MOST Time Domain Extragalactic Survey,M. Sullivan,"School of Physics and Astronomy, University of Southampton, Southampton, SO17 1BJ, UK"
TiDES: The 4MOST Time Domain Extragalactic Survey,S. F. Hönig,"School of Physics and Astronomy, University of Southampton, Southampton, SO17 1BJ, UK"
TiDES: The 4MOST Time Domain Extragalactic Survey,M. Smith,"Department of Physics, Lancaster University, Lancaster, LA1 4YB, UK"
TiDES: The 4MOST Time Domain Extragalactic Survey,H. Addison,"School of Mathematics and Physics, University of Surrey, Guildford, GU2 7XH, UK"
TiDES: The 4MOST Time Domain Extragalactic Survey,T. Collett,"Institute of Cosmology and Gravitation, University of Portsmouth, Portsmouth PO1 3FX, UK"
TiDES: The 4MOST Time Domain Extragalactic Survey,G. Dimitriadis,"Department of Physics, Lancaster University, Lancaster, LA1 4YB, UK"
TiDES: The 4MOST Time Domain Extragalactic Survey,R. S. Ellis,"Department of Physics & Astronomy, University College London, London WC1E 6BT, UK"
TiDES: The 4MOST Time Domain Extragalactic Survey,P. Gandhi,"School of Physics and Astronomy, University of Southampton, Southampton, SO17 1BJ, UK"
TiDES: The 4MOST Time Domain Extragalactic Survey,O. Graur,"Institute of Cosmology and Gravitation, University of Portsmouth, Portsmouth PO1 3FX, UK; Department of Astrophysics, American Museum of Natural History, New York, NY 10024-5192, USA"
TiDES: The 4MOST Time Domain Extragalactic Survey,I. Hook,"Department of Physics, Lancaster University, Lancaster, LA1 4YB, UK"

HH 270/110 as a jet/shear layer interaction,A. C. Raga,"Instituto de Ciencias Nucleares \ Universidad Nacional Aut'onoma de M'exico \ Ap. 70-543, Ciudad Universitaria, CDMX 04510, M'exico"
HH 270/110 as a jet/shear layer interaction,A. Noriega-Crespo,"Space Telescope Science Institute \ 3700 San Martin Dr.\ Baltimore, MD 21211, USA"
HH 270/110 as a jet/shear layer interaction,A. Castellanos-Ram'\i rez;J. Cant'o,"Instituto de Astronom'\i a \ Universidad Nacional Aut'onoma de M'exico \ Ap. 70-658, Ciudad Universitaria, CDMX 04510, M'exico"
HH 270/110 as a jet/shear layer interaction,H. Arce,"Dep. of Astronomy, Yale University\ New Haven, CT 06511m USA"
HH 270/110 as a jet/shear layer interaction,M. Lebr'on;J.L Morales Ortiz,"Univ. of Puerto Rico-R'\i o Piedras \ General Studies Faculty, Dep. of Physical Sciences \ San Juan, Puerto Rico, USA; Univ. of Puerto Rico-R'\i o Piedras \ Natural Sciences Faculty, Dep. of Physics \ San Juan, Puerto Rico, USA"
HH 270/110 as a jet/shear layer interaction,A. N. Ortiz Capeles;C. A. Pantoja,"Univ. of Puerto Rico-R'\i o Piedras \ Natural Sciences Faculty, Dep. of Physics \ San Juan, Puerto Rico, USA"

Can supermassive stars form in protogalaxies due to internal Lyman-Werner feedback?,James Sullivan,"Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"
Can supermassive stars form in protogalaxies due to internal Lyman-Werner feedback?,Zolt'an Haiman,"Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Institute of Science and Technology Austria (ISTA), Am Campus 1, Klosterneuburg 3400, Austria"
Can supermassive stars form in protogalaxies due to internal Lyman-Werner feedback?,Mihir Kulkarni,"University of Toledo, Department of Physics and Astronomy and Ritter Astrophysical Research Center, 2801 W. Bancroft Street, Toledo, Ohio 43606; Institut für Astrophysik, Georg-August Universität Göttingen, Friedrich-Hund-Platz 1, D-37077 Göttingen, Germany"
Can supermassive stars form in protogalaxies due to internal Lyman-Werner feedback?,Eli Visbal,"University of Toledo, Department of Physics and Astronomy and Ritter Astrophysical Research Center, 2801 W. Bancroft Street, Toledo, Ohio 43606"

The Machine Learning to reconstruct GRB lightcurves,M. G. Dainotti,"Division of Science,National Astronomical Observatory of Japan, 2 Chome-21-1 Osawa, Mitaka, Tokyo, 181-8588, Japan; The Graduate University for Advanced Studies, SOKENDAI, Shonankokusaimura, Hayama, Miura District, Kanagawa, 240-0115, Japan; Space Science Institutes , 4765 Walnut St Ste B, Boulder, 80301, CO, USA; Nevada Center for Astrophysics, University of Nevada,89154, 4505 Maryland Parkway, Las Vegas, 80301, NV, USA"
The Machine Learning to reconstruct GRB lightcurves,B. De Simone,"Dipartimento di Fisica “E.R. Caianiello”, Università di Salerno, Via Giovanni Paolo II, 132, Fisciano, Salerno, 84084, Italy; INFN Gruppo Collegato di Salerno- Sezione di Napoli. c/o Dipartimento di Fisica ”E.R. Caianiello”, Università di Salerno, Via Giovanni Paolo II, 132, Fisciano, Salerno, 84084, Italy"
The Machine Learning to reconstruct GRB lightcurves,A. Narendra,"Doctoral School of Exact and Natural Sciences, Jagiellonian University, Krakow, Poland; Astronomical Observatory of Jagiellonian University, Krakow, Poland"
The Machine Learning to reconstruct GRB lightcurves,A. Pollo,"Astronomical Observatory of Jagiellonian University, Krakow, Poland; National Center for Nuclear Physics (NCB), Warsaw"

Effect of Numerical Resolution on Synthetic Observables of Simulated Coronal Loops,Keith T. Smith,"Royal Astronomical Society, Burlington House, Piccadilly, London W1J 0BQ, UK"
Effect of Numerical Resolution on Synthetic Observables of Simulated Coronal Loops,A. N. Other,"Department, Institution, Street Address, City Postal Code, Country"
Effect of Numerical Resolution on Synthetic Observables of Simulated Coronal Loops,Third Author,"Department, Institution, Street Address, City Postal Code, Country; Another Department, Different Institution, Street Address, City Postal Code, Country"
Effect of Numerical Resolution on Synthetic Observables of Simulated Coronal Loops,Fourth Author,"Another Department, Different Institution, Street Address, City Postal Code, Country"

Tracing magnetic switchbacks to their source: An assessment of solar coronal jets as switchback precursors,N. Bizien,"LPC2E, OSUC, Univ Orleans, CNRS, CNES, F-45071 Orleans, France"
Tracing magnetic switchbacks to their source: An assessment of solar coronal jets as switchback precursors,C. Froment,"LPC2E, OSUC, Univ Orleans, CNRS, CNES, F-45071 Orleans, France"
Tracing magnetic switchbacks to their source: An assessment of solar coronal jets as switchback precursors,M. S. Madjarska,"Max Planck Institute for Solar System Research, Justus-von-Liebig-Weg 3, 37077, G"ottingen, Germany; Korea Astronomy and Space Science Institute, 34055, Daejeon, Republic of Korea; Space Research and Technology Institute, Bulgarian Academy of Sciences, Acad. G. Bonchev Str., Bl. 1, 1113, Sofia, Bulgaria"
Tracing magnetic switchbacks to their source: An assessment of solar coronal jets as switchback precursors,T. Dudok de Wit,"LPC2E, OSUC, Univ Orleans, CNRS, CNES, F-45071 Orleans, France; International Space Science Institute, 3012, Bern, Switzerland"
Tracing magnetic switchbacks to their source: An assessment of solar coronal jets as switchback precursors,M. Velli,"Earth, Planetary & Space Sciences, University of California, Los Angeles, CA, USA"

Period Analysis of Eclipsing Cataclysmic Variable Stars,Mennatalla Mahmoud Ellaqany;Valeria Garcia-Lopez;Emily S. Hatten;Mridul Agarwal;David A. Moffett,"Department of Physics\ Furman University\ Greenville, South Carolina 29613, USA"

Characterizing WASP-43b's interior structure: unveiling tidal decay and apsidal motion,L. M. Bernab`o,"Institute of Planetary Research, German Aerospace Center (DLR), Rutherfordstrasse 2, 12489 Berlin, Germany"
Characterizing WASP-43b's interior structure: unveiling tidal decay and apsidal motion,Sz. Csizmadia,"Institute of Planetary Research, German Aerospace Center (DLR), Rutherfordstrasse 2, 12489 Berlin, Germany; ELKH-SZTE Stellar Astrophysics Research Group, H-6500 Baja, Szegedi 'ut Kt. 766, Hungary"
Characterizing WASP-43b's interior structure: unveiling tidal decay and apsidal motion,A.~M.~S.~Smith,"Institute of Planetary Research, German Aerospace Center (DLR), Rutherfordstrasse 2, 12489 Berlin, Germany"
Characterizing WASP-43b's interior structure: unveiling tidal decay and apsidal motion,J.-V. Harre,"Institute of Planetary Research, German Aerospace Center (DLR), Rutherfordstrasse 2, 12489 Berlin, Germany"
Characterizing WASP-43b's interior structure: unveiling tidal decay and apsidal motion,Sz. K'alm'an,"Konkoly Observatory, Research Centre for Astronomy and Earth Sciences, HUN-REN, MTA Centre of Excellence, Konkoly-Thege Miklós út 15–17., 1121, Hungary; HUN-REN-ELTE Exoplanet Research Group, Szombathely, Szent Imre h. u. 112., 9700, Hungary; ELTE Eötvös Loránd University, Doctoral School of Physics, Budapest, Pázmány Péter sétány 1/A, 1117, Hungary"
Characterizing WASP-43b's interior structure: unveiling tidal decay and apsidal motion,J. Cabrera,"Institute of Planetary Research, German Aerospace Center (DLR), Rutherfordstrasse 2, 12489 Berlin, Germany"
Characterizing WASP-43b's interior structure: unveiling tidal decay and apsidal motion,H. Rauer,"Institute of Planetary Research, German Aerospace Center (DLR), Rutherfordstrasse 2, 12489 Berlin, Germany; Institut f{"u}r Geologische Wissenschaften, Freie Universit{"a}t Berlin, 12249 Berlin, Germany"
Characterizing WASP-43b's interior structure: unveiling tidal decay and apsidal motion,D. Gandolfi,"Dipartimento di Fisica, Universit{`a} degli Studi di Torino, Via Pietro Giuria, 1, 10125 Torino, Italy"
Characterizing WASP-43b's interior structure: unveiling tidal decay and apsidal motion,L. Pino,"INAF – Osservatorio Astrofisico di Arcetri, Largo Enrico Fermi 5, 50125 Firenze, Italy"
Characterizing WASP-43b's interior structure: unveiling tidal decay and apsidal motion,D. Ehrenreich,"Observatoire Astronomique de l’Université de Genève, Chemin Pegasi 51, 1290 Versoix, Switzerland; Centre Vie dans l’Univers, Faculté des sciences, Université de Genève, Quai Ernest-Ansermet 30, 1211 Genève 4, Switzerland"
Characterizing WASP-43b's interior structure: unveiling tidal decay and apsidal motion,A. Hatzes,"Th{"u}ringer Landessternwarte Tautenburg, Sternwarte 5, 07778 Tautenburg, Germany"

AMICO-WL: an optimal filtering algorithm for galaxy cluster detections with weak lensing,L. Trobbiani,"Dipartimento di Fisica e Astronomia ""A. Righi"", Alma Mater Studiorum Universit`a di Bologna, Via Gobetti 93/2, I-40129 Bologna, Italy; INAF, Osservatorio di Astrofisica e Scienza dello Spazio di Bologna, Via Gobetti 93/3, I-40129 Bologna, Italy"
AMICO-WL: an optimal filtering algorithm for galaxy cluster detections with weak lensing,M. Maturi,"Zentrum f"ur Astronomie, Universitat"at Heidelberg, Philosophenweg 12, D-69120 Heidelberg, Germany; Institute for Theoretical Physics, Philosophenweg 16, D-69120 Heidelberg, Germany"
AMICO-WL: an optimal filtering algorithm for galaxy cluster detections with weak lensing,C. Giocoli,"INAF, Osservatorio di Astrofisica e Scienza dello Spazio di Bologna, Via Gobetti 93/3, I-40129 Bologna, Italy; INFN, Sezione di Bologna, viale Berti Pichat 6/2, I-40127 Bologna, Italy"
AMICO-WL: an optimal filtering algorithm for galaxy cluster detections with weak lensing,L. Moscardini,"Dipartimento di Fisica e Astronomia ""A. Righi"", Alma Mater Studiorum Universit`a di Bologna, Via Gobetti 93/2, I-40129 Bologna, Italy; INAF, Osservatorio di Astrofisica e Scienza dello Spazio di Bologna, Via Gobetti 93/3, I-40129 Bologna, Italy; INFN, Sezione di Bologna, viale Berti Pichat 6/2, I-40127 Bologna, Italy"
AMICO-WL: an optimal filtering algorithm for galaxy cluster detections with weak lensing,G. Panebianco,"Dipartimento di Fisica e Astronomia ""A. Righi"", Alma Mater Studiorum Universit`a di Bologna, Via Gobetti 93/2, I-40129 Bologna, Italy; INAF, Osservatorio di Astrofisica e Scienza dello Spazio di Bologna, Via Gobetti 93/3, I-40129 Bologna, Italy"

Real-time RFI Excision Techniques and their Limitations,Kaushal D. Buch,"Giant Metrewave Radio Telescope, NCRA-TIFR, Pune 410504, Maharashtra, India"
Real-time RFI Excision Techniques and their Limitations,Ruta Kale,"Giant Metrewave Radio Telescope, NCRA-TIFR, Pune 410504, Maharashtra, India"
Real-time RFI Excision Techniques and their Limitations,Kishor D. Naik,"Giant Metrewave Radio Telescope, NCRA-TIFR, Pune 410504, Maharashtra, India"
Real-time RFI Excision Techniques and their Limitations,Ajithkumar B.,"Giant Metrewave Radio Telescope, NCRA-TIFR, Pune 410504, Maharashtra, India"
Real-time RFI Excision Techniques and their Limitations,Thushara Gunaratne,"Herzberg Astronomy and Astrophysics Research Center, National Research Council Canada, Canada"
Real-time RFI Excision Techniques and their Limitations,N. Habana,"NASA Goddard Space Flight Centre, Maryland, USA"
Real-time RFI Excision Techniques and their Limitations,Gregory Hellbourg,"California Institute of Technology, Pasadena, CA, USA"
Real-time RFI Excision Techniques and their Limitations,Jane Kaczmarek,"CSIRO Space & Astronomy, Australia"
Real-time RFI Excision Techniques and their Limitations,L. Petrov,"NASA Goddard Space Flight Centre, Maryland, USA"
Real-time RFI Excision Techniques and their Limitations,Cedric Viou,"Nancay Observatory, France"
Real-time RFI Excision Techniques and their Limitations,Benjamin Winkel,"Max Planck Institute for Radio Astronomy (MPIfR), Bonn, Germany"

On the Use of WGANs for Super Resolution in Dark-Matter Simulations,John Brennan,"Centre for Astrophysics and Space Science Maynooth, Department of Physics, Maynooth University, Maynooth, Ireland"
On the Use of WGANs for Super Resolution in Dark-Matter Simulations,Sreedhar Balu,"School of Physics, University of Melbourne, Parkville, VIC 3010, Australia; Facultad de Físicas, Multidisciplinary Unit for Energy Science, Universidad de Sevilla, 41012, Seville, Spain; ARC Centre of Excellence for All Sky Astrophysics in 3 Dimensions (ASTRO 3D)"
On the Use of WGANs for Super Resolution in Dark-Matter Simulations,Yuxiang Qin,"Research School of Astronomy and Astrophysics, Australian National University, Canberra, ACT 2611, Australia"
On the Use of WGANs for Super Resolution in Dark-Matter Simulations,John Regan,"Centre for Astrophysics and Space Science Maynooth, Department of Physics, Maynooth University, Maynooth, Ireland"
On the Use of WGANs for Super Resolution in Dark-Matter Simulations,Chris Power,"ARC Centre of Excellence for All Sky Astrophysics in 3 Dimensions (ASTRO 3D); International Centre for Radio Astronomy Research (ICRAR), M468, University of Western Australia, 35 Stirling Hwy, Crawley, WA 6009, Australia"

Horizontal flows in the atmospheres of chemically peculiar stars,A. ud-Doula,"Penn State Scranton, 120 Ridge View Drive, Dunmore, PA 18512, USA"
Horizontal flows in the atmospheres of chemically peculiar stars,J. Krti{\v{c}}ka,"Department of Theoretical Physics and Astrophysics, Masaryk University, Kotl'a\v rsk' a 2, CZ-611,37 Brno, Czech Republic"
