title,abstract,authors,published,link,category,summary,keywords,affiliation
Enhancing Visual Representation for Text-based Person Searching,"Text-based person search aims to retrieve the matched pedestrians from a
large-scale image database according to the text description. The core
difficulty of this task is how to extract effective details from pedestrian
images and texts, and achieve cross-modal alignment in a common latent space.
Prior works adopt image and text encoders pre-trained on unimodal data to
extract global and local features from image and text respectively, and then
global-local alignment is achieved explicitly. However, these approaches still
lack the ability of understanding visual details, and the retrieval accuracy is
still limited by identity confusion. In order to alleviate the above problems,
we rethink the importance of visual features for text-based person search, and
propose VFE-TPS, a Visual Feature Enhanced Text-based Person Search model. It
introduces a pre-trained multimodal backbone CLIP to learn basic multimodal
features and constructs Text Guided Masked Image Modeling task to enhance the
model's ability of learning local visual details without explicit annotation.
In addition, we design Identity Supervised Global Visual Feature Calibration
task to guide the model learn identity-aware global visual features. The key
finding of our study is that, with the help of our proposed auxiliary tasks,
the knowledge embedded in the pre-trained CLIP model can be successfully
adapted to text-based person search task, and the model's visual understanding
ability is significantly enhanced. Experimental results on three benchmarks
demonstrate that our proposed model exceeds the existing approaches, and the
Rank-1 accuracy is significantly improved with a notable margin of about
$1\%\sim9\%$. Our code can be found at
https://github.com/zhangweifeng1218/VFE_TPS.","Wei Shen, Ming Fang, Yuxia Wang, Jiafeng Xiao, Diping Li, Huangqun Chen, Ling Xu, Weifeng Zhang",2024-12-30,http://arxiv.org/abs/2412.20646v1,cs.CV,"This paper proposes VFE-TPS, a Visual Feature Enhanced Text-based Person Search model that uses a pre-trained multimodal backbone CLIP to learn basic multimodal features and constructs two auxiliary tasks to enhance local visual details and identity-aware global visual features for text-based person search.",Visual representation text-based person searching,
"Latent Drifting in Diffusion Models for Counterfactual Medical Image
  Synthesis","Scaling by training on large datasets has been shown to enhance the quality
and fidelity of image generation and manipulation with diffusion models;
however, such large datasets are not always accessible in medical imaging due
to cost and privacy issues, which contradicts one of the main applications of
such models to produce synthetic samples where real data is scarce. Also,
finetuning on pre-trained general models has been a challenge due to the
distribution shift between the medical domain and the pre-trained models. Here,
we propose Latent Drift (LD) for diffusion models that can be adopted for any
fine-tuning method to mitigate the issues faced by the distribution shift or
employed in inference time as a condition. Latent Drifting enables diffusion
models to be conditioned for medical images fitted for the complex task of
counterfactual image generation, which is crucial to investigate how parameters
such as gender, age, and adding or removing diseases in a patient would alter
the medical images. We evaluate our method on three public longitudinal
benchmark datasets of brain MRI and chest X-rays for counterfactual image
generation. Our results demonstrate significant performance gains in various
scenarios when combined with different fine-tuning schemes. The source code of
this work will be publicly released upon its acceptance.","Yousef Yeganeh, Ioannis Charisiadis, Marta Hasny, Martin Hartenberger, Björn Ommer, Nassir Navab, Azade Farshad, Ehsan Adeli",2024-12-30,http://arxiv.org/abs/2412.20651v1,cs.CV,"The paper proposes Latent Drift (LD) for diffusion models to mitigate the distribution shift between medical domain and pre-trained models, enabling counterfactual image generation in medical imaging.",diffusion models medical image synthesis,
"Impact of Cognitive Load on Human Trust in Hybrid Human-Robot
  Collaboration","Human trust plays a crucial role in the effectiveness of human-robot
collaboration. Despite its significance, the development and maintenance of an
optimal trust level are obstructed by the complex nature of influencing factors
and their mechanisms. This study investigates the effects of cognitive load on
human trust within the context of a hybrid human-robot collaboration task. An
experiment is conducted where the humans and the robot, acting as team members,
collaboratively construct pyramids with differentiated levels of task
complexity. Our findings reveal that cognitive load exerts diverse impacts on
human trust in the robot. Notably, there is an increase in human trust under
conditions of high cognitive load. Furthermore, the rewards for performance are
substantially higher in tasks with high cognitive load compared to those with
low cognitive load, and a significant correlation exists between human trust
and the failure risk of performance in tasks with low and medium cognitive
load. By integrating interdependent task steps, this research emphasizes the
unique dynamics of hybrid human-robot collaboration scenarios. The insights
gained not only contribute to understanding how cognitive load influences trust
but also assist developers in optimizing collaborative target selection and
designing more effective human-robot interfaces in such environments.","Hao Guo, Bangan Wu, Qi Li, Zhen Ding, Feng Jiang, Chunzhi Yi",2024-12-30,http://arxiv.org/abs/2412.20654v1,cs.RO,This study investigates how cognitive load affects human trust in a robot during a collaborative task and finds that high cognitive load increases human trust and is associated with higher performance rewards and failure risk levels.,"Cognitive Load, Human Trust, Collaboration",
Environmental and Economic Impact of I/O Device Obsolescence,"This paper analyzes the proportion of Input/output devices made obsolete by
changes in technology generations. This obsolescence may be by new
software/hardware generations rendering otherwise functional devices unusable.
Concluding with brief analysis on the economic and environmental impacts of the
e-waste produced.","Patrick Gould, Guanqun Song, Ting Zhu",2024-12-30,http://arxiv.org/abs/2412.20655v1,cs.CY,"This paper examines the proportion of input/output devices rendered obsolete by technological advancements, and discusses the economic and environmental consequences of the resulting e-waste.",I/O Device Obsolescence Environmental Economic Impact,
"Overcoming Class Imbalance: Unified GNN Learning with Structural and
  Semantic Connectivity Representations","Class imbalance is pervasive in real-world graph datasets, where the majority
of annotated nodes belong to a small set of classes (majority classes), leaving
many other classes (minority classes) with only a handful of labeled nodes.
Graph Neural Networks (GNNs) suffer from significant performance degradation in
the presence of class imbalance, exhibiting bias towards majority classes and
struggling to generalize effectively on minority classes. This limitation
stems, in part, from the message passing process, leading GNNs to overfit to
the limited neighborhood of annotated nodes from minority classes and impeding
the propagation of discriminative information throughout the entire graph. In
this paper, we introduce a novel Unified Graph Neural Network Learning
(Uni-GNN) framework to tackle class-imbalanced node classification. The
proposed framework seamlessly integrates both structural and semantic
connectivity representations through semantic and structural node encoders. By
combining these connectivity types, Uni-GNN extends the propagation of node
embeddings beyond immediate neighbors, encompassing non-adjacent structural
nodes and semantically similar nodes, enabling efficient diffusion of
discriminative information throughout the graph. Moreover, to harness the
potential of unlabeled nodes within the graph, we employ a balanced
pseudo-label generation mechanism that augments the pool of available labeled
nodes from minority classes in the training set. Experimental results
underscore the superior performance of our proposed Uni-GNN framework compared
to state-of-the-art class-imbalanced graph learning baselines across multiple
benchmark datasets.","Abdullah Alchihabi, Hao Yan, Yuhong Guo",2024-12-30,http://arxiv.org/abs/2412.20656v1,cs.LG,"The Uni-GNN framework is introduced to address class imbalance in graph neural networks, seamlessly integrating structural and semantic connectivity representations to efficiently propagate discriminative information throughout the graph and improve node classification performance.","Class Imbalance, GNN Learning",
"Diffgrasp: Whole-Body Grasping Synthesis Guided by Object Motion Using a
  Diffusion Model","Generating high-quality whole-body human object interaction motion sequences
is becoming increasingly important in various fields such as animation, VR/AR,
and robotics. The main challenge of this task lies in determining the level of
involvement of each hand given the complex shapes of objects in different sizes
and their different motion trajectories, while ensuring strong grasping realism
and guaranteeing the coordination of movement in all body parts. Contrasting
with existing work, which either generates human interaction motion sequences
without detailed hand grasping poses or only models a static grasping pose, we
propose a simple yet effective framework that jointly models the relationship
between the body, hands, and the given object motion sequences within a single
diffusion model. To guide our network in perceiving the object's spatial
position and learning more natural grasping poses, we introduce novel
contact-aware losses and incorporate a data-driven, carefully designed
guidance. Experimental results demonstrate that our approach outperforms the
state-of-the-art method and generates plausible whole-body motion sequences.","Yonghao Zhang, Qiang He, Yanguang Wan, Yinda Zhang, Xiaoming Deng, Cuixia Ma, Hongan Wang",2024-12-30,http://arxiv.org/abs/2412.20657v1,cs.CV,"A novel framework is proposed to generate high-quality whole-body human object interaction motion sequences by jointly modeling the relationship between the body, hands, and object motion sequences within a single diffusion model.",Whole-Body Grasping Synthesis Diffusion Model,
"Nanosatellite Design Considerations for a Mission to Explore the
  Propellant Sloshing Problem","Sloshing Platform for In-Orbit Controller Experimentation is an ambitious,
student run mission to design and fly a cubesat to study fluid sloshing in
spacecraft. The project will examine zero-g propellant sloshing from an
experimental standpoint. Despite the small size and limited payload capacity,
we intend to use the cubesat platform to mimic larger spacecraft and implement
novel detection and computer vision methods in our analysis. Many modern
spacecraft rely on propellant-filled tanks to perform attitude control and
station-keeping maneuvers. When a large percentage of the spacecraft's mass is
comprised of liquid propellant, sloshing becomes a critical aspect of
spacecraft attitude control and stability. The mission will study the
tank/fluid dynamics using new methods to gain an enhanced understanding of
low-gravity fluid disturbance effects and improve simulations using equivalent
mechanical models (EMMs). Active control of the fluid leading to the reduction
of propellant slosh settling times will improve the maneuverability and
performance of spacecraft. This paper will focus on satellite payload research
and design requirements used to inform other aspects of the SPICEsat design. In
this paper, mission objectives will be discussed, numerical simulations for the
proposed control algorithms are demonstrated, and a satellite experiment design
is presented. Finally, we examine computational fluid dynamics models to
validate the satellite design and propellant sensing components of the proposed
spacecraft.","Michael fogel, Snigdha Sushil Mishra, Laurent Burlion",2024-12-30,http://arxiv.org/abs/2412.20659v1,eess.SY,"The SPICEsat mission aims to study fluid sloshing in spacecraft using a cubesat platform, examining zero-g propellant sloshing and developing novel detection and computer vision methods to improve simulations and spacecraft maneuverability.","Nanosatellite, Propellant Sloshing, Design",
Energy Efficient LoRaWAN in LEO Satellites,"LPWAN service's inexpensive cost and long range capabilities make it a
promising addition and countless satellite companies have started taking
advantage of this technology to connect IoT users across the globe. However,
LEO satellites have the unique challenge of using rechargeable batteries and
green solar energy to power their components. LPWAN technology is not optimized
to maximize battery lifespan of network nodes. By incorporating a MAC protocol
that maximizes node the battery lifespan across the network, we can reduce
battery waste and usage of scarce Earth resources to develop satellite
batteries.","Muskan Shergill, Zach Thompson, Guanqun Song, Ting Zhu",2024-12-30,http://arxiv.org/abs/2412.20660v1,cs.ET,"LPWAN technology can be optimized to maximize the battery lifespan of network nodes, reducing battery waste and increasing the efficiency of satellite battery usage.",LoRaWAN Satellite Energy Efficient,
"Enhancing Table Recognition with Vision LLMs: A Benchmark and
  Neighbor-Guided Toolchain Reasoner","Pre-trained foundation models have recently significantly progressed in
structured table understanding and reasoning. However, despite advancements in
areas such as table semantic understanding and table question answering,
recognizing the structure and content of unstructured tables using Vision Large
Language Models (VLLMs) remains under-explored. In this work, we address this
research gap by employing VLLMs in a training-free reasoning paradigm. First,
we design a benchmark with various hierarchical dimensions relevant to table
recognition. Subsequently, we conduct in-depth evaluations using pre-trained
VLLMs, finding that low-quality image input is a significant bottleneck in the
recognition process. Drawing inspiration from these findings, we propose the
Neighbor-Guided Toolchain Reasoner (NGTR) framework, which is characterized by
integrating multiple lightweight models for low-level visual processing
operations aimed at mitigating issues with low-quality input images.
Specifically, we utilize a neighbor retrieval mechanism to guide the generation
of multiple tool invocation plans, transferring tool selection experiences from
similar neighbors to the given input, thereby facilitating suitable tool
selection. Additionally, we introduce a reflection module to supervise the tool
invocation process. Extensive experiments on public table recognition datasets
demonstrate that our approach significantly enhances the recognition
capabilities of the vanilla VLLMs. We believe that the designed benchmark and
the proposed NGTR framework could provide an alternative solution in table
recognition.","Yitong Zhou, Mingyue Cheng, Qingyang Mao, Qi Liu, Feiyang Xu, Xin Li, Enhong Chen",2024-12-30,http://arxiv.org/abs/2412.20662v1,cs.CV,"The paper addresses the understudied task of recognizing the structure and content of unstructured tables using pre-trained Vision Large Language Models (VLLMs) in a training-free reasoning paradigm, proposing the Neighbor-Guided Toolchain Reasoner (NGTR) framework to mitigate issues with low-quality input images.","Table recognition, Vision LLMs, Benchmark",
SM3Det: A Unified Model for Multi-Modal Remote Sensing Object Detection,"With the rapid advancement of remote sensing technology, high-resolution
multi-modal imagery is now more widely accessible. Conventional Object
detection models are trained on a single dataset, often restricted to a
specific imaging modality and annotation format. However, such an approach
overlooks the valuable shared knowledge across multi-modalities and limits the
model's applicability in more versatile scenarios. This paper introduces a new
task called Multi-Modal Datasets and Multi-Task Object Detection (M2Det) for
remote sensing, designed to accurately detect horizontal or oriented objects
from any sensor modality. This task poses challenges due to 1) the trade-offs
involved in managing multi-modal modelling and 2) the complexities of
multi-task optimization. To address these, we establish a benchmark dataset and
propose a unified model, SM3Det (Single Model for Multi-Modal datasets and
Multi-Task object Detection). SM3Det leverages a grid-level sparse MoE backbone
to enable joint knowledge learning while preserving distinct feature
representations for different modalities. Furthermore, it integrates a
consistency and synchronization optimization strategy using dynamic learning
rate adjustment, allowing it to effectively handle varying levels of learning
difficulty across modalities and tasks. Extensive experiments demonstrate
SM3Det's effectiveness and generalizability, consistently outperforming
specialized models on individual datasets. The code is available at
https://github.com/zcablii/SM3Det.","Yuxuan Li, Xiang Li, Yunheng Li, Yicheng Zhang, Yimian Dai, Qibin Hou, Ming-Ming Cheng, Jian Yang",2024-12-30,http://arxiv.org/abs/2412.20665v1,cs.CV,"This paper introduces the Multi-Modal Datasets and Multi-Task Object Detection (M2Det) task for remote sensing, which aims to accurately detect objects across various sensor modalities, and proposes a unified model, SM3Det, that leverages a grid-level sparse MoE backbone and a consistency and synchronization optimization strategy.",Multi-Modal Remote,
Recurrence-based Vanishing Point Detection,"Classical approaches to Vanishing Point Detection (VPD) rely solely on the
presence of explicit straight lines in images, while recent supervised deep
learning approaches need labeled datasets for training. We propose an
alternative unsupervised approach: Recurrence-based Vanishing Point Detection
(R-VPD) that uses implicit lines discovered from recurring correspondences in
addition to explicit lines. Furthermore, we contribute two
Recurring-Pattern-for-Vanishing-Point (RPVP) datasets: 1) a Synthetic Image
dataset with 3,200 ground truth vanishing points and camera parameters, and 2)
a Real-World Image dataset with 1,400 human annotated vanishing points. We
compare our method with two classical methods and two state-of-the-art deep
learning-based VPD methods. We demonstrate that our unsupervised approach
outperforms all the methods on the synthetic images dataset, outperforms the
classical methods, and is on par with the supervised learning approaches on
real-world images.","Skanda Bharadwaj, Robert Collins, Yanxi Liu",2024-12-30,http://arxiv.org/abs/2412.20666v1,cs.CV,"An unsupervised vanishing point detection method called Recurrence-based Vanishing Point Detection (R-VPD) is proposed, which uses implicit lines discovered from recurring correspondences in addition to explicit lines, outperforming classical and deep learning-based methods on synthetic and real-world image datasets.",Recurrence Vanishing Point,
"Highway Managed Lane Usage and Tolling for Mixed Traffic Flows with
  Connected Automated Vehicles (CAVs) and High-Occupancy Vehicles (HOVs)","This paper investigates managed lane (ML) toll setting and its effect under
mixed traffic of connected automated vehicles (CAVs), high-occupancy vehicles
(HOVs), and human-driven vehicles (HDVs), with a goal to avoid flow breakdown
and minimize total social cost. A mesoscopic finite-difference traffic
simulation model considers the flow-density relationship at different CAV
market penetration rates, lane-changing behavior, and multiple entries/exits,
interacting with a reactive toll setting mechanism. The results of the Monte
Carlo simulation suggest an optimal policy of untolled HOV/CAV use with HDV
tolls in particular scenarios of limited CAV market penetration. Small and
targeted tolling avoids flow breakdown in ML while prioritizing HOVs and other
vehicles with high values of time. Extensions of the formulation and
sensitivity analysis quantify the benefits of converting high-occupancy HDVs to
CAVs. The optimal tolling regime combines traffic science notions of flow
stability and the economics of resource allocation.","Max T. M. Ng, Hani S. Mahmassani",2024-12-30,http://arxiv.org/abs/2412.20667v1,eess.SY,"This study investigates the optimal toll settings for managed lanes with mixed traffic, including connected automated vehicles, high-occupancy vehicles, and human-driven vehicles, to avoid flow breakdown and minimize total social cost.",Managed Lanes Tolling CAVs,
