title,abstract,authors,figures,pages,tables,pdf_link,primary_subject,secondary_subjects,submitted_journal,published_journal,keywords,date,reason_removed
"A Panchromatic Characterization of the Evening and Morning Atmosphere of WASP-107 b: Composition and Cloud Variations, and Insight into the Effect of Stellar Contamination","Limb-resolved transmission spectroscopy has the potential to transform our understanding of exoplanetary atmospheres. By separately measuring the transmission spectra of the evening and morning limbs, these atmospheric regions can be individually characterized, shedding light into the global distribution and transport of key atmospheric properties from transit observations alone. In this work, we follow up the recent detection of limb asymmetry on the exoplanet WASP-107 b (Murphy et al. 2024) by reanalyzing literature observations of WASP-107 b using all of JWST's science intruments (NIRISS, NIRCam, NIRSpec, and MIRI) to measure its limb transmission spectra from $\sim$1-12 $\mu$m. We confirm the evening--morning temperature difference inferred previously and find that it is qualitatively consistent with predictions from global circulation models. We find evidence for evening--morning variation in SO$_2$ and CO$_2$ abundance, and significant cloud coverage only on WASP-107 b's morning limb. We find that the NIRISS and NIRSpec observations are potentially contaminated by occulted starspots, which we leverage to investigate stellar contamination's impact on limb asymmetry measurements. We find that starspot crossings can significantly bias the inferred evening and morning transmission spectra depending on when they occur during the transit, and develop a simple correction model which successfully brings these instruments' spectra into agreement with the uncontaminated observations.","['Matthew M. Murphy', 'Thomas G. Beatty', 'Everett Schlawin', 'Taylor J. Bell', 'Michael Radica', 'Thomas D. Kennedy', 'Nishil Mehta', 'Luis Welbanks', 'Michael R. Line', 'Vivien Parmentier', 'Thomas P. Greene', 'Sagnick Mukherjee', 'Jonathan J. Fortney', 'Kazumasa Ohno', 'Lindsey Wiser', 'Kenneth Arnold', 'Emily Rauscher', 'Isaac R. Edelman', 'Marcia J. Rieke']",14.0,40.0,2.0,arxiv.org/pdf/2505.13602,Earth and Planetary Astrophysics,,,,[],2025-05-21,Duplicate
Determining the origin of the X-ray emission in blazars through multiwavelength polarization,"The origin of the high-energy emission in astrophysical jets from black holes is a highly debated issue. This is particularly true for jets from supermassive black holes that are among the most powerful particle accelerators in the Universe. So far, the addition of new observations and new messengers have only managed to create more questions than answers. However, the newly available X-ray polarization observations promise to finally distinguish between emission models. We use extensive multiwavelength and polarization campaigns as well as state-of-the-art polarized spectral energy distribution models to attack this problem by focusing on two X-ray polarization observations of blazar BL Lacertae in flaring and quiescent $\gamma$-ray states. We find that regardless of the jet composition and underlying emission model, inverse-Compton scattering from relativistic electrons dominates at X-ray energies.","['Ioannis Liodakis', 'Haocheng Zhang', 'Stella Boula', 'Riccardo Middei', 'Jorge Otero-Santos', 'Dmitry Blinov', 'Iván Agudo', 'Markus Böttcher', 'Chien-Ting Chen', 'Steven R. Ehlert', 'Svetlana G. Jorstad', 'Philip Kaaret', 'Henric Krawczynski', 'Abel L. Peirson', 'Roger W. Romani', 'Fabrizio Tavecchio', 'Martin C. Weisskopf', 'Pouya M. Kouch', 'Elina Lindfors', 'Kari Nilsson', 'Callum McCall', 'Helen E. Jermak', 'Iain A. Steele', 'Ioannis Myserlis', 'Mark Gurwell', 'Garrett K. Keating', 'Ramprasad Rao', 'Sincheol Kang', 'Sang-Sung Lee', 'Sanghyun Kim', 'Whee Yeon Cheong', 'Hyeon-Woo Jeong', 'Emmanouil Angelakis', 'Alexander Kraus', 'Francisco José Aceituno', 'Giacomo Bonnoli', 'Víctor Casanova', 'Juan Escudero', 'Beatriz Agís-González', 'Daniel Morcuende', 'Alfredo Sota', 'Rumen Bachev', 'Tatiana S. Grishina', 'Evgenia N. Kopatskaya', 'Elena G. Larionova', 'Daria A. Morozova', 'Sergey S. Savchenko', 'Ekaterina V. Shishkina', 'Ivan S. Troitskiy', 'Yulia V. Troitskaya', 'Andrey A. Vasilyev']",15.0,10.0,0.0,arxiv.org/pdf/2505.13603,High Energy Astrophysical Phenomena,,,"A&A 698, L19 (2025)",['Polarization – Radiation mechanisms: non-thermal – Techniques: polarimetric – Galaxies: active – BL Lacertae objects: general – Galaxies: jets 1'],2025-05-21,Duplicate
Deep galaxy stellar mass functions as a function of star formation rate in the Virgo cluster environment,"We analyze deep ($M_*\gtrsim10^7~{M}_{\odot}$) galaxy stellar mass functions (SMFs) of the Virgo cluster using stellar masses derived as part of the Next Generation Virgo Survey (NGVS). The total SMF has a slope of $\alpha=-1.35^{+0.02}_{-0.02}$ which is similar to or steeper than typical field values. Using deep \ha{} data from the Virgo Environmental Survey Tracing Ionised Gas Emission (VESTIGE) we separate out star-forming galaxies, quiescent galaxies with no ongoing star formation, and low-SFR galaxies that are intermediate between these two populations. For each of these populations, the shape of the SMF is found to be universal throughout the cluster, from the core to the outskirts. The star-forming and quiescent SMFs show stark differences with values seen in field galaxies. The relative fraction of quiescent galaxies is highest in the core of the cluster, with low-SFR and star-forming galaxies more significant in the outer regions of the cluster. At low stellar masses ($M_*\lesssim10^9~{M}_{\odot}$), the quiescent fraction in the main cluster is significantly higher than that of the field and even satellites of massive groups. At high stellar masses, the quiescent fraction is similar to other studies of cluster galaxies. We model the quiescent population in the infall region of the cluster as a combination of backsplash and field quiescent galaxies, and find that the backsplash fractions needed to explain the observed population are unrealistically high. This suggests the existence of a third population of low-mass galaxies that are pre-processed outside the virial radius of the cluster, possibly in groups prior to infall.","['Cameron R. Morgan', 'Elizaveta Sazonova', 'Ian D. Roberts', 'Michael L. Balogh', 'Joel Roediger', 'Laura Ferrarese', 'Patrick Côté', 'Alessandro Boselli', 'Matteo Fossati', 'Jean-Charles Cuillandre', 'Stephen Gwyn']",16.0,20.0,3.0,arxiv.org/pdf/2505.13605,Astrophysics of Galaxies,,ApJ,,['keywords (numbers) 1'],2025-05-21,Duplicate
Large databases of metal-poor stars corrected for three-dimensional and/or non-local thermodynamic equilibrium effects,"Early chemical enrichment processes can be revealed by the careful study of metal-poor stars. In our Local Group, we can obtain spectra of individual stars to measure their precise, but not always accurate, chemical abundances. Unfortunately, stellar abundances are typically estimated under the simplistic assumption of local thermodynamic equilibrium (LTE). This can systematically alter both the abundance patterns of individual stars and global trends of chemical enrichment. The SAGA database compiles the largest catalogue of metal-poor stars in the Milky Way. For the first time, we provide the community with the SAGA catalogue fully corrected for non-LTE (NLTE) effects, using state-of-the-art publicly available grids. In addition, we present an easy-to-use online tool NLiTE that quickly provides NLTE corrections for large stellar samples. For further scientific exploration, NLiTE facilitates the comparison of different NLTE grids to investigate their intrinsic uncertainties. Finally, we compare the NLTE-SAGA catalogue with our cosmological galaxy formation and chemical evolution model, NEFERTITI. By accounting for NLTE effects, we can solve the long-standing discrepancy between models and observations in the abundance ratio of [C/Fe], the best tracer of the first stellar populations. At low [Fe/H]<-3.5, models are unable to reproduce the high measured [C/Fe] in LTE, which are lowered in NLTE, aligning with simulations. Other elements are a mixed bag: some show improved agreement with models (e.g. Na) and others worse (e.g. Co). Few elemental ratios do not change significantly (e.g. [Mg/Fe], [Ca/Fe]). Properly accounting for NLTE effects is fundamental for interpreting the chemical abundances of metal-poor stars. Our NLiTE tool thus enables a meaningful comparison of stellar samples with stellar and chemical evolution models and low-metallicity gaseous environments at higher redshift.","['I. Koutsouridou', 'Á. Skúladóttir', 'S. Salvadori']",49.0,42.0,6.0,arxiv.org/pdf/2505.13607,Astrophysics of Galaxies,['Solar and Stellar Astrophysics'],Astronomy & Astrophysics,,['Galaxy: abundances - stars: abundances - stars: atmospheres - stars: Population II - line: formation 1'],2025-05-21,Duplicate
INSPIRE: INvestigating Stellar Populations In RElics. IX. KiDS J0842+0059: the first fully confirmed relic beyond the local Universe,"Relics are massive, compact and quiescent galaxies that assembled the majority of their stars in the early Universe and lived untouched until today, completely missing any subsequent size-growth caused by mergers and interactions. They provide the unique opportunity to put constraints on the first phase of mass assembly in the Universe with the ease of being nearby. While only a few relics have been found in the local Universe, the {\tt INSPIRE} project has confirmed 38 relics at higher redshifts ($z \sim 0.2-0.4$), fully characterising their integrated kinematics and stellar populations. However, given the very small sizes of these objects and the limitations imposed by the atmosphere, structural parameters inferred from ground-based optical imaging are possibly affected by systematic effects that are difficult to quantify. In this paper, we present the first high-resolution image obtained with Adaptive Optics Ks-band observations on SOUL-LUCI@LBT of one of the most extreme {\tt INSPIRE} relics, KiDS~J0842+0059 at $z \sim 0.3$. We confirm the disky morphology of this galaxy (axis ratio of $0.24$) and its compact nature (circularized effective radius of $\sim 1$ kpc) by modelling its 2D surface brightness profile with a PSF-convolved Sérsic model. We demonstrate that the surface mass density profile of KiDS~J0842+0059 closely resembles that of the most extreme local relic, NGC~1277, as well as of high-redshift red nuggets. We unambiguously conclude that this object is a remnant of a high-redshift compact and massive galaxy, which assembled all of its mass at $z>2$, and completely missed the merger phase of the galaxy evolution.","['C. Tortora', 'G. Tozzi', 'G. Agapito', 'F. La Barbera', 'C. Spiniello', 'R. Li', 'G. Carlà', ""G. D'Ago"", 'E. Ghose', 'F. Mannucci', 'N. R. Napolitano', 'E. Pinna', 'M. Arnaboldi', 'D. Bevacqua', 'A. Ferré-Mateu', 'A. Gallazzi', 'J. Hartke', 'L. K. Hunt', 'M. Maksymowicz-Maciata', 'C. Pulsoni', 'P. Saracco', 'D. Scognamiglio', 'M. Spavone']",5.0,11.0,1.0,arxiv.org/pdf/2505.13611,Astrophysics of Galaxies,,MNRAS,,"['massiveand compact galaxies', 'cD — galaxies: clusters: general — galaxies: structure 1 INTRODUCTION Relicgalaxiesarethefinalstageofhighredshiftpassive', 'the red nuggets (Trujillo et al', 'galaxies: evolution — galaxies: general — galaxies: elliptical and lenticular']",2025-05-21,Duplicate
Distinguishing Distance Duality breaking models using electromagnetic and gravitational waves measurements,"Several assumptions at the foundation of the standard cosmological model have as a direct consequence a specific relation between cosmological distances, known as the distance duality relation, whose violation would be a smoking gun of deviations from standard cosmology. We explore the role of upcoming gravitational wave observations in investigating possible deviations from the distance duality relation, alongside the more commonly used supernovae. We find that, when combined with baryon acoustic oscillations, gravitational waves will provide similar constraining power to the combination of baryon acoustic oscillations and supernovae. Moreover, the combination of observables with different sensitivities to electromagnetic and gravitational physics provides a promising way to discriminate among different physical mechanisms that could lead to violations of the distance duality relation.","['Chiara De Leo', 'Matteo Martinelli', ""Rocco D'Agostino"", 'Giulia Gianfagna', 'Carlos J. A. P. Martins']",6.0,23.0,5.0,arxiv.org/pdf/2505.13613,Cosmology and Nongalactic Astrophysics,,,,[],2025-05-21,Duplicate
SALT spectroscopic follow-up of the G4Jy Sample,"The GLEAM 4-Jy (G4Jy) Sample is a thorough compilation of the 'brightest' radio sources in the southern sky (Declination < 30 deg), as measured at 151 MHz (S > 4.0 Jy) with the Murchison Widefield Array (MWA), through the GaLactic and Extragalactic All-sky MWA (GLEAM) Survey. In addition to flux-density measurements, the G4Jy catalogue provides host-galaxy identifications (through careful visual-inspection) and four sets of spectral indices. Despite their brightness in the radio, many of these sources are poorly-studied, with the vast majority lacking a spectroscopic redshift in published work. This is crucial for studying the intrinsic properties of the sources, and so we conduct a multi-semester observing campaign on the Southern African Large Telescope (SALT), with optical spectroscopy enabling us to provide new redshifts to the astronomical community. Initial results show that not all of the host galaxies exhibit emission-line spectra in the optical (~4500-7500 Ang), which illustrates the importance of radio-frequency selection (rather than optical selection) for creating an unbiased sample of active galactic nuclei. By combining SALT redshifts with those from the 6-degree Field Galaxy Survey (6dFGS) and the Sloan Digital Sky Survey (SDSS), we calculate radio luminosities and linear sizes for 299 G4Jy sources (which includes one newly-discovered giant radio-galaxy, G4Jy 604). Furthermore, with the highest redshift acquired (so far) being z ~ 2.2 from SDSS, we look forward to evolution studies of this complete sample, as well as breaking degeneracies in radio properties with respect to, for example, the galaxy environment.","['Sarah V. White', 'Kshitij Thorat', 'Moses Mogotsi', 'Rosalind E. Skelton', 'Solohery M. Randriamampandry', 'Encarni Romero-Colmenero', 'Precious K. Sejake', 'Francesco Massaro', 'Abigail Garcia-Perez', 'Ana Jimenez-Gallardo', 'Harold A. Pena-Herazo', 'Edward N. Taylor']",10.0,51.0,4.0,arxiv.org/pdf/2505.13619,Astrophysics of Galaxies,,PASA,,[],2025-05-21,Duplicate
Field-Level Comparison and Robustness Analysis of Cosmological N-Body Simulations,"We present the first field-level comparison of cosmological N-body simulations, considering various widely used codes: Abacus, CUBEP$^3$M, Enzo, Gadget, Gizmo, PKDGrav, and Ramses. Unlike previous comparisons focused on summary statistics, we conduct a comprehensive field-level analysis: evaluating statistical similarity, quantifying implications for cosmological parameter inference, and identifying the regimes in which simulations are consistent. We begin with a traditional comparison using the power spectrum, cross-correlation coefficient, and visual inspection of the matter field. We follow this with a statistical out-of-distribution (OOD) analysis to quantify distributional differences between simulations, revealing insights not captured by the traditional metrics. We then perform field-level simulation-based inference (SBI) using convolutional neural networks (CNNs), training on one simulation and testing on others, including a full hydrodynamic simulation for comparison. We identify several causes of OOD behavior and biased inference, finding that resolution effects, such as those arising from adaptive mesh refinement (AMR), have a significant impact. Models trained on non-AMR simulations fail catastrophically when evaluated on AMR simulations, introducing larger biases than those from hydrodynamic effects. Differences in resolution, even when using the same N-body code, likewise lead to biased inference. We attribute these failures to a CNN's sensitivity to small-scale fluctuations, particularly in voids and filaments, and demonstrate that appropriate smoothing brings the simulations into statistical agreement. Our findings motivate the need for careful data filtering and the use of field-level OOD metrics, such as PQMass, to ensure robust inference.","['Adrian E. Bayer', 'Francisco Villaescusa-Navarro', 'Sammy Sharief', 'Romain Teyssier', 'Lehman H. Garrison', 'Laurence Perreault-Levasseur', 'Greg L. Bryan', 'Marco Gatti', 'Eli Visbal']",7.0,14.0,1.0,arxiv.org/pdf/2505.13620,Cosmology and Nongalactic Astrophysics,,,,[],2025-05-21,Duplicate
Probing Reheating Phase via Non-Helical Magnetogenesis and Secondary Gravitational Waves,"In the past two decades, significant advancements have been made in observational techniques to enhance our understanding of the universe and its evolutionary processes. However, our knowledge of the post-inflation reheating phase remains limited due to its small-scale dynamics. Traditional observations, such as those of the Cosmic Microwave Background (CMB), primarily provide insights into large-scale dynamics, making it challenging to glean information about the reheating era. In this paper, our primary aim is to explore how the generation of Gravitational Waves (GWs) spectra, resulting from electromagnetic fields in the early universe, can offer valuable insights into the Reheating dynamics. We investigate how the spectral shape of GWs varies across different frequency ranges, depending on the initial magnetic profile and reheating dynamics. For this, we consider a well-known non-helical magnetogenesis model, where the usual electromagnetic kinetic term is coupled with a background scalar. Notably, for such a scenario, we observe distinct spectral shapes with sufficiently high amplitudes for different reheating histories with the equation of state parametrized by ($w_{\rm re}$). We identify spectral breaks in the GW spectra for both $w_{\rm re}<1/3$ and $w_{\rm re}>1/3$ scenarios. We find that future GW experiments such as BBO, LISA, SKA, and DECIGO are well within the reach of observing those distinct spectral shapes and can potentially shed light on the underlying mechanism of the reheating phase.","['Subhasis Maiti', 'Debaprasad Maity', 'Rohan Srikanth']",5.0,24.0,0.0,arxiv.org/pdf/2505.13623,Cosmology and Nongalactic Astrophysics,['High Energy Physics - Phenomenology'],,,[],2025-05-21,Duplicate
Methods to Test the Source of the Extreme Gas Motions in WS 35,"We present theoretical arguments toward the plausibility of a stellar wind to explain the 16000 km s$^{-1}$ line broadening in the optical spectra of WS 35, the central star in the Pa 30 nebula. The wind model is discussed in the context of super-Eddington flows. We argue that WS 35 potentially occupies a new regime of wind driving theory as the first metal-only wind. While this framework provides a promising avenue for explaining the high speed flow, questions remain about the source's true nature. We further describe how future radio observations can provide an independent test of the spherical wind scenario. A magnetically channeled wind would likely produce a relatively flat and bright radio spectral energy distributions. By contrast a spherical wind should result in a thermal radio spectrum with a canonical continuum slope of $\nu^{0.6}$, and a brightness level consistent with the currently predicted mass-loss rate.","['Sean J. Gunderson', 'Richard Ignace', 'Walter W. Golay']",1.0,5.0,1.0,arxiv.org/pdf/2505.13626,Solar and Stellar Astrophysics,"['Astrophysics of Galaxies', 'High Energy Astrophysical Phenomena']",ApJ,,['Radio Astronomy (1338)'],2025-05-21,Duplicate
Mass of Cepheid V350 Sgr Incorporating Interferometry and the Companion Mass,"The system V350 Sgr has a classical Cepheid for the primary. Interferometry is presented for the system and the full orbit is determined. The mass of the companion has been determined from an {\it IUE} spectrum and comparison with the mass-temperature relation from Detached Eclipsing Binaries. Combined with the mass of the companion (2.6 $\pm$ 0.2 M$_\odot$), the mass of the Cepheid is determined to be 4.7 $\pm$ 0.8 M$_\odot$. For systems with less complete information, Cepheid masses can be determined from a single-lined spectroscopic orbit, {\it Gaia} proper motion anomalies, and the mass of the companion from the ultraviolet. Uncertainties resulting from different approaches to mass determination are discussed, and are expected to be reduced after the {\it Gaia} DR4 release. Temperatures for Morgan Keenan (MK) standard stars from the ultraviolet are also provided.","['Nancy Remage Evans', 'Alexandre Gallenne', 'Pierre Kervella', 'H. Moritz Guenther', 'Joanna Kuraszkiewicz', 'Richard I. Anderson', 'Charles Proffitt', 'Antoine Merand', 'Boris Trahin', 'Giordano Viviani', 'Shreeya Shetye']",10.0,18.0,7.0,arxiv.org/pdf/2505.13627,Solar and Stellar Astrophysics,['Astrophysics of Galaxies'],ApJ,,['stars: Cepheids: binaries'],2025-05-21,Duplicate
UGC 10043 in Depth: Dissecting the Polar Bulge and Subtle LSB Features,"Galaxies with polar structures -- of which polar-ring galaxies (PRGs) are a prominent subclass -- contain components that are kinematically decoupled and highly inclined relative to the host galaxy's major axis. Modern deep optical surveys provide a powerful means of detecting low surface brightness (LSB) features around galaxies, offering critical insights into the formation and evolution of galaxies with polar structures. UGC 10043 is an edge-on galaxy notable for its prominent bulge, which extends orthogonally to the disk plane. In addition, the galaxy displays a well-defined integral-shaped disk warp and multiple dust features crossing the bulge along the minor galaxy axis. In this work, we present new deep optical photometry of UGC 10043 down to 29.5 mag arcsec$^{-2}$ and perform a detailed analysis of its LSB and polar structures. The observations reveal a stellar stream aligned along the polar axis, alongside other signatures of tidal interaction, including a flat, tilted LSB envelope that extends toward the neighboring galaxy MCG +04-37-035, with which UGC 10043 is connected by an HI bridge. Our results suggest that the polar component of UGC 10043 comprises and older, triaxial polar bulge and a younger, forming polar structure, likely originating from the ongoing disruption of a dwarf satellite galaxy, while also participating in active interaction with MCG +04-37-035.","['S. K. H. Bahr', 'A. V. Mosenkov']",3.0,5.0,1.0,arxiv.org/pdf/2505.13653,Astrophysics of Galaxies,,,"A&A 698, L21 (2025)",['galaxies: bulges – galaxies: evolution – galaxies: individual: UGC10043 – galaxies: peculiar – galaxies: photometry 1'],2025-05-21,Duplicate
Oort Cloud Ecology. III. The Sun left the parent star cluster shortly after the giant planets formed,"The Sun was born in a clustered environment with 10,000 other stars. Being an isolated star today, the Sun must have left the nest. We do not directly know when that happened, how violent the ejection was, or how far the Solar siblings have drifted apart. The mass of the fragile outer Opic-Oort cloud, (between $r_{\rm inner} \sim 30,000$\,au and $200\,000$au from the Sun) and the orbital distribution of planetesimals in the inner Hills-Oort cloud (between $\sim 1000$\,au and $\sim 30\,000$ au) are sensitive to the dynamical processes involving the Sun in the parent cluster. We aim at understanding the extend to which observing the Oort cloud constrains the Sun's birth environment. This is achieved by a combination of theoretical arguments and N-body simulations. We show that the current mass of the Opic-Oort cloud (between 0.2 and $2.0$ Earth masses) is best explained if the Sun left the nest within $\sim 20$\,Myr after the giant planets formed and migrated. As a consequence, the possible dynamical encounter with another star carving the Kuiper belt, the Sun's abduction of Sedna, and other perturbations induced by nearby stars then must have happened shortly after the giant planets in the Solar system formed, but before the Sun left the parent cluster. Signatures of the time spend in the parent cluster must still be visible in the outer parts of the Solar system today. The strongest constraints will be the discovery of a population of relatively low-eccentricity ($e < 0.9$) inner Oort-cloud (but $500 < a < 10^4$\,au) objects.","['Simon Portegies Zwart', 'Shuo Huang']",7.0,9.0,0.0,arxiv.org/pdf/2505.13666,Earth and Planetary Astrophysics,"['Astrophysics of Galaxies', 'Solar and Stellar Astrophysics']",A&A,"A&A 698, L27 (2025)",[],2025-05-21,Duplicate
Multipole Analysis and Application to Supernova Remnant X-ray Images,"We develop a multipole analysis method for images with a circular boundary, then apply it to supernova remnant (SNR) images. The morphology of SNR images is related to several factors, including the inhomogeneities of the supernova ejecta and of the circumstellar medium in which the ejecta and shock wave travel. The current multipole method corrects some errors in a previously presented method, and applies the new analysis to test for differences in X-ray image morphology between Type Ia and core-collapse type SNRs. We find there is no clear difference between the two SNR types in morphology as measured by multipole moments.","['Denis A. Leahy', 'S. Ranasinghe', 'J. Hansen', 'M.D. Filipović', 'Z. Smeaton']",6.0,16.0,3.0,arxiv.org/pdf/2505.13671,High Energy Astrophysical Phenomena,['Instrumentation and Methods for Astrophysics'],,,['ISM: supernova remnants- Methods: data image analysis- techniques: image processing 1'],2025-05-21,Duplicate
Unveiling Electron Density Profile in Nearby Galaxies using SDSS MaNGA,"Most observational studies of galactic-scale magnetic fields using Faraday rotation rely on estimates of thermal electron densities in galaxies and their radial variations. However, the spatial distribution of electrons in the interstellar medium (ISM) is not clearly known. In this study, we propose and utilize collision-excited doublet emission line ratios of [S\,\textsc{ii}] $\lambda\lambda$ 6716, 6731 Å~and [O\,\textsc{ii}] $\lambda\lambda$ 3726, 3729 Å\ to estimate the electron densities ($n_e$). To map their distribution in the galaxies, we employ Integral Field Unit (IFU) spectroscopic observations from the SDSS Mapping Nearby Galaxies at Apache Point Observatory (MaNGA) survey, utilising data products from both the \texttt{Pipe3D} and MaNGA Data Analysis Pipeline (DAP). We present a spatially resolved analysis of $13$ face-on galaxies (inclination, $i \leq 10^\circ$), including $9$ star-forming galaxies (SFGs) and $4$ Non-SFGs. Azimuthally averaged radial profiles of $n_e$ are obtained using two different binning schemes: linear and non-linear. For the \texttt{Pipe3D} case, both SFGs and non-SFGs exhibit $n_e$ gradients, with higher densities of $n_e$(S\,\textsc{ii}) = $165.6 \pm 20.8$ cm$^{-3}$ in the inner disk region (r/R$_e$ $\leq$ 1.5), which decrease to $31 \pm 4.5$ cm$^{-3}$ in the outer disk region (r/R$_e$ $>$ 1.5). We also translate $n_e$ to the electron column density $N_e$ assuming an evenly distributed thin disk profile, fairly excluding the central bulge regions. These electron density estimates at different radii provide valuable insights for resolving ambiguities in current and future studies of magnetic fields in galaxies.","['Shivam Burman', 'Sunil Malik', 'Suprit Singh', 'Yogesh Wadadekar']",8.0,15.0,2.0,arxiv.org/pdf/2505.13677,Astrophysics of Galaxies,['Cosmology and Nongalactic Astrophysics'],,,['galaxies: evolution - galaxies: ISM - galaxies: star formation - ISM: evolution - ISM: H II regions - techniques: spectroscopic - methods: statistical 1'],2025-05-21,Duplicate
Effects of Ultraviolet Radiation on Sub-Neptune Exoplanet Hazes Through Laboratory Experiments,"Temperate sub-Neptune exoplanets could contain large inventories of water in various phases, such as water-worlds with water-rich atmospheres or even oceans. Both space-based and ground-based observations have shown that many exoplanets likely also contain photochemically-generated hazes. Haze particles are a key source of organic matter and may impact the evolution or origin of life. In addition, haze layers could provide a mechanism for lower-atmospheric shielding and ultimately atmospheric retention. Often orbiting close to M-dwarf stars, these planets receive large amounts of radiation, especially during flaring events, which may strip away their atmospheres. M-dwarf stars are known to have higher stellar activity than other types of stars, and stellar flares have the potential to accelerate atmospheric escape. In this work, we present results on laboratory investigations of UV radiation effects simulating two different stellar flare energies on laboratory-produced exoplanet hazes made under conditions analogous to water-world atmospheres. We find that both simulated flares altered the overall transmittance and reflectance of the hazes, and higher energy ""flares"" make those alterations more pronounced. On a larger scale, these laboratory-made hazes show potential signs of degradation over the simulated flaring period. Our results provide insight into the effects that stellar flaring events have on potential exoplanet haze composition and the ability for water-world-like exoplanets to retain their atmospheres.","['Lori Huseby', 'Sarah E. Moran', 'Neil Pearson', 'Tiffany Kataria', 'Chao He', 'Cara Pesciotta', 'Sarah M. Hörst', 'Pierre Haenecour', 'Travis Barman', 'Vishnu Reddy', 'Nikole K. Lewis', 'Véronique Vuitton']",11.0,19.0,5.0,arxiv.org/pdf/2505.13692,Earth and Planetary Astrophysics,['Instrumentation and Methods for Astrophysics'],PSJ,,[],2025-05-21,Duplicate
New insight into the variability of the Be star $π$ Aquarii: Determination of stellar and disk parameters,"The Be star $\pi$ Aquarii shows peculiar $\gamma$ Cas-type X-ray emission, likely caused by its outer disk interacting with a low-mass companion, probably a white dwarf. We study the long-term variability of its optical spectra to derive stellar and disk parameters during major changes. We identify and analyze Balmer, helium, silicon, and iron emission lines at selected epochs. Stellar parameters were derived using atmosphere models, considering oblate geometry due to fast rotation. Disk properties were constrained through H$\alpha$ line modeling using a viscous decretion disk model. The H$\alpha$ line evolved from shell to double-, triple-peaked, and flat-topped profiles. On Dec 22, 2001, the disk showed a low-intensity shell profile and fast density decay, indicating a small disk. From 2011 to 2014, the disk decayed slowly, then grew significantly until Nov 2022, increasing its H$\alpha$ equivalent width 18-fold and reaching an emitting region of ~65 solar radii. The inclination changed by ~10 degrees over 20 years, suggesting a precessing disk. The FeII 5018 A line traces a larger region than H$\alpha$ and is the only FeII line with a distinct profile. We conclude $\pi$ Aquarii is part of a misaligned binary system, with the white dwarf crossing the disk twice per orbit, capturing material, and enhancing X-ray emission.","['D. Concha', 'C. Arcos', 'D. Turis-Gallo', 'T. B. Souza', 'M. Curé', 'R. S. Levenhagen', 'I. Araya']",9.0,24.0,6.0,arxiv.org/pdf/2505.13700,Solar and Stellar Astrophysics,,,,"['stars: emission-line', 'Be – stars:individual:HD212571 – techniques: spectroscopic 1']",2025-05-21,Duplicate
The plunging region of a thin accretion disc around a Schwarzschild black hole,"A set of analytic solutions for the plunging region thermodynamics have been developed recently under the assumption that the fluid undergoes a gravity-dominated geodesic plunge into the black hole. We test this model against a dedicated 3D global GRMHD simulation of a thin accretion disc around a Schwarzschild black hole using the code AthenaK. Provided that we account for non-adiabatic heating in the energetics, plausibly from grid-scale magnetic dissipation, we find an excellent agreement between the analytic model and the simulated quantities. These results are particularly important for existing and future electromagnetic black hole spin measurements, many of which do not to include the plunging fluid in their emission modelling. This exclusion typically stems from the assumption of a zero-stress boundary condition at the ISCO, forcing all thermodynamic quantities to vanish. Instead, we find a non-zero $\delta_\mathcal{J}\approx 5.3 \%$ drop in the angular momentum over the plunging region, which is consistent with both prior simulations and observations. We demonstrate that this stress is small enough for the dynamics of the fluid in the plunging region to be well-described by geodesic trajectories, yet large enough to cause measurable dissipation near to the ISCO - keeping thermodynamic quantities from vanishing. In the plunging region, constant $\alpha$-disc models are a physically inappropriate framework.","['Jake Rule', 'Andrew Mummery', 'Steven Balbus', 'James Stone', 'Lizhong Zhang']",9.0,13.0,2.0,arxiv.org/pdf/2505.13701,High Energy Astrophysical Phenomena,,,,"['accretion', 'accretion discs — black hole physics 1 INTRODUCTION From the supermassive black holes at the center of Active Galactic NucleitothestellarmassblackholesfoundinX-raybinarysystems', 'disc accretion of matter onto black holes is a prominent source of powerintheUniverse']",2025-05-21,Duplicate
