original_index,arxiv_id,extracted_authors,extracted_affiliations,extracted_countries,first_author_country
10,2501.12716,"[""F. Cantalloube"", ""D. Barret"", ""M. Bouffard"", ""P. Hennebelle"", ""J. Milli"", ""F. Malbet"", ""A. Santerne"", ""N. Fargette"", ""S. Bontemps"", ""C. Moutou"", ""A. Mouini\u00e9"", ""H. M\u00e9heut"", ""A. Saint-Martin"", ""A. Hardy""]","[""Univ. Grenoble Alpes, CNRS, IPAG, F-38000 Grenoble, France"", ""IRAP, Universit\u00e9 de Toulouse, CNRS, CNES, UT3-PS, Toulouse, France"", ""Laboratoire de Plan\u00e9tologie et G\u00e9osciences, CNRS UMR 6112, Nantes Universit\u00e9, Universit\u00e9 d'Angers, Le Mans Universit\u00e9, Nantes, France"", ""Universit\u00e9 Paris-Saclay, Universit\u00e9 Paris Cit\u00e9, CEA, CNRS, AIM, 91191, Gif-sur-Yvette, France"", ""Univ. Grenoble Alpes, CNRS, IPAG, F-38000 Grenoble, France"", ""Univ. Grenoble Alpes, CNRS, IPAG, F-38000 Grenoble, France"", ""Aix-Marseille Univ, CNRS, CNES, LAM, Marseille, France"", ""The Blackett Laboratory, Department of Physics, Imperial College London, London SW7 2AZ, UK"", ""Laboratoire d\u2019astrophysique de Bordeaux, Univ. Bordeaux, CNRS, B18N, all\u00e9e Geoffroy Saint-Hilaire, 33615 Pessac, France"", ""Aix-Marseille Univ, CNRS, CNES, LAM, Marseille, France"", ""Aix-Marseille Univ, CNRS, CNES, LAM, Marseille, France"", ""Universit\u00e9 C\u00f4te d\u2019Azur, Observatoire de la C\u00f4te d\u2019Azur, CNRS, Laboratoire Lagrange, Nice, France"", ""Centre europ\u00e9en de sociologie et de science politique, CNRS, EHESS, Paris 1"", ""Sciences Po Bordeaux 11 all\u00e9e Ausone 33607 Pessac CEDEX - France""]","[""France"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France"", ""United Kingdom"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",France
11,2501.12712,"[""Lutendo Nyadzani"", ""Soebur Razzaque"", ""Justin D. Finke""]","[""Centre for Astro-Particle Physics (CAPP) and Department of Physics, University of Johannesburg, PO Box 524, Auckland Park 2006, South Africa"", ""Centre for Astro-Particle Physics (CAPP) and Department of Physics, University of Johannesburg, PO Box 524, Auckland Park 2006, South Africa; Department of Physics, The George Washington University, Washington, DC 20052, USA; National Institute for Theoretical and Computational Sciences (NITheCS), Private Bag X1, Matieland, South Africa"", ""U.S. Naval Research Laboratory, Code 7653, 4555 Overlook Ave. SW, Washington, DC 20375-5352, USA""]","[""South Africa"", ""South Africa; USA"", ""USA""]",South Africa
12,2501.12694,[],[],[],
13,2501.12684,"[""Masataka Yukumoto"", ""Koji Mori"", ""Ayaki Takeda"", ""Yusuke Nishioka"", ""Miraku Kimura"", ""Yuta Fuchita"", ""Taiga Yoshida"", ""Takeshi G. Tsuru"", ""Ikuo Kurachi"", ""Kouichi Hagino"", ""Yasuo Arai"", ""Takayoshi Kohmura"", ""Takaaki Tanaka"", ""Kumiko K. Nobukawa""]","[""Department of Applied Physics, Faculty of Engineering, University of Miyazaki, 1-1 Gakuen-Kibanadai-Nishi, Miyazaki, 889-2192, Japan"", ""Department of Applied Physics, Faculty of Engineering, University of Miyazaki, 1-1 Gakuen-Kibanadai-Nishi, Miyazaki, 889-2192, Japan"", ""Department of Applied Physics, Faculty of Engineering, University of Miyazaki, 1-1 Gakuen-Kibanadai-Nishi, Miyazaki, 889-2192, Japan"", ""Department of Applied Physics, Faculty of Engineering, University of Miyazaki, 1-1 Gakuen-Kibanadai-Nishi, Miyazaki, 889-2192, Japan"", ""Department of Applied Physics, Faculty of Engineering, University of Miyazaki, 1-1 Gakuen-Kibanadai-Nishi, Miyazaki, 889-2192, Japan"", ""Department of Applied Physics, Faculty of Engineering, University of Miyazaki, 1-1 Gakuen-Kibanadai-Nishi, Miyazaki, 889-2192, Japan"", ""Department of Applied Physics, Faculty of Engineering, University of Miyazaki, 1-1 Gakuen-Kibanadai-Nishi, Miyazaki, 889-2192, Japan"", ""Department of Physics, Faculty of Science, Kyoto University, Kitashirakawa Oiwake-cho, Sakyo-ku, Kyoto 606-8502, Japan"", ""D&S Inc., 774-3-213 Higashiasakawacho, Hachioji, Tokyo 193-0834, Japan"", ""Department of Physics, University of Tokyo, 7-3-1 Hongo, Bunkyo, Tokyo 113-0033, Japan"", ""Accelerator Laboratory, High Energy Accelerator Research Organization (KEK), 1-1 Oho, Tsukuba 305-0801, Japan"", ""Department of Physics and Astronomy, Faculty of Science and Technology, Tokyo University of Science, 2641 Yamazaki, Noda, Chiba 278-8510, Japan"", ""Department of Physics, Konan University, 8-9-1 Okamoto, Higashinada, Kobe, Hyogo 658-8501, Japan"", ""Faculty of Science and Engineering, Kindai University, 3-4-1 Kowakae, Higashi-Osaka, Osaka 577-8502, Japan""]","[""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan""]",Japan
14,2501.12665,"[""Yuxuan Pang"", ""Xue-Bing Wu"", ""Yuming Fu"", ""Rui Zhu"", ""Bing Lyu"", ""Huimei Wang"", ""Xiaotong Feng""]","[""Department of Astronomy, School of Physics, Peking University, Beijing 100871, People's Republic of China; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, People's Republic of China"", ""Department of Astronomy, School of Physics, Peking University, Beijing 100871, People's Republic of China; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, People's Republic of China"", ""Leiden Observatory, Leiden University, P.O. Box 9513, NL-2300 RA Leiden, The Netherlands; Kapteyn Astronomical Institute, University of Groningen, P.O. Box 800, NL-9700 AV Groningen, The Netherlands"", ""Department of Astronomy, School of Physics, Peking University, Beijing 100871, People's Republic of China; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, People's Republic of China"", ""Department of Astronomy, School of Physics, Peking University, Beijing 100871, People's Republic of China; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, People's Republic of China"", ""Department of Astronomy, School of Physics, Peking University, Beijing 100871, People's Republic of China; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, People's Republic of China"", ""Department of Astronomy, School of Physics, Peking University, Beijing 100871, People's Republic of China; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, People's Republic of China""]","[""People's Republic of China; People's Republic of China"", ""People's Republic of China; People's Republic of China"", ""The Netherlands; The Netherlands"", ""People's Republic of China; People's Republic of China"", ""People's Republic of China; People's Republic of China"", ""People's Republic of China; People's Republic of China"", ""People's Republic of China; People's Republic of China""]",People's Republic of China
15,2501.12661,"[""Ryo Terasawa"", ""Yue Nan"", ""Masahiro Takada""]","[""Kavli Institute for the Physics and Mathematics of the Universe (WPI), The University of Tokyo Institutes for Advanced Study (UTIAS), The University of Tokyo, Chiba 277-8583, Japan; Department of Physics, Graduate School of Science, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113-0033, Japan; Center for Data-Driven Discovery (CD3), Kavli IPMU (WPI), UTIAS, The University of Tokyo, Kashiwa, Chiba 277-8583, Japan"", ""Kavli Institute for the Physics and Mathematics of the Universe (WPI), The University of Tokyo Institutes for Advanced Study (UTIAS), The University of Tokyo, Chiba 277-8583, Japan; Center for Data-Driven Discovery (CD3), Kavli IPMU (WPI), UTIAS, The University of Tokyo, Kashiwa, Chiba 277-8583, Japan"", ""Kavli Institute for the Physics and Mathematics of the Universe (WPI), The University of Tokyo Institutes for Advanced Study (UTIAS), The University of Tokyo, Chiba 277-8583, Japan; Center for Data-Driven Discovery (CD3), Kavli IPMU (WPI), UTIAS, The University of Tokyo, Kashiwa, Chiba 277-8583, Japan""]","[""Japan; Japan; Japan"", ""Japan; Japan"", ""Japan; Japan""]",Japan
16,2501.12658,"[""Hidenori Matsui"", ""Kenji Bekki"", ""Madeleine McKenzie"", ""Takayuki R. Saitoh""]","[""National Institute of Technology, Asahikawa College, Shunkodai 2-2-1-6, Asahikawa, Hokkaido, 071-8142, Japan; International Centre for Radio Astronomy Research (ICRAR), M468, The University of Western Australia, 35 Stirling Hwy, Crawley, Western Australia, 6009, Australia"", ""International Centre for Radio Astronomy Research (ICRAR), M468, The University of Western Australia, 35 Stirling Hwy, Crawley, Western Australia, 6009, Australia"", ""Research School of Astronomy & Astrophysics, Australian National University, Canberra, ACT 2611, Australia; ARC Centre of Excellence for Astrophysics in Three Dimensions (ASTRO-3D), Canberra 2611, Australia"", ""Department of Planetology, Graduate School of Science, Kobe University, 1-1 Rokkodai-cho, Nada-ku, Kobe, Hyogo 657-8501, Japan; Center for Planetary Science (CPS), Graduate School of Science, Kobe University, 1-1 Rokkodai-cho, Nada-ku, Kobe, Hyogo 657-8501, Japan""]","[""Japan; Australia"", ""Australia"", ""Australia; Australia"", ""Japan; Japan""]",Japan; Australia
17,2501.12650,"[""Linghong Lin"", ""Beibei Liu"", ""Zekai Zheng""]","[""Institute for Astronomy, School of Physics, Zhejiang University, Hangzhou 310027, China"", ""Institute for Astronomy, School of Physics, Zhejiang University, Hangzhou 310027, China"", ""Institute for Astronomy, School of Physics, Zhejiang University, Hangzhou 310027, China; Department of Physics, National University of Singapore, Singapore 117542, Singapore""]","[""China"", ""China"", ""China; Singapore""]",China
18,2501.12809,"[""Lorenzo V. Mugnai"", ""Andrea Bocchieri"", ""Enzo Pascale"", ""Andrea Lorenzani"", ""Andreas Papageorgiou""]","[""Dipartimento di Fisica, La Sapienza Universit\u00e0 di Roma, Roma, Italy; School of Physics and Astronomy, Cardiff University, Cardiff, UK; Department of Physics and Astronomy, University College London, London, UK; Osservatorio Astronomico di Palermo, INAF, Palermo, Italy"", ""Dipartimento di Fisica, La Sapienza Universit\u00e0 di Roma, Roma, Italy"", ""Dipartimento di Fisica, La Sapienza Universit\u00e0 di Roma, Roma, Italy"", ""Osservatorio Astrofisico di Arcetri, INAF, Firenze, Italy"", ""School of Physics and Astronomy, Cardiff University, Cardiff, UK""]","[""Italy; UK"", ""Italy"", ""Italy"", ""Italy"", ""UK""]",Italy; UK
19,2501.12636,"[""Ethan O. Nadler"", ""Andrew J. Benson""]","[""Department of Astronomy & Astrophysics, University of California, San Diego, La Jolla, California 92093, USA"", ""Carnegie Observatories, 813 Santa Barbara Street, Pasadena, California 91101, USA""]","[""USA"", ""USA""]",USA
20,2501.12822,"[""Sara Evangelista"", ""Jens Chluba"", ""Francesco Pace""]","[""Dipartimento di Fisica, Universit\u00e0 degli Studi di Torino, Via P. Giuria 1, I-10125, Torino, Italy; Jodrell Bank Centre for Astrophysics, School of Physics and Astronomy, The University of Manchester, Manchester M13 9PL, U.K."", ""Jodrell Bank Centre for Astrophysics, School of Physics and Astronomy, The University of Manchester, Manchester M13 9PL, U.K."", ""Dipartimento di Fisica, Universit\u00e0 degli Studi di Torino, Via P. Giuria 1, I-10125, Torino, Italy; INFN-Sezione di Torino, Via P. Giuria 1, I-10125, Torino, Italy; INAF-Istituto Nazionale di Astrofisica, Osservatorio Astrofisico di Torino, strada Osservatorio 20, 10025, Pino Torinese, Italy""]","[""Italy; U.K."", ""U.K."", ""Italy""]",Italy; U.K.
21,2501.12905,"[""Hristijan Kochankovski"", ""Georgios Lioutas"", ""Sebastian Blacker"", ""Andreas Bauswein"", ""Angels Ramos"", ""Laura Tolos""]","[""Departament de F\u00edsica Qu\u00e0ntica i Astrof\u00edsica and Institut de Ci\u00e8ncies del Cosmos, Universitat de Barcelona, Mart\u00ed i Franqu\u00e8s 1, 08028, Barcelona, Spain"", ""GSI Helmholtzzentrum f\u00fcr Schwerionenforschung, Planckstra\u00dfe 1, 64291 Darmstadt, Germany; Heidelberger Institut f\u00fcr Theoretische Studien (HITS), Schloss-Wolfsbrunnenweg 35, 69118 Heidelberg, Germany"", ""Institut f\u00fcr Kernphysik, Technische Universit\u00e4t Darmstadt, 64289 Darmstadt, Germany; GSI Helmholtzzentrum f\u00fcr Schwerionenforschung, Planckstra\u00dfe 1, 64291 Darmstadt, Germany"", ""GSI Helmholtzzentrum f\u00fcr Schwerionenforschung, Planckstra\u00dfe 1, 64291 Darmstadt, Germany; Helmholtz Research Academy Hesse for FAIR (HFHF), Campus Darmstadt, 64291 Darmstadt, Germany"", ""Departament de F\u00edsica Qu\u00e0ntica i Astrof\u00edsica and Institut de Ci\u00e8ncies del Cosmos, Universitat de Barcelona, Mart\u00ed i Franqu\u00e8s 1, 08028, Barcelona, Spain"", ""Institute of Space Sciences (ICE, CSIC), Campus UAB, Carrer de Can Magrans, 08193 Barcelona, Spain; Institut d'Estudis Espacials de Catalunya (IEEC), 08860 Castelldefels (Barcelona), Spain""]","[""Spain"", ""Germany"", ""Germany"", ""Germany"", ""Spain"", ""Spain""]",Spain
22,2501.13090,"[""Anumanchi Agastya Sai Ram Likhit"", ""Katta Naveen"", ""Arul Pandian B"", ""Abhishek R"", ""Prabu T""]","[""Electronics Engineering Group, Raman Research Institute, 560080, India; Department of Physics, Indian Institute of Science Education and Research Bhopal, 462066, India"", ""Electronics Engineering Group, Raman Research Institute, 560080, India; Department of Physics, Indian Institute of Science Education and Research Bhopal, 462066, India"", ""Electronics Engineering Group, Raman Research Institute, 560080, India"", ""Electronics Engineering Group, Raman Research Institute, 560080, India"", ""Electronics Engineering Group, Raman Research Institute, 560080, India""]","[""India"", ""India"", ""India"", ""India"", ""India""]",India
23,2501.13082,"[""Xihan Ji"", ""Roberto Maiolino"", ""Hannah \u00dcbler"", ""Jan Scholtz"", ""Francesco D'Eugenio"", ""Fengwu Sun"", ""Michele Perna"", ""Hannah Turner"", ""Stefano Carniani"", ""Santiago Arribas"", ""Jake S. Bennett"", ""Andrew Bunker"", ""St\u00e9phane Charlot"", ""Giovanni Cresci"", ""Mirko Curti"", ""Eiichi Egami"", ""Andy Fabian"", ""Kohei Inayoshi"", ""Yuki Isobe"", ""Gareth Jones"", ""Ignas Juod\u017ebalis"", ""Nimisha Kumari"", ""Jianwei Lyu"", ""Giovanni Mazzolari"", ""Eleonora Parlanti"", ""Brant Robertson"", ""Bruno Rodriguez Del Pino"", ""Raffaella Schneider"", ""Debora Sijacki"", ""Sandro Tacchella"", ""Alessandro Trinca"", ""Rosa Valiante"", ""Giacomo Venturi"", ""Marta Volonteri"", ""Chris Willott"", ""Callum Witten"", ""Joris Witstok""]","[""$^{1,2}$"", ""$^{1,2,3}$"", ""$^{4}$"", ""$^{1,2}$"", ""$^{1,2}$"", ""$^{5}$"", ""$^{6}$"", ""$^{1,2}$"", ""$^{7}$"", ""$^{6}$"", ""$^{5}$"", ""$^{8}$"", ""$^{9}$"", ""$^{10}$"", ""$^{11}$"", ""$^{12}$"", ""$^{13}$"", ""$^{14}$"", ""$^{1,2,15}$"", ""$^{1,2}$"", ""$^{1,2}$"", ""$^{16}$"", ""$^{12}$"", ""$^{17,18}$"", ""$^{8,4}$"", ""$^{19}$"", ""$^{6}$"", ""$^{20,21,22,23}$"", ""$^{13,1}$"", ""$^{1,2}$"", ""$^{24,21,22}$"", ""$^{21,22}$"", ""$^{8}$"", ""$^{9}$"", ""$^{25}$"", ""$^{26}$"", ""$^{27,28}$""]","[""UK"", ""UK; Italy"", ""Germany"", ""UK"", ""UK"", ""USA"", ""Spain"", ""UK"", ""Italy"", ""Spain"", ""USA"", ""UK"", ""France"", ""Italy"", ""Italy"", ""USA"", ""UK"", ""Japan"", ""UK; Japan"", ""UK"", ""UK"", ""USA"", ""USA"", ""Italy"", ""UK; Germany"", ""USA"", ""Spain"", ""Italy"", ""UK"", ""UK"", ""Italy"", ""Italy"", ""UK"", ""France"", ""Canada"", ""UK"", ""UK; Netherlands""]",UK
24,2501.13062,"[""Andr\u00e9s E. Piatti""]","[""Instituto Interdisciplinario de Ciencias B\u00e1sicas (ICB), CONICET-UNCUYO, Padre J. Contreras 1300, M5502JMA, Mendoza, Argentina; Consejo Nacional de Investigaciones Cient\u00edficas y T\u00e9cnicas, Godoy Cruz 2290, C1425FQB, Buenos Aires, Argentina""]","[""Argentina; Argentina""]",Argentina
25,2501.13056,"[""John Brennan"", ""Sreedhar Balu"", ""Yuxiang Qin"", ""John Regan"", ""Chris Power""]","[""Centre for Astrophysics and Space Science Maynooth, Department of Physics, Maynooth University, Maynooth, Ireland"", ""School of Physics, University of Melbourne, Parkville, VIC 3010, Australia; Facultad de F\u00edsicas, Multidisciplinary Unit for Energy Science, Universidad de Sevilla, 41012, Seville, Spain; ARC Centre of Excellence for All Sky Astrophysics in 3 Dimensions (ASTRO 3D)"", ""Research School of Astronomy and Astrophysics, Australian National University, Canberra, ACT 2611, Australia"", ""Centre for Astrophysics and Space Science Maynooth, Department of Physics, Maynooth University, Maynooth, Ireland"", ""International Centre for Radio Astronomy Research (ICRAR), M468, University of Western Australia, 35 Stirling Hwy, Crawley, WA 6009, Australia; ARC Centre of Excellence for All Sky Astrophysics in 3 Dimensions (ASTRO 3D)""]","[""Ireland"", ""Australia; Spain"", ""Australia"", ""Ireland"", ""Australia""]",Ireland
26,2501.13049,"[""B. Rani"", ""Jungeun Kim"", ""I. Papadakis"", ""K. C. Gendreau"", ""M. Masterson"", ""K. Hamaguchi"", ""E. Kara"", ""S.-S. Lee"", ""R. Mushotzky""]","[""NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA; Center for Space Science and Technology, University of Maryland Baltimore County, USA; Korea Astronomy and Space science Institute, 776 Daedeokdae-ro, Yuseong-gu, Daejeon 30455, Korea"", ""Korea Advanced Institute of Science and Technology, 291 Daehak-ro, Yuseong-gu, Daejeon 34141, Republic of Korea"", ""Department of Physics and Institute of Theoretical and Computational Physics, University of Crete, 71003 Heraklion, Greece; Institute of Astrophysics, FORTH, GR-71110 Heraklion, Greece"", ""NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA"", ""MIT Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA"", ""NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA"", ""MIT Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA"", ""Korea Astronomy and Space science Institute, 776 Daedeokdae-ro, Yuseong-gu, Daejeon 30455, Korea"", ""Department of Astronomy, University of Maryland, College Park, MD 20742, USA""]","[""USA; Korea"", ""Republic of Korea"", ""Greece"", ""USA"", ""USA"", ""USA"", ""USA"", ""Korea"", ""USA""]",USA; Korea
27,2501.13048,"[""A. C. Raga"", ""A. Noriega-Crespo"", ""A. Castellanos-Ram\u00edrez"", ""J. Cant\u00f3"", ""H. Arce"", ""M. Lebr\u00f3n"", ""J.L Morales Ortiz"", ""A. N. Ortiz Capeles"", ""C. A. Pantoja""]","[""Instituto de Ciencias Nucleares, Universidad Nacional Aut\u00f3noma de M\u00e9xico, Ap. 70-543, Ciudad Universitaria, CDMX 04510, M\u00e9xico"", ""Space Telescope Science Institute, 3700 San Martin Dr., Baltimore, MD 21211, USA"", ""Instituto de Astronom\u00eda, Universidad Nacional Aut\u00f3noma de M\u00e9xico, Ap. 70-658, Ciudad Universitaria, CDMX 04510, M\u00e9xico"", ""Instituto de Astronom\u00eda, Universidad Nacional Aut\u00f3noma de M\u00e9xico, Ap. 70-658, Ciudad Universitaria, CDMX 04510, M\u00e9xico"", ""Dep. of Astronomy, Yale University, New Haven, CT 06511, USA"", ""Univ. of Puerto Rico-R\u00edo Piedras, General Studies Faculty, Dep. of Physical Sciences, San Juan, Puerto Rico, USA; Univ. of Puerto Rico-R\u00edo Piedras, Natural Sciences Faculty, Dep. of Physics, San Juan, Puerto Rico, USA"", ""Univ. of Puerto Rico-R\u00edo Piedras, General Studies Faculty, Dep. of Physical Sciences, San Juan, Puerto Rico, USA; Univ. of Puerto Rico-R\u00edo Piedras, Natural Sciences Faculty, Dep. of Physics, San Juan, Puerto Rico, USA"", ""Univ. of Puerto Rico-R\u00edo Piedras, Natural Sciences Faculty, Dep. of Physics, San Juan, Puerto Rico, USA"", ""Univ. of Puerto Rico-R\u00edo Piedras, Natural Sciences Faculty, Dep. of Physics, San Juan, Puerto Rico, USA""]","[""Mexico"", ""USA"", ""Mexico"", ""Mexico"", ""USA"", ""USA; USA"", ""USA; USA"", ""USA"", ""USA""]",Mexico
