Title,Author,Affiliations,Status
"Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II. Stellar kinematics and dynamical masses",Giuseppe D'Ago,"Institute of Astronomy, University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK",Complete
"Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II. Stellar kinematics and dynamical masses",Jesus Falcón-Barroso,"Instituto de Astrofísica de Canarias, Calle Vía Láctea s/n, E-38205. La Laguna, Tenerife, Spain; Departamento de Astrofísica. Universidad de La Laguna, Av. del Astrofísico Francisco Sánchez s/n, E-38206, La Laguna, Tenerife, Spain",Complete
"Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II. Stellar kinematics and dynamical masses",Marco Gullieuszik,"INAF - Osservatorio Astronomico di Padova, Vicolo dell’Osservatorio 5, I-35122 Padova, Italy",Complete
"Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II. Stellar kinematics and dynamical masses",Antonio La Marca,"SRON Netherlands Institute for Space Research, Landleven 12, 9747 AD Groningen, The Netherlands; Kapteyn Astronomical Institute, University of Groningen",Incomplete
Title,Author,Affiliations,Status
"HH 270/110 as a jet/shear layer interaction",A. C. Raga,"Instituto de Ciencias Nucleares, Universidad Nacional Autónoma de México, Ap. 70-543, Ciudad Universitaria, CDMX 04510, México",Complete
"HH 270/110 as a jet/shear layer interaction",A. Noriega-Crespo,"Space Telescope Science Institute, 3700 San Martin Dr., Baltimore, MD 21211, USA",Complete
"HH 270/110 as a jet/shear layer interaction",A. Castellanos-Ramírez,N/A,Incomplete
"HH 270/110 as a jet/shear layer interaction",J. Cantó,"Instituto de Astronomía, Universidad Nacional Autónoma de México, Ap. 70-658, Ciudad Universitaria, CDMX 04510, México",Complete
"HH 270/110 as a jet/shear layer interaction",H. Arce,"Dep. of Astronomy, Yale University, New Haven, CT 06511, USA",Complete
"HH 270/110 as a jet/shear layer interaction",M. Lebrón,N/A,Incomplete
"HH 270/110 as a jet/shear layer interaction",J.L Morales Ortiz,"Univ. of Puerto Rico-Río Piedras, General Studies Faculty, Dep. of Physical Sciences, San Juan, Puerto Rico, USA; Univ. of Puerto Rico-Río Piedras, Natural Sciences Faculty, Dep. of Physics, San Juan, Puerto Rico, USA",Complete
"HH 270/110 as a jet/shear layer interaction",A. N. Ortiz Capeles,N/A,Incomplete
"HH 270/110 as a jet/shear layer interaction",C. A. Pantoja,"Univ. of Puerto Rico-Río Piedras, Natural Sciences Faculty, Dep. of Physics, San Juan, Puerto Rico, USA",Complete
"Can supermassive stars form in protogalaxies due to internal Lyman-Werner feedback?",James Sullivan,N/A,Incomplete
"The Machine Learning to reconstruct GRB lightcurves",B. De Simone,N/A,Incomplete
"The Machine Learning to reconstruct GRB lightcurves",A. Narendra,N/A,Incomplete
"The Machine Learning to reconstruct GRB lightcurves",A. Pollo,"Division of Science, National Astronomical Observatory of Japan, Mitaka, Tokyo, Japan; SOKENDAI, Hayama, Kanagawa, Japan; Space Science Institutes, Boulder, CO, USA; Nevada Center for Astrophysics, UNLV, Las Vegas, NV, USA; Università di Salerno, Fisciano, Italy; INFN Sezione di Napoli, Italy; Jagiellonian University, Krakow, Poland; National Center for Nuclear Physics (NCB), Warsaw",Complete
"Effect of Numerical Resolution on Synthetic Observables of Simulated Coronal Loops",Keith T. Smith,N/A,Incomplete
"Tracing magnetic switchbacks to their source: An assessment of solar coronal jets as switchback precursors",N. Bizien,N/A,Incomplete
"Period Analysis of Eclipsing Cataclysmic Variable Stars","Mennatalla Mahmoud Ellaqany, Valeria Garcia-Lopez, Emily S. Hatten, Mridul Agarwal, David A. Moffett","Department of Physics, Furman University, Greenville, South Carolina 29613, USA",Complete
"Characterizing WASP-43b's interior structure: unveiling tidal decay and apsidal motion",L. M. Bernabò,N/A,Incomplete
"AMICO-WL: an optimal filtering algorithm for galaxy cluster detections with weak lensing",L. Trobbiani,N/A,Incomplete
"Real-time RFI Excision Techniques and their Limitations","Kaushal D. Buch, Ruta Kale, Kishor D. Naik, Ajithkumar B., Thushara Gunaratne, N. Habana, Gregory Hellbourg, Jane Kaczmarek, L. Petrov, Cedric Viou, Benjamin Winkel","Giant Metrewave Radio Telescope, NCRA-TIFR, Pune 410504, Maharashtra, India",Complete
"On the Use of WGANs for Super Resolution in Dark-Matter Simulations",John Brennan,N/A,Incomplete
"On the Use of WGANs for Super Resolution in Dark-Matter Simulations","Sreedhar Balu, Yuxiang Qin, John Regan, Chris Power","Centre for Astrophysics and Space Science Maynooth, Department of Physics, Maynooth University, Maynooth, Ireland",Complete
"Horizontal flows in the atmospheres of chemically peculiar stars",A. ud-Doula,N/A,Incomplete
"Gravitational waves and primordial black holes from the T-model inflation with Gauss-Bonnet correction",Peng-Bo Chen,"School of physics, Xidian University, Xi'an 710071, China",Complete
"Gravitational waves and primordial black holes from the T-model inflation with Gauss-Bonnet correction",Tie-Jun Gao,"School of physics, Xidian University, Xi'an 710071, China",Complete
"A Denser Hydrogen Inferred from First-Principles Simulations Challenges Jupiter's Interior Models",Cesare Cozza,"Department of Astrophysics, University of Zürich, Winterthurerstrasse 190, 8057 Zürich, Switzerland",Complete
"A Denser Hydrogen Inferred from First-Principles Simulations Challenges Jupiter's Interior Models",Kousuke Nakano,"National Institute for Materials Science (NIMS), Tsukuba, Japan; RIKEN, Wako, Saitama, Japan",Complete
"A Denser Hydrogen Inferred from First-Principles Simulations Challenges Jupiter's Interior Models",Saburo Howard,"Department of Astrophysics, University of Zürich, 8057 Zürich, Switzerland",Complete
"A Denser Hydrogen Inferred from First-Principles Simulations Challenges Jupiter's Interior Models",Hao Xie,"Department of Astrophysics, University of Zürich, 8057 Zürich, Switzerland",Complete
"A Denser Hydrogen Inferred from First-Principles Simulations Challenges Jupiter's Interior Models",Ravit Helled,"Department of Astrophysics, University of Zürich, 8057 Zürich, Switzerland",Complete
"A Denser Hydrogen Inferred from First-Principles Simulations Challenges Jupiter's Interior Models",Guglielmo Mazzola,"Department of Astrophysics, University of Zürich, 8057 Zürich, Switzerland",Complete
"The fine-scale structure of polar coronal holes",https://orcid.org/0000-0001-5678-9002,N/A,Incomplete
"DECH: Software Package for Astronomical Spectral Data Processing and Analysis",Gazinur A.,"Federal State Budget Scientific Institution Crimean Astrophysical Observatory of RAS, Nauchny 298409, Crimea",Complete
"On the nature of buckling instability in galactic bars",Ewa L.,N/A,Incomplete
"X-ray emission from isolated neutron stars: latest results from XMM-Newton, NICER and eROSITA",M. Rigoselli,N/A,Incomplete
"The Structure of the Molecular Envelope of the Ring Nebula (NGC 6720)",Joel H. Kastner,"Rochester Institute of Technology, Rochester NY 14623, USA; Laboratory for Multiwavelength Astrophysics, RIT",Complete
"The Structure of the Molecular Envelope of the Ring Nebula (NGC 6720)",David J. Wilner,"Center for Astrophysics, Harvard & Smithsonian, Cambridge, MA 02138, USA",Complete
"The Structure of the Molecular Envelope of the Ring Nebula (NGC 6720)",Diana Ryder,"School of Physics and Astronomy, Rochester Institute of Technology",Complete
"The Structure of the Molecular Envelope of the Ring Nebula (NGC 6720)",Paula Moraga Baez,"School of Physics and Astronomy, Rochester Institute of Technology",Complete
"The Structure of the Molecular Envelope of the Ring Nebula (NGC 6720)",Orsola De Marco,"Macquarie University, Sydney, Australia; Astronomy Research Centre, Macquarie University",Complete
"The Structure of the Molecular Envelope of the Ring Nebula (NGC 6720)",Raghvendra Sahai,"Jet Propulsion Laboratory, Caltech, Pasadena, CA 91109, USA",Complete
"The Structure of the Molecular Envelope of the Ring Nebula (NGC 6720)",Al Wootten,"National Radio Astronomy Observatory, Charlottesville, VA 22903, USA",Complete
"The Structure of the Molecular Envelope of the Ring Nebula (NGC 6720)",Albert Zijlstra,"The University of Manchester, Manchester M13 9PL, UK",Complete
"Conditions for radiative zones in the molecular hydrogen envelope of Jupiter and Saturn",L. Siebenaler,N/A,Incomplete
"The AGN Optical Variability Fundamental Plane",Ashley P. Tarrant,N/A,Incomplete
"Investigating launching of black hole jets with the combined power of the EVN and the EHT",G. F. Paraschos,N/A,Incomplete
"Constraining Proper Motion of Strongly Lensed Eccentric Binary Mergers using Doppler Triangulation",Johan Samsing,"Niels Bohr International Academy, Copenhagen, Denmark",Complete
"Constraining Proper Motion of Strongly Lensed Eccentric Binary Mergers using Doppler Triangulation",Lorenz Zwick,"Niels Bohr International Academy, Copenhagen, Denmark",Complete
"Constraining Proper Motion of Strongly Lensed Eccentric Binary Mergers using Doppler Triangulation",Pankaj Saini,"Niels Bohr International Academy, Copenhagen, Denmark",Complete
"Constraining Proper Motion of Strongly Lensed Eccentric Binary Mergers using Doppler Triangulation",Kai Hendriks,"Niels Bohr International Academy, Copenhagen, Denmark",Complete
"Constraining Proper Motion of Strongly Lensed Eccentric Binary Mergers using Doppler Triangulation",Rico K. L. Lo,"Niels Bohr International Academy, Copenhagen, Denmark",Complete
"Constraining Proper Motion of Strongly Lensed Eccentric Binary Mergers using Doppler Triangulation",Luka Vujeva,"Niels Bohr International Academy, Copenhagen, Denmark",Complete
"Constraining Proper Motion of Strongly Lensed Eccentric Binary Mergers using Doppler Triangulation",Georgi D. Radev,"The Niels Bohr Institute, Blegdamsvej 17, Copenhagen, Denmark",Complete
"Constraining Proper Motion of Strongly Lensed Eccentric Binary Mergers using Doppler Triangulation",Yan Yu,"The Niels Bohr Institute, Blegdamsvej 17, Copenhagen, Denmark",Complete
"Intervening nuclear obscuration changing the X-ray look of the $z\approx6$ QSO CFHQS J164121+375520",F. Vito,N/A,Incomplete
"Accelerating Pulsar Parameter Estimation Using Convolutional Neural Networks",Greg Olmschenk,"NASA GSFC; University of Maryland",Complete
"Accelerating Pulsar Parameter Estimation Using Convolutional Neural Networks",Emily Broadbent,"NASA GSFC; CRESST; UC San Diego, La Jolla, CA, USA",Complete
"Accelerating Pulsar Parameter Estimation Using Convolutional Neural Networks",Constantinos Kalapotharakos,NASA GSFC,Complete
"Accelerating Pulsar Parameter Estimation Using Convolutional Neural Networks",Wendy F. Wallace,"NASA GSFC; CRESST; SURA",Complete
"Accelerating Pulsar Parameter Estimation Using Convolutional Neural Networks",Thibault Lechien,"NASA GSFC; Max Planck Institute for Astrophysics, Garching, Germany",Complete
"Accelerating Pulsar Parameter Estimation Using Convolutional Neural Networks",Zorawar Wadiasingh,NASA GSFC,Complete
"Accelerating Pulsar Parameter Estimation Using Convolutional Neural Networks",Demosthenes Kazanas,"NASA GSFC; University of Maryland",Complete
"Accelerating Pulsar Parameter Estimation Using Convolutional Neural Networks",Alice Harding,"Los Alamos National Laboratory, Los Alamos, NM 87545, USA",Complete
"First photometric investigation of V517 Cam combined with ground-based and TESS data",Neslihan Alan,"Fatih Sultan Mehmet Vakif University, Istanbul, Turkiye",Complete
"First photometric investigation of V517 Cam combined with ground-based and TESS data",Fahri Alic,N/A,Incomplete
"First photometric investigation of V517 Cam combined with ground-based and TESS data",Mehmet Alpsoy,"Canakkale Onsekiz Mart University, Canakkale, Turkiye; Akdeniz University, Antalya, Turkiye",Complete
"Cosmological Parameter Estimation with Sequential Linear Simulation-based Inference",N. G. Mediato,"University of Cambridge, JJ Thomson Avenue, Cambridge, UK",Complete
"Cosmological Parameter Estimation with Sequential Linear Simulation-based Inference",W. J. Handley,"Kavli Institute for Cosmology, Cambridge, UK",Complete
"Uncovering underappreciated physical effects hidden in the cosmic-ray electron spectra at very high-energy",Wei Zhu,N/A,Incomplete
"Enhancing Fault Diagnosis in GWAC: A Monitoring System for Telescope Arrays",Y. Xu,"National Astronomical Observatories, CAS, Beijing, China",Complete
"Enhancing Fault Diagnosis in GWAC: A Monitoring System for Telescope Arrays",G. W. Li,"National Astronomical Observatories, CAS, Beijing, China",Complete
"Enhancing Fault Diagnosis in GWAC: A Monitoring System for Telescope Arrays",J. Wang,"National Astronomical Observatories, CAS, Beijing, China",Complete
"Enhancing Fault Diagnosis in GWAC: A Monitoring System for Telescope Arrays",L. P. Xin,"National Astronomical Observatories, CAS, Beijing, China",Complete
"Enhancing Fault Diagnosis in GWAC: A Monitoring System for Telescope Arrays",H. B. Cai,"National Astronomical Observatories, CAS, Beijing, China",Complete
"Enhancing Fault Diagnosis in GWAC: A Monitoring System for Telescope Arrays",X. H. Han,"National Astronomical Observatories, CAS, Beijing, China",Complete
"Enhancing Fault Diagnosis in GWAC: A Monitoring System for Telescope Arrays",X. M. Lu,"National Astronomical Observatories, CAS, Beijing, China",Complete
"Enhancing Fault Diagnosis in GWAC: A Monitoring System for Telescope Arrays",L. Huang,"National Astronomical Observatories, CAS, Beijing, China",Complete
"Enhancing Fault Diagnosis in GWAC: A Monitoring System for Telescope Arrays",J. Y. Wei,"NAOC, CAS, Beijing, China; University of Chinese Academy of Sciences, Beijing, China",Complete
"The impact of mass uncertainties on the r-process nucleosynthesis in neutron star mergers",Sébastien Martinet,N/A,Incomplete
"Two decades of optical variability of Small Magellanic Cloud high-mass X-ray binaries",H. Treiber,N/A,Incomplete
"Synthetic Modelling of Polarized Dust Emission in Intermediate-Mass YSOs: II",Nguyen Chau Giang,"Korea Astronomy and Space Science Institute, Daejeon, Korea; University of Science and Technology, Daejeon, Korea",Complete
"Synthetic Modelling of Polarized Dust Emission in Intermediate-Mass YSOs: II",V. J. M. Le Gouellec,"NASA Ames Research Center, Moffett Field, CA, USA",Complete
"Synthetic Modelling of Polarized Dust Emission in Intermediate-Mass YSOs: II",Thiem Hoang,"Korea Astronomy and Space Science Institute, Daejeon, Korea",Complete
"Synthetic Modelling of Polarized Dust Emission in Intermediate-Mass YSOs: II",A. J. Maury,"Institute of Space Sciences (ICE), CSIC, Barcelona, Spain",Complete
"Synthetic Modelling of Polarized Dust Emission in Intermediate-Mass YSOs: II",P. Hennebelle,"AIM, CEA, CNRS, Université Paris-Saclay, France",Complete
"The Three Hundred Project hydrodynamical simulations",C. Giocoli,N/A,Incomplete
"The Cosmic Microwave Background -- Secondary Anisotropies",Federico Bianchini,N/A,Incomplete
"The Cosmic Microwave Background -- Secondary Anisotropies",Abhishek Maniyar,N/A,Incomplete
"Mixing by Internal Gravity Waves in Stars: Assessing Numerical Simulations Against Theory",J. Morton,N/A,Incomplete
"High-cadence stellar variability studies of RR Lyrae stars with DECam",K. Baeza-Villagrain,N/A,Incomplete
"Exoplanet Occurrence Rate with Age for FGK Stars in Kepler",Maryum Sayeed,"Columbia University, New York, NY, USA",Complete
"Exoplanet Occurrence Rate with Age for FGK Stars in Kepler",Ruth Angus,"American Museum of Natural History, NY, USA; Flatiron Institute, NY, USA; Columbia University, NY, USA",Complete
"Exoplanet Occurrence Rate with Age for FGK Stars in Kepler",Travis A. Berger,"Space Telescope Science Institute, Baltimore, MD, USA",Complete
"Exoplanet Occurrence Rate with Age for FGK Stars in Kepler",Yuxi(Lucy) Lu,"American Museum of Natural History, NY, USA; Ohio State University, Columbus, OH, USA",Complete
"Exoplanet Occurrence Rate with Age for FGK Stars in Kepler",Jessie L. Christiansen,"NASA Exoplanet Science Institute, IPAC, Caltech, Pasadena, CA, USA",Complete
"Exoplanet Occurrence Rate with Age for FGK Stars in Kepler",Daniel Foreman-Mackey,"Flatiron Institute, Manhattan, NY, USA",Complete
"Exoplanet Occurrence Rate with Age for FGK Stars in Kepler",Melissa K. Ness,"Australian National University, Canberra, Australia; Columbia University, NY, USA",Complete
"Jet properties of FR0 radio galaxies: need for VLBI data",R. D. Baldi,N/A,Incomplete
Title,Author,Affiliations,Status
X-ray emission from helium star+black hole binaries as probes of tidally induced spin-up of second-born black holes,"K. Sen 1,2",N/A,Incomplete
Assessing the Impact of Binary Systems on Microlensing Using SPISEA and PopSyCLE Population Simulations,Natasha S. Abrams,"University of California, Berkeley, Department of Astronomy, Berkeley, CA 94720",Complete
Assessing the Impact of Binary Systems on Microlensing Using SPISEA and PopSyCLE Population Simulations,Jessica R. Lu,"University of California, Berkeley, Department of Astronomy, Berkeley, CA 94720",Complete
Assessing the Impact of Binary Systems on Microlensing Using SPISEA and PopSyCLE Population Simulations,Casey Y. Lam,"University of California, Berkeley, Department of Astronomy, Berkeley, CA 94720; Observatories of the Carnegie Institution for Science, Pasadena, CA 91101, USA",Complete
Assessing the Impact of Binary Systems on Microlensing Using SPISEA and PopSyCLE Population Simulations,Michael S. Medford,"University of California, Berkeley, Department of Astronomy, Berkeley, CA 94720",Complete
Assessing the Impact of Binary Systems on Microlensing Using SPISEA and PopSyCLE Population Simulations,"Matthew W. Hosek, Jr.","University of California, Los Angeles, Department of Astronomy, Los Angeles, CA 90095",Complete
Assessing the Impact of Binary Systems on Microlensing Using SPISEA and PopSyCLE Population Simulations,Sam Rose,"University of California, Berkeley, Department of Astronomy, Berkeley, CA 94720; Cahill Center for Astronomy and Astrophysics, California Institute of Technology, Pasadena, CA 91125, USA",Complete
TOPCAT/STILTS Integration,Mark Taylor,"H.~H.~Wills Physics Laboratory, Tyndall Avenue, University of Bristol, UK; m.b.taylor@bristol.ac.uk",Complete
Dust characterization of protoplanetary disks: a guide to multi-wavelength analyses and accurate dust mass measurements,Elena M. Viscardi1,N/A,Incomplete
HP2 Survey V. Ophiuchus: Filament formation in a dispersing cloud complex,Jo\ ao Alves1,N/A,Incomplete
Can $\nu$DM interactions solve the $S_8$ discrepancy?,Lei ZuLei.Zu@ncbj.gov.pl,N/A,Incomplete
Can $\nu$DM interactions solve the $S_8$ discrepancy?,William Giarèw.giare@sheffield.ac.uk,N/A,Incomplete
Can $\nu$DM interactions solve the $S_8$ discrepancy?,Chi Zhangchizhang@pmo.ac.cn,N/A,Incomplete
Can $\nu$DM interactions solve the $S_8$ discrepancy?,Eleonora Di Valentinoe.divalentino@sheffield.ac.uk,N/A,Incomplete
Can $\nu$DM interactions solve the $S_8$ discrepancy?,Yue-Lin Sming Tsaismingtsai@pmo.ac.cn,N/A,Incomplete
Can $\nu$DM interactions solve the $S_8$ discrepancy?,Sebastian TrojanowskiSebastian.Trojanowski@ncbj.gov.pl,"National Centre for Nuclear Research, ul. Pasteura 7, 02-093 Warsaw, Poland; School of Mathematical and Physical Sciences, University of Sheffield, Hounsfield Road, Sheffield S3 7RH, United Kingdom; Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210033, China; School of Astronomy and Space Science, University of Science and Technology of China,
Title,Author,Affiliations,Status
Forecasted Detection Limits on the (Dark) Matter Density in Supermassive Black Hole Binaries for LISA,"Matthias Daniel\,0009-0001-5805-2802","Institute for Theoretical Physics, Goethe University, 60438 Frankfurt am Main, Germany",Complete
Forecasted Detection Limits on the (Dark) Matter Density in Supermassive Black Hole Binaries for LISA,"Kris Pardo\,0000-0002-9910-6782","Department of Physics and Astronomy, University of Southern California, Los Angeles, CA 90089, USA",Complete
Forecasted Detection Limits on the (Dark) Matter Density in Supermassive Black Hole Binaries for LISA,"Laura Sagunski\,0000-0002-3506-3306","Institute for Theoretical Physics, Goethe University, 60438 Frankfurt am Main, Germany",Complete
Deep Photometric Observations of Ultra-Faint Milky Way Satellites Centaurus I and Eridanus IV,Quinn O. Casey,"Department of Physics and Astronomy, Dartmouth College, Hanover, NH 03755, USA",Complete
Deep Photometric Observations of Ultra-Faint Milky Way Satellites Centaurus I and Eridanus IV,Burc,"Department of Physics and Astronomy, Dartmouth College, Hanover, NH 03755, USA",Complete
Deep Photometric Observations of Ultra-Faint Milky Way Satellites Centaurus I and Eridanus IV,David J. Sand,"Steward Observatory, University of Arizona, 933 North Cherry Avenue, Tucson, AZ 85721-0065, USA",Complete
