title,abs_journal,status
Diurnal and Seasonal variations of Gravity Waves in the lower atmosphere of Mars as observed by Insight,Journal of Geophysical Research (Planets),success
Evidence for Jet/Outflow Shocks Heating the Environment Around the Class I Protostellar Source Elias 29: FAUST XXI,The Astrophysical Journal,success
Probing muonic force with periastron advance in binary pulsar systems,Physical Review D,success
Revisiting the Fundamental Planes of Black Hole Activity for Strong Jet Sources,The Astrophysical Journal,success
The evolution of metallicity gradients in galaxies from cosmological simulations,Monthly Notices of the Royal Astronomical Society,success
Explaining JWST star formation history at $z \sim 17$ by modifying $\Lambda$CDM,Astronomy and Astrophysics,success
Rotational Excitation of Vinyl Cyanide by Collisions with Helium Atoms at Low Temperature,ACS Earth and Space Chemistry,success
A Semi-analytic Framework of Population III and Subsequent Galaxy Formation on Ultralarge Cosmological N-body Simulations,The Astrophysical Journal,success
Spatially Resolved Circumgalactic Medium Around a Star-Forming Galaxy Driving a Galactic Outflow at $z\approx 0.8$,The Astrophysical Journal,success
Testing the local void solution to the Hubble tension using baryon acoustic oscillation measurements over the last twenty years,Monthly Notices of the Royal Astronomical Society,success
Possible environmental quenching in an interacting LRD pair at $z\sim7$,Astronomy and Astrophysics,success
Constraining the Effect of Baryonic Feedback on the Matter Power Spectrum with Fast Radio Bursts,The Astrophysical Journal,success
"A comment on ""Why is the Galactic disk so cool?"", by Hamilton et al",arXiv e-prints,success
Protostellar Outflows at the EarliesT Stages (POETS) VI. Evidence of disk-wind in G11.92-0.61 MM1,Astronomy and Astrophysics,success
Multi-messenger Emission by Magnetically Arrested Disks and Relativistic Jets of Black Hole X-ray Binaries,The Astrophysical Journal,success
International Astrophysical Consortium for High-energy Calibration: Summary of the 16th IACHEC Workshop,arXiv e-prints,success
A new approximation for heavy-lepton neutrino pair processes in simulations of core-collapse supernovae,Physical Review D,success
Observations of the First Galaxies in the Era of JWST,arXiv e-prints,success
Dark Matter Substructure: A Lensing Perspective,Physical Review D,success
Broadening of the Main Sequence of a Star Cluster by Undetected Binaries,Research Notes of the American Astronomical Society,success
"A closer look at LTT\,9779b: The ESPRESSO endeavour to pierce the atmospheric veil",Astronomy and Astrophysics,success
r-Process Nucleosynthesis and Radioactively Powered Transients from Magnetar Giant Flares,The Astrophysical Journal,success
Exploring Constraints on Axion-like Particles with the Observations for blazar Mrk 501,Journal of Cosmology and Astroparticle Physics,success
Dark photon constraints using the UHE gamma-ray emission from galactic sources. A Phenomenological Study,Physical Review D,success
A confirmed recoiling supermassive black hole in a powerful quasar,arXiv e-prints,success
Tidal disruption events as origin of the eROSITA and Fermi bubbles,Astronomy and Astrophysics,success
Convective stability analysis of massive neutron stars formed in binary mergers,arXiv e-prints,success
Low dust mass and high star-formation efficiency at $z>12$ from deep ALMA observations,arXiv e-prints,success
Temperature-redshift relation in energy-momentum-powered gravity models,Physical Review D,success
It's not $\sigma_8$ : constraining the non-linear matter power spectrum with the Dark Energy Survey Year-5 supernova sample,Monthly Notices of the Royal Astronomical Society,success
Rapid follow-up of infant supernovae with the Gran Telescopio de Canarias,Journal of Cosmology and Astroparticle Physics,success
Quintessential Implications of the presence of AdS in the Dark Energy sector,arXiv e-prints,success
TRIPP: A General Purpose Data Pipeline for Astronomical Image Processing,arXiv e-prints,success
X-ray Spectra from General Relativistic RMHD Simulations of Thin Disks,The Astrophysical Journal,success
Universal description of the Neutron Star's surface and its key global properties: A Machine Learning Approach for nonrotating and rapidly rotating stellar models,Physical Review D,success
The Southern Photometrical Local Universe Survey (S-PLUS): searching for metal-poor dwarf galaxies,The Astrophysical Journal,success
Gravitational waves from metastable cosmic strings in the delayed scaling scenario,Journal of Cosmology and Astroparticle Physics,success
"Constraining Disk-to-Corona Power Transfer Fraction, Soft X-ray Excess Origin, and Black Hole Spin Population of Type-1 AGN across Mass Scales",arXiv e-prints,success
Observations of the X-ray Millihertz Quasiperiodic Oscillations in Hercules X-1,The Astrophysical Journal,success
Cosmic distance duality after DESI 2024 data release and dark energy evolution,arXiv e-prints,success
Study of long-term spectral evolution and X-ray and Gamma-ray correlation of blazars seen by HAWC,The Astrophysical Journal,success
The 2.5-meter Wide Field Survey Telescope Real-time Data Processing Pipeline I: From raw data to alert distribution,arXiv e-prints,success
Constraints on fast radio burst population from the first CHIME/FRB catalog from Hierarchical Bayesian Inference,The Astrophysical Journal,success
Icarus 3.0: Dynamic Heliosphere Modelling,Astronomy and Astrophysics,success
The Ophiuchus DIsk Survey Employing ALMA (ODISEA): Complete Size Distributions for the 100 Brightest Disks Across Multiplicity and SED Classes,The Astrophysical Journal,success
Uncertainties in the Hubble Constant from Peculiar Velocities,Journal of Cosmology and Astroparticle Physics,success
Studying the Power Sources Behind Type Ic Supernovae,The Astrophysical Journal,success
"Numerical Study of Solar Eruption, EUV Wave Propagation, and Wave-Induced Prominence Dynamics",Astronomy and Astrophysics,success
Discovering Strong Gravitational Lenses in the Dark Energy Survey with Interactive Machine Learning and Crowd-sourced Inspection with Space Warps,arXiv e-prints,success
Repeated pattern of $\gamma$-ray flares in the blazar PKS 1502+106 coincident with the IC190730A neutrino event,Astronomy and Astrophysics,success
Novel SIMEX algorithm for autoregressive models to estimate AGN variability,Monthly Notices of the Royal Astronomical Society,success
"Matter creation, adiabaticity and phantom behavior",European Physical Journal C,success
Measuring Star Formation Rates in the Milky Way from Hi-GAL 70 $\mu$m Observations,The Astrophysical Journal,success
Euclid preparation: Extracting physical parameters from galaxies with machine learning,Astronomy and Astrophysics,success
Uncovering the bias in the evidence for dynamical dark energy through minimal and generalized modeling approaches,arXiv e-prints,success
ALPs production from Light Primordial Black Holes: the role of Superradiance,Physical Review D,success
"Supernovae Ia, high-redshift probes, and the Hubble tension: current status and future perspectives",arXiv e-prints,success
Oscillatory Line-Driven Winds: The Role of Atmospheric Stratification,The Astrophysical Journal,success
Refining local-type primordial non-Gaussianity: Sharpened $b_\phi$ constraints through bias expansion,Physical Review D,success
Super-Kamiokande Strongly Constrains Leptophilic Dark Matter Capture in the Sun,arXiv e-prints,success
Artificial Intelligence Could Have Predicted All Space Weather Events Associated with the May 2024 Superstorm,The Astrophysical Journal,success
How deep is the dip and how tall are the wiggles in inflationary power spectra?,Journal of Cosmology and Astroparticle Physics,success
Automation of finding strong gravitational lenses in the Kilo Degree Survey with U-DenseLens (DenseLens + Segmentation),Monthly Notices of the Royal Astronomical Society,success
A Neural Network Model for the Cosmic Dispersion Measure in the CAMELS Simulations,Monthly Notices of the Royal Astronomical Society,success
ATOMS: ALMA Three-millimeter Observations of massive Star-forming regions -XX. Probability distribution function of integrated intensity for dense molecular gas tracers,Monthly Notices of the Royal Astronomical Society,success
Searching for GEMS: Discovery and Characterization of Two Brown Dwarfs Around M Dwarfs,The Astronomical Journal,success
Star-Forming vs. Quenched Galaxies in Voids: Insights into the Role of Mergers,arXiv e-prints,success
Mapping H$\alpha$-Excess Candidate Point Sources in the Southern Hemisphere Using S-PLUS Data,Astronomy and Astrophysics,success
Detection of extended X-ray emission surrounding PSR B0656+14 with eROSITA,arXiv e-prints,success
EZOA: Nan\c{c}ay HI follow-up observations in the Zone of Avoidance,Astronomy and Astrophysics,success
Uncertainties in astrophysical gamma-ray and neutrino fluxes from proton-proton cross-sections in the GeV to PeV range,Journal of Cosmology and Astroparticle Physics,success
Impact of light sterile neutrinos on cosmological large scale structure,Journal of Cosmology and Astroparticle Physics,success
Influence of the Galactic Halo on the UHECR Multipoles,Monthly Notices of the Royal Astronomical Society,success
UHECR deflections in the Galactic magnetic field,Physical Review D,success
"Measuring the Stellar-to-Halo Mass Relation at $\sim10^{10}$ Solar masses, using space-based imaging of galaxy-galaxy strong lenses",arXiv e-prints,success
Grain Alignment and Dust Evolution Physics with Polarisation (GRADE-POL). I. Dust Polarisation Modelling for Isolated Starless Cores,Astronomy and Astrophysics,success
The Observed Luminosity Correlations of Gamma-Ray Bursts and Their Applications,Galaxies,success
Mass and Metal Flows in Isolated IllustrisTNG Halos,The Astrophysical Journal,success
Completion of Lunar Magma Ocean Solidification at 4.43 Ga,Proceedings of the National Academy of Science,success
A Possible Mass Ratio and Spin-Orbit Misalignment Correlation for Mergers of Binary Black Holes in Nuclear Star Clusters,arXiv e-prints,success
Line-of-sight shear in SLACS strong lenses,arXiv e-prints,success
Time-Integrated Southern-Sky Neutrino Source Searches with 10 Years of IceCube Starting-Track Events at Energies Down to 1 TeV,arXiv e-prints,success
Type I X-ray Bursts Reflected During the X-ray Eclipses of EXO 0748-676,Monthly Notices of the Royal Astronomical Society,success
Connection between planetary He I $\lambda$10830 \AA\ absorption and extreme-ultraviolet emission of planet-host stars,Astronomy and Astrophysics,success
A cosmic degeneracy story: structure formation with warm dark matter and scale-dependent primordial non-Gaussianities,Journal of Cosmology and Astroparticle Physics,success
$\Lambda$CDM Model Against Gravity-Thermodynamics Conjecture: Observational Constraints After DESI 2024,European Physical Journal C,success
The joint detection rate of short gamma-ray bursts and gravitational waves from binary neutron star mergers,Monthly Notices of the Royal Astronomical Society,success
Constraints from Gamma-ray Burst Phenomenology on the Hypothesis of Quark Star as the central engine of Gamma-ray Bursts,Physical Review D,success
Emission Characteristics of Energetic Electrons with Crescent-shaped Velocity Distributions,The Astrophysical Journal,success
Real-time RFI Excision Techniques and their Limitations,arXiv e-prints,success
Eruptive YSOs in Cygnus-X: a mid-infrared variability study with NEOWISE and SPICY,Monthly Notices of the Royal Astronomical Society,success
Cosmological Parameter Estimation with Sequential Linear Simulation-based Inference,arXiv e-prints,success
Cosmic-ray acceleration and escape from supernova remnant W44 as probed by Fermi-LAT and MAGIC,Astronomy and Astrophysics,success
High-frequency coronal Alfv\'enic waves observed with DKIST/Cryo-NIRSP,The Astrophysical Journal,success
Modelling noise in gravitational-wave observatories with transdimensional models,Physical Review D,success
Science Opportunities of Wet Extreme Mass-Ratio Inspirals,arXiv e-prints,success
"Pseudo-Newtonian simulation of a thin accretion disk around a Reissner-Nordstr\""om naked singularity",The Astrophysical Journal,success
Interaction of Electromagnetic Radiation with Cometary Dust,Comets III,success
Stellar Tidal Disruptions by Newborn Neutron Stars or Black Holes: A Mechanism for Hydrogen-poor (Super)luminous Supernovae and Fast Blue Optical Transients,The Astrophysical Journal,success
The Quasar Feedback Survey: zooming into the origin of radio emission with e-MERLIN,Monthly Notices of the Royal Astronomical Society,success
Identifying Thorne-\.Zytkow Objects through Neutrinos,The Astrophysical Journal,success
Constraining $\gamma$-ray dissipation site in gravitationally lensed quasar -- PKS 1830$-$211,Monthly Notices of the Royal Astronomical Society,success
Lyman Alpha Forest - Halo Cross-Correlations in Effective Field Theory,Physical Review D,success
An original classification of obscuration-free telescopes designs unfolded in two dimensions,arXiv e-prints,success
The Forward Physics Facility at the HL-LHC and its Synergies with Astroparticle Physics,arXiv e-prints,success
Searching for dark matter annihilating into light-long-lived mediators from stars inside dwarf spheroidal galaxies,Physical Review D,success
Effort: a fast and differentiable emulator for the Effective Field Theory of the Large Scale Structure of the Universe,Journal of Cosmology and Astroparticle Physics,success
The distribution of misalignment angles in multipolar planetary nebulae,The Open Journal of Astrophysics,success
The Evolution of Half-Mass Radii and Color Gradients for Young and Old Quiescent Galaxies at $0.5 < z < 3$ with JWST/PRIMER,The Astrophysical Journal,success
Effective resistivity in relativistic reconnection: a prescription based on fully kinetic simulations,The Astrophysical Journal,success
Influence of photometric galaxies redshift distribution in BAO estimation,arXiv e-prints,success
Dwarf Galaxy Integral-field Survey (DGIS): survey overview and the result of global mass-metallicity relation,arXiv e-prints,success
The Catalogue of Virtual Early-Type Galaxies from IllustrisTNG: Validation and Real Observation Consistency,Monthly Notices of the Royal Astronomical Society,success
Another piece to the puzzle: radio detection of a JWST discovered AGN candidate,The Astrophysical Journal,success
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,arXiv e-prints,success
Identifying Flare Locations Through Exoplanet Transit Occultations,Monthly Notices of the Royal Astronomical Society,success
Dissipation and particle acceleration in astrophysical jets with velocity and magnetic shear: Interaction of Kelvin-Helmholtz and Drift-Kink Instabilities,arXiv e-prints,success
The Cosmic Evolution Early Release Science Survey (CEERS),The Astrophysical Journal,success
Detecting Exomoons in Free-Floating-Planet Events from Space-based Microlensing Surveys,Research in Astronomy and Astrophysics,success
Many-body atomic response functions of xenon and germanium for leading-order sub-GeV dark matter-electron interactions in effective field theory,arXiv e-prints,success
The angular momentum spiral of the Milky Way disc in Gaia,Monthly Notices of the Royal Astronomical Society,success
"NGTS-EB, an eccentric, long-period, low-mass eclipsing binary",Monthly Notices of the Royal Astronomical Society,success
Non-stop Variability of Sgr A* using JWST at 2.1 and 4.8 micron Wavelengths: Evidence for Distinct Populations of Faint and Bright Variable Emission,The Astrophysical Journal,success
\texttt{Pz Cats}: Photometric redshift catalogs based on DES Y3 BAO sample,Journal of Cosmology and Astroparticle Physics,success
A Near-IR Search for Helium in the Superluminous Supernova SN 2024ahr,The Astrophysical Journal,success
Quasi-parallel anti-sunward propagating whistler waves associated to the electron-deficit in the near-Sun solar wind: Particle-in-Cell simulation,The Astrophysical Journal,success
Systematic Search for Long-Term Trends in Fermi-LAT Jetted Active Galactic Nuclei,The Astrophysical Journal,success
FEASTS: Radial Distribution of HI surface densities down to 0.01 M$_{\odot}$ pc$^{-2}$ of 35 Nearby Galaxies,The Astrophysical Journal,success
Chemistry in the Galactic Center,arXiv e-prints,success
Energy spectrum and mass composition of cosmic rays from Phase I data measured using the Pierre Auger Observatory,arXiv e-prints,success
"Photometry of outer Solar System objects from the Dark Energy Survey II: a joint analysis of trans-Neptunian absolute magnitudes, colors, lightcurves and dynamics",The Astronomical Journal,success
AT2021aeuk: A Repeating Partial Tidal Disruption Event Candidate in a Narrow-line Seyfert 1,The Astrophysical Journal,success
An Updated Line List for Spectroscopic Investigation of G Stars II: Refined Solar Abundances via Extended Wavelength Coverage to 10 000 \AA,Physics and Astronomy Reports,success
Red Giant Winds Driven by Alfv\'en Waves with Magnetic Diffusion,Publications of the Astronomical Society of Japan,success
On the Duration of Gamma-Ray Bursts,Journal of High Energy Astrophysics,success
The Role of Electric Dominance for Particle Injection in Relativistic Reconnection,Monthly Notices of the Royal Astronomical Society,success
An intriguing coincidence between the majority of the VPOS dwarfs and a recent major merger at the M31 position,Astronomy and Astrophysics,success
Testing the extended corona model with the optical/UV reverberation mapping of the accretion disk,arXiv e-prints,success
Influence of departures from LTE on determinations of the sulfur abundances in A-K type stars,Astronomy Reports,success
Role of gravitational decoupling on theoretical insights of relativistic massive compact stars in the mass gap,Journal of Cosmology and Astroparticle Physics,success
Implementing SIAv2 Over Rubin Observatory's Data Butler,arXiv e-prints,success
The Giant Radio Array for Neutrino Detection (GRAND) and its prototype phases,arXiv e-prints,success
Testing disc reprocessing models for AGN optical variability by comparison of X-ray and optical power spectra of NGC 4395,Monthly Notices of the Royal Astronomical Society,success
Parametrization Framework for the Deceleration Parameter in Scalar Field Dark Energy Model,arXiv e-prints,success
IRIS: A Bayesian Approach for Image Reconstruction in Radio Interferometry with expressive Score-Based priors,arXiv e-prints,success
Revisiting the Chern-Simons interaction during inflation with a non-canonical pseudo-scalar,Journal of Cosmology and Astroparticle Physics,success
Production of linear alkanes via the solid-state hydrogenation of interstellar polyynes,Astronomy and Astrophysics,success
An Independent Search for Small Long-period Planets in Kepler Data I: Detection Pipeline,The Astronomical Journal,success
ImageMM: Joint multi-frame image restoration and super-resolution,The Astronomical Journal,success
Evolution of the S\'ersic Index up to z=2.5 from JWST and HST,Astronomy and Astrophysics,success
Searches for primary photons and neutrinos with the Pierre Auger Observatory,arXiv e-prints,success
Interactions among binary black holes in star clusters: eccentric gravitational wave captures and triple formation,Astronomy and Astrophysics,success
Upper Limits on the Mass of Cool Gas in the CGM of Dwarf Galaxies,The Astrophysical Journal,success
Abundant Water from Early Supernovae at Cosmic Dawn,Nature Astronomy,success
Lyman-alpha resonant-line radiative transfer in expanding media,Monthly Notices of the Royal Astronomical Society,success
Exoplanet Detection via Differentiable Rendering,arXiv e-prints,success
H$\alpha$-X-ray Surface Brightness Correlation for Filaments in Cooling Flow Clusters,Nature Astronomy,success
Effects of Galaxy Cluster Structure on Lensed Transients,Physical Review D,success
"Using LSDB to enable large-scale catalog distribution, cross-matching, and analytics",arXiv e-prints,success
The Kratos Framework for Hetrogeneous Astrophysical Simulations: Fundamental Infrastructures and Hydrodynamics,The Astrophysical Journal Supplement Series,success
Analyses of features of magnetic cycles at different amounts of dynamo supercriticality: Solar dynamo is about two times critical,Solar Physics,success
A Critical Reanalysis of Supernova Type Ia Data,New Astronomy,success
"MOA-2022-BLG-033Lb, KMT-2023-BLG-0119Lb, and KMT-2023-BLG-1896Lb: Three low mass-ratio microlensing planets detected through dip signals",Astronomy and Astrophysics,success
Differentiating the acceleration mechanisms in the slow and Alfv\'enic slow solar wind,The Astrophysical Journal,success
The Lack of RR Lyrae Variables in Ultrafaint Dwarf Galaxy Sextans II,The Astronomical Journal,success
"Easy remote observations using web interfaces: controlling an Italian telescope from Japan, and more","Observatory Operations: Strategies, Processes, and Systems X",success
The FAST Ursa Major cluster HI survey (FUMaS): catalog and HI mass function,The Astrophysical Journal Supplement Series,success
3D MC I: X-ray Tomography Begins to Unravel the 3-D Structure of a Molecular Cloud in our Galaxy's Center,The Astrophysical Journal,success
Cassiopeia A's Reverse Shock and its Effects on the Expanding SN Ejecta,The Astrophysical Journal Supplement Series,success
"Improvements to SHINS, the SHARK-NIR Instrument Software, during the AIT phase",Software and Cyberinfrastructure for Astronomy VII,success
"Probing Spectral Evolution and Intrinsic Variability of Mkn\,421: A Multi-Epoch AstroSat Study of X-ray Spectra",Journal of High Energy Astrophysics,success
On the features of great Forbush effect during May 2024 extreme geomagnetic storm,Advances in Space Research,success
Toward the remotization and robotization of the OARPAF telescope,"Observatory Operations: Strategies, Processes, and Systems IX",success
Effect of dark matter halo on transonic accretion flow around a galactic black hole,Journal of Cosmology and Astroparticle Physics,success
The GRACE project: Hard X-ray giant radio galaxies and their duty cycle,arXiv e-prints,success
Dusty disk as a safe haven for terrestrial planets: Effect of back-reaction of solid material on gas,Astronomy and Astrophysics,success
Unlocking ultra-deep wide-field imaging with sidereal visibility averaging,Astronomy and Astrophysics,success
Model-independent forecasts for the cosmological anisotropic stress,Monthly Notices of the Royal Astronomical Society,success
Deriving the abundance distribution of HII galaxies using sulphur as tracer: Exploring the high-metallicity end,Astronomy and Astrophysics,success
Ultra-Light Dark Matter Simulations and Stellar Dynamics: Tension in Dwarf Galaxies for $m < 5\times10^{-21} $ eV,arXiv e-prints,success
"Discovery of Ancient Globular Cluster Candidates in The Relic, a Quiescent Galaxy at z=2.5",arXiv e-prints,success
Euclid: Optimising tomographic redshift binning for 3$\times$2pt power spectrum constraints on dark energy,arXiv e-prints,success
"Compact Size, High $\Sigma$SFR: Defining Morphological Features of Ly$\alpha$-Emitters",arXiv e-prints,success
Testing $\gamma\delta$CDM Model in the Redshift Bins,Physics of the Dark Universe,success
Searching for Quiescent Galaxies over $3 < z < 6$ in JWST Surveys Using Manifold Learning,arXiv e-prints,success
Prompt gravitational-wave mergers aided by gas in Active Galactic Nuclei: The hydrodynamics of binary-single black hole scatterings,Monthly Notices of the Royal Astronomical Society,success
Heavy Axions Can Disrupt $\gamma$-ray Bursts,arXiv e-prints,success
The case for a low dark matter density in dynamical dark energy model from local probes,International Journal of Modern Physics D,success
"Zapped then Napped? A rapidly quenched, remnant leaker candidate with a steep spectroscopic $\beta_{UV}$ slope at z=8.5",Astronomy and Astrophysics,success
Simons Observatory: Characterization of the Large Aperture Telescope Receiver,The Astrophysical Journal Supplement Series,success
