title,ads_bibcode,affiliations,total_citations,non_self_citations,status
Rare Find: Discovery and chemo-dynamical properties of two s-process enhanced RR Lyrae stars,2025A&A...704A..12D,"D'Orazi, V.: Department of Physics, University of Rome Tor Vergata, Via della Ricerca Scientifica 1, 00133, Rome, Italy; INAF Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, 35122, Padova, Italy; Department of Astronomy &amp; McDonald Observatory, The University of Texas at Austin, 2515 Speedway, Austin, TX, 78712, USA; School of Physics and Astronomy, Monash University, Clayton, VIC, 3800, Australia;; Iorio, G.: Departament de Física Quàntica i Astrofísica, Universitat de Barcelona, c. Martí i Franquès, 1, 08028, Barcelona, Spain;; Cseh, B.: Konkoly Observatory, HUN-REN Research Centre for Astronomy and Earth Sciences, MTA Centre for Excellence, Konkoly Thege Miklós út 15-17, Budapest, 1121, Hungary; MTA-ELTE Lendület ""Momentum"" Milky Way Research Group, Szent Imre h. u. 112, 9700, Szombathely, Hungary; Sneden, C.: Department of Astronomy &amp; McDonald Observatory, The University of Texas at Austin, 2515 Speedway, Austin, TX, 78712, USA;; Abdollahi, H.: Konkoly Observatory, HUN-REN Research Centre for Astronomy and Earth Sciences, MTA Centre for Excellence, Konkoly Thege Miklós út 15-17, Budapest, 1121, Hungary;; Molnár, L.: Konkoly Observatory, HUN-REN Research Centre for Astronomy and Earth Sciences, MTA Centre for Excellence, Konkoly Thege Miklós út 15-17, Budapest, 1121, Hungary; Eötvös Loránd University, Institute of Physics and Astronomy, H-1117 Pázmány Péter sétány 1/A, Budapest, Hungary;; Bobrick, A.: School of Physics and Astronomy, Monash University, Clayton, VIC, 3800, Australia; OzGrav: Australian Research Council Centre of Excellence for Gravitational Wave Discovery, Clayton, VIC, 3800, Australia;; Bono, G.: Department of Physics, University of Rome Tor Vergata, Via della Ricerca Scientifica 1, 00133, Rome, Italy; INAF ─ Osservatorio Astronomico di Roma, Via Frascati 33, Monte Porzio Catone, Italy; Braga, V. F.: INAF ─ Osservatorio Astronomico di Roma, Via Frascati 33, Monte Porzio Catone, Italy;; Karakas, A.: School of Physics and Astronomy, Monash University, Clayton, VIC, 3800, Australia;; Lugaro, M.: Konkoly Observatory, HUN-REN Research Centre for Astronomy and Earth Sciences, MTA Centre for Excellence, Konkoly Thege Miklós út 15-17, Budapest, 1121, Hungary; Eötvös Loránd University, Institute of Physics and Astronomy, H-1117 Pázmány Péter sétány 1/A, Budapest, Hungary; School of Physics and Astronomy, Monash University, Clayton, VIC, 3800, Australia;; Campbell, S. W.: School of Physics and Astronomy, Monash University, Clayton, VIC, 3800, Australia;; Fabrizio, M.: INAF ─ Osservatorio Astronomico di Roma, Via Frascati 33, Monte Porzio Catone, Italy; Space Science Data Center ─ ASI, Via del Politecnico SNC, 00133, Rome, Italy;; Fiorentino, G.: INAF ─ Osservatorio Astronomico di Roma, Via Frascati 33, Monte Porzio Catone, Italy;; Roederer, I. U.: Department of Physics, North Carolina State University, Raleigh, NC, 27695, USA;; Storm, N.: Max-Planck-Institut fur Astronomie, Konigstuhl 17, D-69117, Heidelberg, Germany;; Tantalo, M.: INAF ─ Osservatorio Astronomico di Roma, Via Frascati 33, Monte Porzio Catone, Italy;; Crestani, J.: Department of Physics, University of Rome Tor Vergata, Via della Ricerca Scientifica 1, 00133, Rome, Italy; INAF ─ Osservatorio Astronomico di Roma, Via Frascati 33, Monte Porzio Catone, Italy",0,0,success
Born to be recycled: a comprehensive population synthesis of the Galactic millisecond pulsars,2025arXiv251015661S,,4,3,success
Glycolaldehyde and ethanol toward the L1157 outflow: resolved images and constraints on glycolaldehyde formation,2025arXiv251015657R,,0,0,success
Spectroscopic Follow-up of Young High-$α$ Dwarf Star Candidates: Still Likely Genuinely Young,2025arXiv251015654L,,0,0,success
Transverse BAO scale measurement at $z_{\rm eff} = 1.725$ with the SDSS quasars catalog,2025arXiv251015650A,,1,1,success
Simulating the LOcal Web (SLOW) - VI: $γ$-ray Emission in the Local Universe,2025arXiv251015634B,,1,1,success
Molecular line emission from 1000 au scales outflows to <30 au compact structures in NGC1333 IRAS4A2,2025A&A...703A.280G,"Guerra-Alvarado, O. M.: Leiden Observatory, Leiden University, PO Box 9513, 2300, RA Leiden, The Netherlands;; van der Marel, N.: Leiden Observatory, Leiden University, PO Box 9513, 2300, RA Leiden, The Netherlands; Nazari, P.: European Southern Observatory, Karl-Schwarzschild-Strasse 2, 85748, Garching, Germany;; Di Francesco, J.: National Research Council of Canada, Herzberg Astronomy and Astrophysics Research Centre, 5071 West Saanich Road, Victoria, BC V9E 2E7, Canada; Tychoniec, Ł.: Leiden Observatory, Leiden University, PO Box 9513, 2300, RA Leiden, The Netherlands; Looney, L. W.: Department of Astronomy, University of Illinois, 1002 West Green Street, Urbana, IL, 61801, USA; Cox, E. G.: Center for Interdisciplinary Exploration and Research in Astronomy, Northwestern University, 1800 Sherman Rd., Evanston, IL, 60202, USA; NSF MPS-Fellow; Wilner, D. J.: Center for Astrophysics | Harvard &amp; Smithsonian, Cambridge, MA, 02138, USA;; Hogerheijde, M. R.: Leiden Observatory, Leiden University, PO Box 9513, 2300, RA Leiden, The Netherlands; Anton Pannekoek Institute for Astronomy, University of Amsterdam, PO Box 94249, 1090 GE, Amsterdam, The Netherlands;",0,0,success
Magnetic fields in planetary nebulae detected through non-thermal radio continuum emission,2025A&A...703L...5H,"Hajduk, Marcin: Department of Geodesy, Faculty of Geoengineering, University of Warmia and Mazury, ul. Oczapowskiego 2, 10-719, Olsztyn, Poland;; Shimwell, Timothy: Leiden Observatory, Leiden University, PO Box 9513, 2300 RA, Leiden, The Netherlands; ASTRON, The Netherlands Institute for Radio Astronomy, Postbus 2, NL-7990 AA, Dwingeloo, The Netherlands; White, Glenn: School of Physical Sciences, The Open University, Walton Hall, Milton Keynes, MK7 6AA, UK; RAL Space, STFC Rutherford Appleton Laboratory, Chilton, Didcot, Oxfordshire, OX11 0QX, UK; Haverkorn, Marijke: Department of Astrophysics/IMAPP, Radboud University, PO Box 9010, 6500 GL, Nijmegen, The Netherlands;; Toalá, Jesús A.: Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Morelia, 58089, Mich., Mexico;; Dettmar, Ralf-Jürgen: Ruhr University Bochum, Faculty of Physics and Astronomy, Astronomical Institute (AIRUB), 44780, Bochum, Germany;",0,0,success
The lack of fast rotators in Cyg OB2. I. Insights from spectral reclassification of its B0 population,2025arXiv251015540G,,0,0,success
J-GEM near-infrared follow-up observations of the gravitational wave event S240422ed,2025arXiv251015534T,,0,0,success
Eruption column modelling of explosive volcanism on Venus,2025JGRE..13009320L,"Lefèvre, Maxence: LATMOS/IPSL, Sorbonne Université, UVSQ Université Paris Saclay, CNRS, Paris, France;; Cerminara, Matteo: Istituto Nazionale di Geofisica e Vulcanologia, Pisa, Italy;; Costa, Antonio: Istituto Nazionale di Geofisica e Vulcanologia, Perugia, Italy",0,0,success
Definition and Realization of the International Lunar Reference Frame,2025arXiv251015484S,,1,1,success
The effect of near-surface winds on surface temperature and dust transport on Venus,2025JGRE..13009133L,"Lefèvre, Maxence: Centre National de la Recherche Scientifique, LATMOS/IPSL, Sorbonne Université, UVSQ, Université Paris-Saclay, Paris, France;; Lebonnois, Sébastien: LMD/IPSL, CNRS, Sorbonne Université, École Normale Supérieure, Université PSL, École Polytechnique, Institut Polytechnique de Paris, Paris, France;; Spiga, Aymeric: LMD/IPSL, CNRS, Sorbonne Université, École Normale Supérieure, Université PSL, École Polytechnique, Institut Polytechnique de Paris, Paris, France;; Forget, François: LMD/IPSL, CNRS, Sorbonne Université, École Normale Supérieure, Université PSL, École Polytechnique, Institut Polytechnique de Paris, Paris, France",0,0,success
Disentangling two spectral components in the X-ray emission of the blazar 1ES 0229+200,2025A&A...703A.150W,"Wierzcholska, Alicja: Institute of Nuclear Physics, Polish Academy of Sciences, ul. Radzikowskiego 152, 31-342, Kraków, Poland; Landessternwarte, Universität Heidelberg, Königstuhl 12, D 69117, Heidelberg, Germany;; Siejkowski, Hubert: Academic Computer Centre CYFRONET of the AGH University of Krakow, Nawojki 11, 30-950, Kraków, P.O. Box 6, Poland;",0,0,success
Strong gravitational-wave lensing posterior odds,2025arXiv251015463H,,1,1,success
Exploring Ultra-Slow-Roll Inflation in Composite Pseudo-Nambu-Goldstone Boson Models: Implications for Primordial Black Holes and Gravitational Waves,2025arXiv251015460M,,2,2,success
Event types in H.E.S.S.: a combined analysis for different telescope types and energy ranges,2025arXiv251015454G,,0,0,success
Extending TESS Flare Frequency Distributions with CHEOPS: power-law or lognormal?,2025arXiv251015453P,,0,0,success
Sensitivity of Nuclear Reaction Rates in X-ray Burst Models,2025arXiv251015441S,,0,0,success
A family of binaries with an extreme mass ratio,2025A&A...703A.239N,"Nazé, Yaël: Groupe d'Astrophysique des Hautes Energies, STAR, Université de Liège, B5c, Allée du 6 Août 19c, 4000, Sart Tilman, Liège, Belgium;; Rauw, Gregor: Groupe d'Astrophysique des Hautes Energies, STAR, Université de Liège, B5c, Allée du 6 Août 19c, 4000, Sart Tilman, Liège, Belgium;; Kołaczek-Szymański, Piotr A.: Groupe d'Astrophysique des Hautes Energies, STAR, Université de Liège, B5c, Allée du 6 Août 19c, 4000, Sart Tilman, Liège, Belgium; Astronomical Institute, Department of Physics and Astronomy, University of Wroclaw, Kopernika 11, 51-622, Wroclaw, Poland;; Britavskiy, Nikolay: Royal Observatory of Belgium, Avenue Circulaire/Ringlaan 3, 1180, Brussels, Belgium;; Labadie-Bartz, Jonathan: LIRA, Observatoire de Paris, Université PSL, CNRS, Sorbonne Université, Université Paris Cité, CY Cergy Paris Université, 92190, Meudon, France; DTU Space, Technical University of Denmark, Elektrovej 327, 2800 Kgs., Lyngby, Denmark",1,0,success
Evidence for cloud-to-cloud variations in the ratio of polarized thermal dust emission to starlight polarization,2025arXiv251015389M,,0,0,success
Neural Posterior Estimation for Cataloging Astronomical Images from the Legacy Survey of Space and Time,2025arXiv251015315D,,0,0,success
Precise frequencies of H$_2^{~16}$O lines protected for radio astronomy,2025ApJS..280...47A,"Altman, Arthémise: Institute of Condensed Matter and Nanosciences, Université catholique de Louvain, Louvain-la-Neuve, Belgium; Tóbiás, Roland: Department of Chemistry, University of Vermont, Burlington, VT 05405, USA; Institute of Chemistry, ELTE Eötvös Loránd University, H-1117 Budapest, Pázmány Péter sétány 1/A, Hungary; Bogomolov, Alexandr S.: Institute of Condensed Matter and Nanosciences, Université catholique de Louvain, Louvain-la-Neuve, Belgium; Diouf, Meissa L.: Department of Physics and Astronomy, LaserLaB, Vrije Universiteit, De Boelelaan 1100, 1081 HZ Amsterdam, The Netherlands; Cozijn, Frank M. J.: Department of Physics and Astronomy, LaserLaB, Vrije Universiteit, De Boelelaan 1100, 1081 HZ Amsterdam, The Netherlands; Császár, Attila G.: Institute of Chemistry, ELTE Eötvös Loránd University, H-1117 Budapest, Pázmány Péter sétány 1/A, Hungary; Lauzin, Clément: Institute of Condensed Matter and Nanosciences, Université catholique de Louvain, Louvain-la-Neuve, Belgium; Ubachs, Wim: Department of Physics and Astronomy, LaserLaB, Vrije Universiteit, De Boelelaan 1100, 1081 HZ Amsterdam, The Netherlands",1,1,success
HyperAIRI: a plug-and-play algorithm for precise hyperspectral image reconstruction in radio interferometry,2025arXiv251015198T,,0,0,success
Magnetohydrodynamic-guiding-center-particle-in-cell Method for Multiscale Plasma Kinetic Simulations,2025arXiv251015156H,,0,0,success
Universal Relations for Elastic Hybrid Stars and Quark Stars,2025arXiv251015149Y,,0,0,success
What is the True HI Gas Content in Massive Quiescent Galaxies in the Local Universe?,2025arXiv251015145L,,0,0,success
Polarization based direction of arrival estimation using a radio interferometric array,2025arXiv251015116Y,,0,0,success
Assessing the Distance for Probing the Nuclear Equation of State with Supernova Gravitational Waves,2025arXiv251015102S,,1,0,success
A rising tide: Intrinsic alignments since the turn of the millennium,2025A&ARv..33....5C,"Chisari, Nora Elisa: Department of Physics, Institute for Theoretical Physics, Utrecht University, Princetonplein 5, 3584 CC, Utrecht, The Netherlands; Leiden Observatory, Leiden University, Niels Bohrweg 2, 2333 CA, Leiden, The Netherlands",3,3,success
Velocity dispersion profiles of dwarf spheroidal galaxies with self-interacting ultralight dark matter,2025arXiv251015815K,,0,0,success
BREAKFAST: A Framework for general joint BA duty and follow-up guidance of multiple $γ$-ray monitors,2025arXiv251015816W,,0,0,success
Impact of neutrino decays on the Cosmic Neutrino Background anisotropies,2025arXiv251015818T,,1,1,success
The factors that influence protostellar multiplicity II. Gas temperature and mass in Perseus with APEX,2025A&A...704A..36M,"Murillo, N. M.: Instituto de Astronomía, Universidad Nacional Autónoma de México, AP106, Ensenada CP 22830, B.C., Mexico; Star and Planet Formation Laboratory, RIKEN Pioneering Research Institute, Wako, Saitama, 351-0198, Japan;; Fuchs, C. M.: Fox2Space ─ FTSCO, The Fault Tolerant Satellite Computer Organization, Weigunystrasse 4, 4040, Linz, Austria; Harsono, D.: Institute of Astronomy, Department of Physics, National Tsing Hua University, Hsinchu, Taiwan;; Hsieh, T.-. H.: Taiwan Astronomical Research Alliance (TARA), Taiwan; Academia Sinica Institute of Astronomy and Astrophysics, No. 1, Section 4, Roosevelt Road, Taipei, 10617, Taiwan;; Johnstone, D.: NRC Herzberg Astronomy and Astrophysics, 5071 West Saanich Rd, Victoria, BC V9E 2E7, Canada; Department of Physics and Astronomy, University of Victoria, Victoria, BC V8P 5C2, Canada;; Mignon-Risse, R.: Department of Physics, Norwegian University of Science and Technology, 7491, Trondheim, Norway;; Persson, M. V.: Independent researcher, Sagas Väg 5, 43431, Kungsbacka, Sweden;; Sakai, N.: Star and Planet Formation Laboratory, RIKEN Pioneering Research Institute, Wako, Saitama, 351-0198, Japan;",0,0,success
Gaia DR3 Open Cluster Cepheids: A Unified Catalog with Calibrated Period-Age and Period-Wesenheit Relations,2025AJ....170..320D,"Deng, Shunhong: School of Physics and Astronomy, China West Normal University, No. 1 Shida Road, Nanchong 637009, People's Republic of China; He, Zhihong: School of Physics and Astronomy, China West Normal University, No. 1 Shida Road, Nanchong 637009, People's Republic of China; Ren, Anbing: School of Physics and Astronomy, China West Normal University, No. 1 Shida Road, Nanchong 637009, People's Republic of China; Cui, Qian: School of Physics and Astronomy, China West Normal University, No. 1 Shida Road, Nanchong 637009, People's Republic of China; Zhou, Xiaoyue: CAS Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; School of Astronomy and Space Science, University of the Chinese Academy of Sciences, Beijing 101408, People's Republic of China; Peng, Liming: School of Physics and Astronomy, China West Normal University, No. 1 Shida Road, Nanchong 637009, People's Republic of China; Wang, Chenxin: School of Physics and Astronomy, China West Normal University, No. 1 Shida Road, Nanchong 637009, People's Republic of China; Chen, Ziang: School of Physics and Astronomy, China West Normal University, No. 1 Shida Road, Nanchong 637009, People's Republic of China; Luo, Yangping: School of Physics and Astronomy, China West Normal University, No. 1 Shida Road, Nanchong 637009, People's Republic of China; Wang, Kun: School of Physics and Astronomy, China West Normal University, No. 1 Shida Road, Nanchong 637009, People's Republic of China",0,0,success
One century data of τ CMa: a (2+1)+1 system with a short-period overcontact binary and an eccentric intermediate orbit with probably no apsidal motion,2025arXiv251016202R,,0,0,success
Modelling the Future of Gaia Neutron Star-Main Sequence Binaries: From Eccentric Orbits to Millisecond Pulsar-White Dwarfs,2025arXiv251016201C,,1,1,success
Charged pion chain decay and the cosmic ray positron flux,2025arXiv251016170L,,0,0,success
Why every solar eclipse viewing event needs a disco ball,2025arXiv251016169R,,0,0,success
Searching for Exotrojans in Pulsar Binary Systems,2025arXiv251016164T,,0,0,success
Updated Cosmological Constraints from 2D BAO Measurements: A New Compilation and Comparison with DESI DR2,2025arXiv251016141S,,3,2,success
Order-by-order Modeling of Exoplanet Radial Velocity Data,2025PASP..137k4503L,"Langford, Zachary: Department of Physics and Astronomy, University of Pennsylvania, 209 S 33rd St, Philadelphia, PA 19104, USA; Blake, Cullen: Department of Physics and Astronomy, University of Pennsylvania, 209 S 33rd St, Philadelphia, PA 19104, USA; Halverson, Samuel: Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109, USA; Ford, Eric B.: Department of Astronomy &amp; Astrophysics, 525 Davey Laboratory, 251 Pollock Road, Penn State, University Park, PA 16802, USA; Center for Exoplanets and Habitable Worlds, 525 Davey Laboratory, 251 Pollock Road, Penn State, University Park, PA 16802, USA; Institute for Computational and Data Sciences, Penn State, University Park, PA 16802, USA; Center for Astrostatistics, 525 Davey Laboratory, 251 Pollock Road, Penn State, University Park, PA 16802, USA; Mahadevan, Suvrath: Department of Astronomy &amp; Astrophysics, 525 Davey Laboratory, 251 Pollock Road, Penn State, University Park, PA 16802, USA; Center for Exoplanets and Habitable Worlds, 525 Davey Laboratory, 251 Pollock Road, Penn State, University Park, PA 16802, USA; Astrobiology Research Center, 525 Davey Laboratory, 251 Pollock Road, Penn State, University Park, PA 16802, USA; Giovinazzi, Mark R.: Department of Physics and Astronomy, Amherst College, 25 East Drive, Amherst, MA 01002, USA; Gupta, Arvind F.: U.S. National Science Foundation National Optical-Infrared Astronomy Research Laboratory, 950 N. Cherry Ave., Tucson, AZ 85719, USA; Robertson, Paul: Department of Physics &amp; Astronomy, The University of California, Irvine, Irvine, CA 92697, USA; Alvarado-Montes, Jaime A.: Australian Astronomical Optics, Macquarie University, Balaclava Road, Sydney, NSW 2109, Australia; Astrophysics and Space Technologies Research Centre, Macquarie University, Balaclava Road, Sydney, NSW 2109, Australia; Bender, Chad F.: Steward Observatory, University of Arizona, 933 N. Cherry Ave, Tucson, AZ 85721, USA; Krolikowski, Daniel M.: Steward Observatory, University of Arizona, 933 N. Cherry Ave, Tucson, AZ 85721, USA; Roy, Arpita: Astrophysics &amp; Space Institute, Schmidt Sciences, New York, NY 10011, USA; Schwab, Christian: School of Mathematical and Physical Sciences, Macquarie University, Sydney, Australia; Terrien, Ryan C.: Carleton College, One North College Street, Northfield, MN 55057, USA; Wright, Jason T.: Department of Astronomy &amp; Astrophysics, 525 Davey Laboratory, 251 Pollock Road, Penn State, University Park, PA 16802, USA; Center for Exoplanets and Habitable Worlds, 525 Davey Laboratory, 251 Pollock Road, Penn State, University Park, PA 16802, USA; Penn State Extraterrestrial Intelligence Center, 525 Davey Laboratory, 251 Pollock Road, Penn State, University Park, PA 16802, USA",0,0,success
Neutron Star-Main Sequence Collisions Robustly Form Dynamically Stable Thorne-Żytkow Objects,2025ApJ...993...61W,"Williams, Lauryn E.: Department of Astronomy, University of Washington, Seattle, WA 98195, USA; Chang, Philip: Department of Physics, University of Wisconsin, Milwaukee, WI 53211, USA; Levesque, Emily M.: Department of Astronomy, University of Washington, Seattle, WA 98195, USA; Quinn, Thomas R.: Department of Astronomy, University of Washington, Seattle, WA 98195, USA",1,1,success
Effective cosmic ray diffusion in multiphase galactic environments,2025arXiv251016125T,,0,0,success
Tracking optical variability and outflows across the accretion states of the black hole transient MAXI J1820+070,2025A&A...704A.198B,"Baglio, M. C.: INAF, Osservatorio Astronomico di Brera, Via E. Bianchi 46, I-23807, Merate (LC), Italy;; Alabarta, K.: INAF, Osservatorio Astronomico di Brera, Via E. Bianchi 46, I-23807, Merate (LC), Italy; Center for Astrophysics and Space Science (CASS), New York University Abu Dhabi, PO Box 129188, Abu Dhabi, UAE;; Russell, D. M.: Center for Astrophysics and Space Science (CASS), New York University Abu Dhabi, PO Box 129188, Abu Dhabi, UAE;; Masetti, N.: INAF─Osservatorio di Astrofisica e Scienza dello Spazio, Via Piero Gobetti 101, I-40129, Bologna, Italy; Universidad Andrés Bello, Av. Fernández Concha 700, Las Condes, Santiago, Chile;; Messa, M. M.: Dipartimento di Fisica, Università degli Studi di Milano, Via Celoria 16, I-20133, Milan, Italy; INAF, Osservatorio Astronomico di Brera, Via E. Bianchi 46, I-23807, Merate (LC), Italy; Muñoz Darias, T.: Instituto de Astrofísica de Canarias (IAC), Vía Láctea s/n, La Laguna, E-38205, S/C de Tenerife, Spain; Departamento de Astrofísica, Universidad de La Laguna, La Laguna, E-38205, S/C de Tenerife, Spain;; Vincentelli, F. M.: INAF Istituto di Astrofisica e Planetologia Spaziali, Via del Fosso del Cavaliere 100, I-00133, Rome, Italy; Rout, S. K.: Center for Astrophysics and Space Science (CASS), New York University Abu Dhabi, PO Box 129188, Abu Dhabi, UAE;; Saikia, P.: Center for Astrophysics and Space Science (CASS), New York University Abu Dhabi, PO Box 129188, Abu Dhabi, UAE;; Gabuya, A.: Al Sadeem Observatory, Al Wathba South, Abu Dhabi, UAE; Rizal Technological University, Mandaluyong City, Philippines;; Chavushyan, V.: Instituto Nacional de Astrofísica, Óptica y Electrónica (INAOE), Luis Enrique Erro #1, Tonantzintla, Puebla, C.P. 72840, Mexico;; Al Qaissieh, T.: Al Sadeem Observatory, Al Wathba South, Abu Dhabi, UAE; Palado, A.: Al Sadeem Observatory, Al Wathba South, Abu Dhabi, UAE",0,0,success
GRB 230307A Formed No Dust or Was Not a Binary Neutron Star Merger,2025arXiv251016121A,,1,1,success
Spectral Chebyshev Approximation of Cosmic Expansion in $f(R)$ Gravity,2025arXiv251016120R,,0,0,success
An Improved Atlas of Full-Scan Spectra from ISO/SWS,2025ApJS..280...56M,"Mizuno, D. R.: Institute for Scientific Research, Boston College, 140 Commonwealth Avenue, Chestnut Hill, MA 02467, USA; Kuchar, T. A.: Institute for Scientific Research, Boston College, 140 Commonwealth Avenue, Chestnut Hill, MA 02467, USA; Kraemer, Kathleen E.: Institute for Scientific Research, Boston College, 140 Commonwealth Avenue, Chestnut Hill, MA 02467, USA; Sloan, G. C.: Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA; Department of Physics and Astronomy, University of North Carolina, Chapel Hill, NC 27599-3255, USA; Greene, Samantha: Institute for Scientific Research, Boston College, 140 Commonwealth Avenue, Chestnut Hill, MA 02467, USA; Embry Riddle Aeronautical University, Prescott, AZ 86301, USA; Cohen, Elianna: Institute for Scientific Research, Boston College, 140 Commonwealth Avenue, Chestnut Hill, MA 02467, USA; Georgia Institute of Technology, Atlanta, GA 30332, USA; Branco, Holly: Institute for Scientific Research, Boston College, 140 Commonwealth Avenue, Chestnut Hill, MA 02467, USA",0,0,success
The ALPINE-CRISTAL-JWST Survey: NIRSpec IFU Data Processing and Spatially-resolved Views of Chemical Enrichment in Normal Galaxies at z=4-6,2025arXiv251016116F,,4,2,success
Linear Image Regridding and Coaddition with Oversampled Point Spread Functions: Lessons from 1D,2025arXiv251016110C,,0,0,success
