title,abstract,authors,figures,pages,tables,pdf_link,primary_subject,secondary_subjects,submitted_journal,published_journal,keywords,date,comments,journals,num_checks,affiliations,total_citations,non_self_citations,journal_flag
Period Change of the Binary System WR+O V444 Cyg: Updated Ephemeris Formula,"V444 Cyg is a WN5+O6 V eclipsing binary system that exhibits a secular variation in its orbital period due to the loss of matter from the Wolf-Rayet star through its powerful stellar wind. This makes it possible to obtain a dynamical estimate of the WR star mass-loss rate with minimal modeling assumptions. Numerous studies have been published on this topic. Unfortunately, over time, they have accumulated various flaws due to the authors' differing use of previously published light curves. In this paper, we have critically analyzed all published data, added new data obtained by us, and present a table containing all currently known times of the primary minimum, found in a uniform manner and based on independent original data. Using this table, we updated the value of the parameters of the quadratic formula describing the times of the primary minimum. The found rate of orbital period change is $\dot{P} = 0.134\pm 0.003$ s/year, and the corresponding value of the WR star mass-loss rate is $\dot{M}_{\rm WR} = (6.82 \pm 0.26) \times 10^{-6} M_\odot$/year.",['I.I. Antokhin'],2.0,9.0,2.0,arxiv.org/pdf/2512.19595,Solar and Stellar Astrophysics,,,,['eclipsing binary systems'],2025-12-23,"9 pages, 2 tables, 2 figures, accepted by Astronomy Reports",,0,[None],0,0,1
Deep Hα survey of the Coma cluster: The Catalog,"We present a deep wide-field narrow-band imaging survey of the local rich and dynamically relaxed Coma cluster of galaxies, carried out with the Wide Field Camera at the Isaac Newton Telescope. The survey covers a region of about 2.5 sq. deg. extending from the core of the cluster out to the infall region over the south-west quadrant of the Coma cluster. The $R$ (6380~Å) and $[$S$\scriptstyle\rm II$$]$ (6725~Å) filters of WFC/INT were used to derive the H$\alpha$+[N{\sc ii}] fluxes and equivalent widths of cluster galaxies distributed over a wide range of environmental conditions. The depth of our imaging observations allows us to measure reliably those properties well down into the dwarf regime in the Coma cluster for the first time. We have detected 124 H$\alpha$ emitting sources with spectroscopically-determined membership, 96 of which have not been detected previously. In this paper, we report on the data analysis process and the methodology we used to measure reliable H$\alpha$ properties, and present the measurement catalogue.","['Sarah E. Kay', 'Ehsan Kourkchi', 'A. Molaeinezhad', 'H. G. Khosroshahi', 'M. Mouhcine', 'P. A. James', 'D. Carter']",13.0,22.0,5.0,arxiv.org/pdf/2512.19626,Astrophysics of Galaxies,,,,"['Coma cluster — Hαemission: star formation rate — Photometry: flux calibration', 'continuum subtraction 1']",2025-12-23,"This paper includes 22 pages and 13 figures, and was submitted to The Astronomical Journal in 2012. The authors acknowledge the important contributions of the Dr. David Carter, Principal Investigator of the ACS Coma Cluster Survey, who has since passed away",,0,"[None, None, None, None, None, None, None]",0,0,0
InterACTing dark radiation models after ACT,"In this work we assess the implications of the Atacama Cosmology Telescope DR6 measurements for two interacting dark radiation scenarios previously shown to mitigate the Hubble tension. The first model, Wess-Zumino dark radiation (WZDR), features a mass threshold in the dark sector that induces a step-like reduction in the dark radiation abundance as the dark temperature evolves. The second model, new atomic dark matter (nuADaM), introduces dark radiation that remains coupled to a subcomponent of dark matter until shortly before matter-radiation equality. Earlier analyses using Planck data demonstrated that these interactions significantly relax constraints on the dark radiation density and allow values of $H_0$ consistent with local distance-ladder determinations. Incorporating ACT DR6, which extends CMB measurements deep into the high-$\ell$ damping tail, we find that constraints on the additional radiation component tighten substantially in both scenarios, closing most of the parameter space that previously enabled higher values of $H_0$. We further analyze a generalized model including both free-streaming and self-interacting dark radiation, and show that the resulting constraints are consistent with ACT's findings for the limiting cases of purely free-streaming or purely self-interacting radiation. Overall, ACT DR6 significantly restricts interacting dark radiation as a solution to the Hubble tension.","['William Cvetko', 'Melissa Joseph', 'Gustavo Marques-Tavares']",7.0,17.0,3.0,arxiv.org/pdf/2512.19633,Cosmology and Nongalactic Astrophysics,,,,[],2025-12-23,,,0,"[None, None, None]",0,0,0
High-Precision Differential Radial Velocities of C3PO Wide Binaries: A Test of Modified Newtonian Dynamics (MOND),"Wide-binary stars, separated by thousands of AU, reside in low-acceleration regimes where Modified Newtonian Dynamics (MOND) predicts deviation from Newtonian gravity. However, Gaia radial velocities (RVs) lack the precision to resolve the small velocity differences expected in these systems, limiting previous MOND analyses to two-dimensional kinematics. In this paper, we introduce a technique to measure differential RVs of wide binary stars using high resolution, high signal-to-noise spectra. We apply this method to measure differential RVs of 100 wide-binaries from the C3PO survey and achieved precisions of $8-15$ m/s per binary pair, a $\sim 10-100 \times$ improvement (median $\sim 24 \times$) over Gaia DR3. Combining these measurements with Gaia astrometry, we construct a hierarchical Bayesian model to infer the orbital elements of all wide-binary pairs and the global MOND acceleration scale ($a_0$). We test two commonly used interpolating functions in MOND formulation: the simple form ($b=1, \mu = x/(1+x)$) and the standard form ($b=2, \mu = x/\sqrt{1+x^2}$). Our results indicate tension with MOND at the presently accepted $a_0$ value: for $b=1$, the canonical value is excluded at $3.1\sigma$, while for $b=2$, the exclusion is at $1.9\sigma$.","['Serat Mahmud Saad', 'Yuan-Sen Ting']",12.0,22.0,5.0,arxiv.org/pdf/2512.19652,Solar and Stellar Astrophysics,"['Astrophysics of Galaxies', 'Instrumentation and Methods for Astrophysics']",,,['gravitation — methods: statistical — techniques: radial velocities — binaries: visual — stars: kinematics and dynamics 1'],2025-12-23,"22 Pages, 12 figures, 5 tables. To be submitted. Comments are welcome",,0,"[None, None]",0,0,0
A High-Resolution NUV Transmission Spectrum of KELT-9b: Mg II and Fe II Escaping from the Hottest Known Giant Planet,"We present high-resolution NUV observations from Hubble Space Telescope's (HST) Space Telescope Imaging Spectrograph (STIS) data for the hottest known gas planet, KELT-9b. Observations were collected with STIS/E230M (2300-3000 $Å$, R$\sim$ 30,000) and we de-correlate systematic effects from the telescope using jitter detrending. We show the clear presence of the Mg II doublet at 2800 $Å$ and Fe II at 2600 $Å$ in KELT-9b. The Mg II is measured above the planet's Roche transit radius, indicating it is escaping. We fit 1D NLTE atmospheric escape models to these features, demonstrating a significant loss of mass in KELT-9b's atmosphere ($\dot{M} \approx 10^{12} $ g/s); we also find a remarkably high line-broadening corresponding to a velocity of about $50-75$ km/s, and a net blueshift of the Mg II doublet greater than 30 km/s. Future 3D MHD modeling of the spectrum and gas kinematics is likely needed to explain these observations. We interpret these results in the context of the Mg II ``Cosmic Shoreline"" and show that the detection of escaping Mg II in KELT-9b and the non-detection in WASP-178b are consistent with the hypothesis that stars hotter than $T_{\mathrm{eff}} \sim$ 8250~K have relatively low levels of XUV radiation due to the lack of a chromosphere. Therefore planets around such early-type stars experience a different degree of atmospheric escape. This result highlights the importance of XUV irradiation in driving atmospheric escape inside and outside the Solar System.","['Austin Baldwin', 'Joshua D. Lothringer', 'Leonardo A. Dos Santos', 'David K. Sing', 'Zafar Rustamkulov', 'Nikolay K. Nikolov', 'Jeff Valenti', 'Hannah R. Wakeford']",12.0,20.0,5.0,arxiv.org/pdf/2512.19662,Earth and Planetary Astrophysics,,,,"['Exoplanet Atmospheres (487)', 'Hot Jupiters (753)', 'Transmission spectroscopy (2133)', 'Exoplanet atmospheric dynamics (2307)', 'Ultraviolet spectroscopy (2284) 1', 'Exoplanet atmospheric evolution (2308)']",2025-12-23,"20 pages, 12 figures, 5 tables. Accepted in AJ",,0,"[None, None, None, None, None, None, None, None]",0,0,1
A cosmologist's take on Little Red Dots,"The James Webb Space Telescope (JWST) has uncovered a population of compact, high-redshift sources, the Little Red Dots (LRDs), which may host supermassive black holes (BHs) significantly heavier than their stellar content compared with local scaling relations. These objects challenge standard models of early galaxy formation and may represent an extreme class of early BH hosts. In this paper, we investigate whether these BHs could have a primordial origin. We first show that the direct formation of these BH masses in the early Universe is excluded by stringent CMB $\mu$-distortion limits. We then investigate the assembly of massive BHs from lighter, observationally allowed primordial black holes (PBHs) via hierarchical mergers, finding that, although this channel can operate depending on the merger history, it faces challenges in explaining the observations due to the rarity of the required high-redshift dark matter halos. Finally, we estimate gas accretion onto intermediate-mass PBHs, while jointly tracking metallicity evolution, and identify regions of parameter space in which such growth could reproduce the observed properties of LRDs. As a special case, we focus on the strongly lensed source QSO1, whose extremely low metallicity and large mass provide a stringent test of these formation channels.","['Valerio De Luca', 'Loris Del Grosso', 'Gabriele Franciolini', 'Konstantinos Kritos', 'Emanuele Berti', ""Daniel D'Orazio"", 'Joseph Silk']",5.0,11.0,0.0,arxiv.org/pdf/2512.19666,Cosmology and Nongalactic Astrophysics,"['Astrophysics of Galaxies', 'High Energy Astrophysical Phenomena', 'General Relativity and Quantum Cosmology']",,,[],2025-12-23,"11 pages, 5 figures",,0,"[None, None, None, None, None, None, None]",0,0,0
Are Primordial Black Holes Truly Fine-Tuned?,"Single-field inflationary models which generate primordial black holes through the enhancement of the curvature primordial power at small scales are commonly criticized and frequently dismissed because they require a large amount of fine-tuning in the parameters setting the ultra slow-roll phase. However, the standarly adopted definition of fine-tuning has a clear drawback: the more the primordial black hole abundance is small and cosmologically harmless, the larger the parameter space is fine-tuned. A reliable measure of fine-tuning should deliver a large value when the primordial black hole abundance is fine-tuned and at the same time reduce to something close to unity when it encounters typical sensitivity. Motivated by such arguments, we use the (modified version of) Wilson's naturalness criterion for quantifying the fine-tuning and naturalness and we show that the primordial black hole models are not technically unnatural.","['A.J. Iovino', 'A. Riotto']",2.0,9.0,0.0,arxiv.org/pdf/2512.19668,Cosmology and Nongalactic Astrophysics,"['General Relativity and Quantum Cosmology', 'High Energy Physics - Phenomenology']",,,[],2025-12-23,"9 pages, 2 figures",,0,"[None, None]",1,1,0
Ionizing Photon Production Efficiencies and Chemical Abundances at Cosmic Dawn Revealed by Ultra-Deep Rest-Frame Optical Spectroscopy of JADES-GS-z14-0,"JWST has discovered an early period of galaxy formation that was more vigorous than expected, which has challenged our understanding of the early Universe. In this work, we present the longest spectroscopic integration ever acquired by JWST/MIRI. This spectrum covers the brightest rest-frame optical nebular emission lines for the luminous galaxy JADES-GS-z14-0 at $z > 14$. Most notably, we detect $[\mathrm{OIII}] \lambda\lambda 4959,5007$ at $\approx 11 \sigma$ and $\mathrm{H}\alpha$ at $\approx 4 \sigma$ with these ultra-deep observations. These lines reveal that JADES-GS-z14-0 has low dust attenuation with a recent star-formation rate of $\mathrm{SFR} \approx 10 \pm 2\ M_{\odot} / \mathrm{yr}$, star-formation rate surface density of $\Sigma_{\mathrm{SFR}} \approx 23 \pm 5\ M_{\odot}/\mathrm{yr}/\mathrm{kpc}^{2}$, and ionizing photon production efficiency of $\xi_{\mathrm{ion}} \approx 10^{25.3 \pm 0.1}\ \mathrm{Hz/erg}$. Using standard strong-line diagnostics, we infer a gas-phase oxygen abundance of $[\mathrm{O/H}] \approx -1.1 \pm 0.4$ ($\approx 10\%\ Z_{\odot}$), carbon-to-oxygen ratio of $[\mathrm{C/O}] \approx -0.4 \pm 0.4$, ionization parameter of $\mathrm{log}_{10}(U) \gtrsim -2.4$, and density of $n_{\mathrm{H}} \approx 720 \pm 210\ \mathrm{cm}^{-3}$. Using detailed photoionization modeling, we instead derive $[\mathrm{O/H}] \approx -0.3_{-0.4}^{+0.4}$ ($\approx 50\%\ Z_{\odot}$) and $\mathrm{log}_{10}(U) \approx -1.5_{-0.4}^{+0.3}$. The inferred properties of JADES-GS-z14-0 are similar to those measured for similarly luminous galaxies at $z > 10$ with previous MIRI/Spectroscopy, such as GHZ2/GLASSz12, GN-z11, and MACS0647-JD1. Existing simulations are unable to reproduce the empirical and inferred properties of JADES-GS-z14-0. This work demonstrates an important step toward understanding the formation of the first stars and heavy elements in the Universe. [Abridged]","['Jakob M. Helton', 'Jane E. Morrison', 'Kevin N. Hainline', ""Francesco D'Eugenio"", 'George H. Rieke', 'Stacey Alberts', 'Stefano Carniani', 'Joel Leja', 'Yijia Li', 'Pierluigi Rinaldi', 'Jan Scholtz', 'Meredith Stone', 'Christopher N. A. Willmer', 'Zihao Wu', 'William M. Baker', 'Andrew J. Bunker', 'Stephane Charlot', 'Jacopo Chevallard', 'Nikko J. Cleri', 'Mirko Curti', 'Emma Curtis-Lake', 'Eiichi Egami', 'Daniel J. Eisenstein', 'Peter Jakobsen', 'Zhiyuan Ji', 'Benjamin D. Johnson', 'Nimisha Kumari', 'Xiaojing Lin', 'Jianwei Lyu', 'Roberto Maiolino', 'Michael Maseda', 'Pablo G. Pérez-González', 'Marcia J. Rieke', 'Brant Robertson', 'Aayush Saxena', 'Fengwu Sun', 'Sandro Tacchella', 'Hannah Übler', 'Giacomo Venturi', 'Christina C. Williams', 'Chris Willott', 'Joris Witstok', 'Yongda Zhu']",8.0,23.0,2.0,arxiv.org/pdf/2512.19695,Astrophysics of Galaxies,,ApJL,Commun. Theor. Phys. 78 (2026) 045402,['Chemical Abundances (224)'],2025-12-23,"Submitted to ApJL; main text has 23 pages, 8 figures, and 2 tables; comments are welcome!",,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0,0,1
Breakthrough Listen Observations of 3I/ATLAS with the Green Bank Telescope at 1-12 GHz,"3I/ATLAS, an interstellar object, made its closest approach to Earth on 2025 December 19. On 2025 December 18, the Breakthrough Listen program conducted a technosignature search toward 3I/ATLAS using the 100 m Robert C. Byrd Green Bank Telescope at 1-12 GHz. We report a nondetection of candidate signals down to the 100 mW level.","['Ben Jacobson-Bell', 'Steve Croft', 'Ellie White', 'Andrew P. V. Siemion', 'Matthew Lebofsky', 'David H. E. MacMahon']",1.0,3.0,0.0,arxiv.org/pdf/2512.19763,Instrumentation and Methods for Astrophysics,"['Earth and Planetary Astrophysics', 'Astrophysics of Galaxies']",,,['interstellar objects — technosignatures — search for extraterrestrial intelligence 1'],2025-12-24,"3 pages, 1 figure, submitted to RNAAS",,0,"['Department of Astronomy, University of California, Berkeley, 501 Campbell Hall #3411, Berkeley, CA 94720, USA; Breakthrough Listen, University of California, Berkeley, 501 Campbell Hall #3411, Berkeley, CA 94720, USA', 'Breakthrough Listen, University of California, Berkeley, 501 Campbell Hall #3411, Berkeley, CA 94720, USA; Breakthrough Listen, University of Oxford, Denys Wilkinson Building, Keble Road, Oxford OX1 3RH, UK; SETI Institute, 339 Bernardo Ave, Suite 200, Mountain View, CA 94043, USA', 'Department of Mathematics and Physics, Marshall University, Huntington, WV 25755, USA', 'Department of Astronomy, University of California, Berkeley, 501 Campbell Hall #3411, Berkeley, CA 94720, USA; Breakthrough Listen, University of Oxford, Denys Wilkinson Building, Keble Road, Oxford OX1 3RH, UK; SETI Institute, 339 Bernardo Ave, Suite 200, Mountain View, CA 94043, USA; University of Malta, Institute of Space Sciences and Astronomy, Malta; Department of Physics and Astronomy, University of Manchester, UK', 'Department of Astronomy, University of California, Berkeley, 501 Campbell Hall #3411, Berkeley, CA 94720, USA; Breakthrough Listen, University of California, Berkeley, 501 Campbell Hall #3411, Berkeley, CA 94720, USA', 'Department of Astronomy, University of California, Berkeley, 501 Campbell Hall #3411, Berkeley, CA 94720, USA; Breakthrough Listen, University of California, Berkeley, 501 Campbell Hall #3411, Berkeley, CA 94720, USA']",0,0,0
SN 2025ogs: A Spectroscopically-Normal Type Ia Supernova at z = 2 as a Benchmark for Redshift Evolution,"The Nancy Grace Roman Space Telescope will provide a revolutionary measurement of the Universe's expansion kinematics, driven by dark matter and dark energy, out to $z \approx 3$. The accuracy of this measurement is predicated on the assumption that standardized Type Ia supernova (SN Ia) luminosities do not evolve with redshift. If present, SN Ia luminosity evolution is expected to be most detectable in the dark matter-dominated era of the Universe ($z \gtrsim 1.5$), with its effects becoming more easily distinguishable from dark energy variation at increasing redshift. We present JWST NIRCam and NIRSpec observations of SN 2025ogs, a normal SN Ia at $z = 2.05 \pm 0.01$. This SN offers a key point of comparison for interpreting future high-redshift SN Ia samples. The NIRCam light curve indicates a blue color ($B - V = -0.27 \pm 0.06$ mag) and a moderately fast decline ($\Delta m_{15}(B) = 1.55 \pm 0.15$ mag), both within standard criteria for inclusion in cosmological analyses. Its luminosity distance is in $1.0\sigma$ agreement with a standard flat $\Lambda$CDM model, as well as with current cosmological constraints from the Dark Energy Survey (DES 5yr) and Pantheon+. The NIRSpec spectrum displays all of the hallmark absorption features of a normal SN Ia observed at peak brightness. We find that the rest-frame optical color, rest-frame near-ultraviolet properties, and Si II line strengths are all consistent with the moderately fast decline inferred from the light curve. Multiple absorption features (Ca II H&K, O I $\lambda7774$, and the Ca II NIR triplet) all appear at a lower blueshift relative to a sample of low-$z$ SNe Ia. Together, these results suggest that SN Ia standardization remains robust at $z \approx 2$, and also highlight the importance of JWST spectroscopy for uncovering evolutionary effects that could impact Roman's high-precision cosmology.","['M. R. Siebert', 'J. D. R. Pierel', 'M. Engesser', 'D. A. Coulter', 'C. Decoursey', 'O. D. Fox', 'A. Rest', 'W. Chen', 'J. M. Derkacy', 'E. Egami', 'R. J. Foley', 'D. O. Jones', 'A. M. Koekemoer', 'C. Larison', 'D. C. Leonard', 'T. J. Moriya', 'R. M. Quimby', 'K. Shukawa', 'L. G. Strolger', 'Yossef Zenati']",9.0,14.0,3.0,arxiv.org/pdf/2512.19783,Cosmology and Nongalactic Astrophysics,['High Energy Astrophysical Phenomena'],ApJL,,[],2025-12-24,"14 pages, 9 figures, Submitted to ApJL",,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",1,1,0
K-DRIFT Science Theme: Illuminating the Next Era of Galaxy Cluster Science,"The KASI Deep Rolling Imaging Fast Telescope (K-DRIFT) is a pioneering instrument designed to explore low-surface-brightness (LSB) phenomena. This white paper presents a compelling array of science cases that showcase K-DRIFT's unique capabilities in unraveling the mysteries of intracluster light (ICL) and other LSB components within galaxy clusters. Exploring the origin of ICL in galaxy clusters and comparing the spatial distributions of ICL and dark matter will offer new insights into galaxy cluster dynamics. Moreover, investigating LSB objects in galaxy clusters, such as LSB structures in the brightest cluster galaxy, ultra-diffuse galaxies, and tidal features, will enhance our understanding of galaxy evolution within the cluster environment. We present our strategies for addressing scientific queries, encompassing LSB observation and analysis techniques, specialized simulations, and machine-learning approaches. Additionally, we examine the potential synergies between K-DRIFT and other ongoing or forthcoming multi-wavelength surveys. This white paper advocates for the recognition and support of K-DRIFT as a dedicated tool for advancing our understanding of the universe's subtlest phenomena.","['Jaewon Yoo', 'Kyungwon Chun', 'Jongwan Ko', 'Jihye Shin', 'Cristiano G. Sabiu', 'Jaehyun Lee', 'Kwang-il Seon', 'Jae-Woo Kim', 'Jinsu Rhee', 'Sungryong Hong', 'Woowon Byun', 'Hyowon Kim', 'Sang-Hyun Chun', 'Hong Soo Park', 'Yongmin Yoon', 'Jeehye Shin']",4.0,19.0,0.0,arxiv.org/pdf/2512.19787,Astrophysics of Galaxies,,The Journal of the Korean Astronomical Society,,['galaxies: general — galaxies: interactions — galaxies: stellar content — galaxies: structure — galaxies: dwarf galaxies — galaxies: low surface brightness galaxies 1'],2025-12-24,"19 pages, 4 figures, Accepted for publication in The Journal of the Korean Astronomical Society, December 23, 2025",,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0,0,1
A multiwavelength study of an early galaxy group merger in COSMOS revealed by two tailed radio galaxies at z = 0.35,"We report the discovery of two tailed radio galaxies in the COSMOS field, associated with a massive, dynamically unrelaxed galaxy group detected in X-rays at z = 0.349. One of them is a wide-angle tail (WAT) galaxy, supporting the role of WATs as tracers of dynamically young groups and clusters. Our multiwavelength analysis combines VLA radio data, HST-ACS imaging, COSMOS2020 photometric redshifts, COSMOS2015 photometry, the newest compilation of spectroscopic redshifts in COSMOS, and X-ray observations from Chandra and XMM-Newton. We used these data to study the tailed radio galaxies, their host galaxies, and the group environment. Both radio galaxies are hosted by massive ($\log_{10}(M_*/M_{\odot})=11.88\pm0.03$ and $\log_{10}(M_*/M_{\odot})=11.49\pm0.06$), red, elliptical galaxies with extended stellar halos, as revealed by a color, magnitude, and stellar mass analysis combined with GALFIT modeling and surface-brightness profiles. One corresponds to the brightest group galaxy (BGG), while the other is the second-brightest. A diffuse intragroup medium (IGM) is characterized by its irregular shape and the analysis of the X-ray spectra of the group core reveals high temperature ($T_X=2.4\pm0.6\hspace{0.1cm}\mathrm{keV}$) and an electron density of $(8.2\pm0.3)\times 10^{-4}\hspace{0.1cm}\mathrm{cm^{-3}}$. A galaxy overdensity associated with the group was detected via Voronoi tessellation, using COSMOS2020 CLASSIC photometric redshifts, displaying an irregular morphology, along with evidence of substructure. Assuming the jet bending results from interaction with the IGM, we find a high relative velocity between the BGG and the IGM ($v_{\mathrm{BGG/IGM}} \gtrsim 540$ km/s), primarily due to bulk gas motion. Our findings indicate a dynamically young system in the early stages of assembly via group-group merging.","['Paula Vulić', 'Vernesa Smolčić', 'Ghassem Gozaliasl', 'Ivan Delvecchio', 'Alexis Finoguenov']",13.0,19.0,1.0,arxiv.org/pdf/2512.19792,Cosmology and Nongalactic Astrophysics,['Astrophysics of Galaxies'],,"A&A, 704, A337 (2025)",['Galaxies: clusters: intracluster medium - Galaxies: groups: general - Galaxies: jets - Cosmology: observations - X-rays: galaxies: clusters - Radio continuum: galaxies 1'],2025-12-24,,,0,"[None, None, None, None, None]",0,0,1
"New and updated timing models for seven young energetic X-ray pulsars, including the Big Glitcher PSR J0537-6910","We present new timing models and update our previous ones for the rotational evolution of seven young energetic pulsars, including four of the top five in spin-down luminosity Edot among all known pulsars. For each of the six pulsars that were monitored on a regular basis by NICER, their rotation phase-connected timing model covers the entire period of NICER observations, in many cases from 2017-2025. For PSR J0058-7218, which was only identified in 2021, we extend the baseline of its timing model by 3 years and report detections of its first three glitches. The timing model for PSR J0537-6910 over the entire 8 years of NICER monitoring is presented, including a total of 23 glitches; we also report its spin frequency and pulsed spectrum from a 2016 NuSTAR observation. For PSR B0540-69, its complete timing model from 2015-2025 is provided, including a braking index evolution from near 0 to 1.6 during this period. The 8-year timing model for PSR J1412+7922 (also known as Calvera) is reported, which includes a position that is consistent with that measured from imaging. For PSR J1811-1925, we present its 3.5-year timing model. For PSR J1813-1749, its incoherent timing model is extended through early 2025 using new Chandra observations. For PSR J1849-0001, its 7-year timing model is provided, including a position that is consistent with and more accurate than its imaging position and its first glitch that is one of the largest ever measured. Our timing models of these seven X-ray pulsars enable their study at other energies and in gravitational wave data.","['Wynn C. G. Ho', 'Lucien Kuiper', 'Cristobal M. Espinoza', 'Timothy Leon', 'Bennett Waybright', 'Sebastien Guillot', 'Zaven Arzoumanian', 'Slavko Bogdanov', 'Alice K. Harding']",17.0,16.0,10.0,arxiv.org/pdf/2512.19800,High Energy Astrophysical Phenomena,['Solar and Stellar Astrophysics'],,,"['and for using them to s tudy fundamental physics and gravity', 'PSR J1412+7922', 'PSR B0540 −69', 'PSR J0537 −6910', 'PSR J1811 −1925', 'PSR J1849 −0001– stars: neutron – X-rays: stars 1 INTRODUCTION Long-term monitoring and timing observations to measure th e ro- tational evolution of pulsars are crucial for studying thei r individ- ual properties', 'for classifying them', 'pulsars: general – pulsars: individual: PSR J0058 −7218', 'PSR J1813 −1749']",2025-12-24,"16 pages, 17 figures; accepted for publication in MNRAS",,0,"['Department of Physics and Astronomy, Haverford College, 370 Lancaster Avenue, Haverford, PA 19041, USA', 'Space Research Organisation Netherlands, Niels Bohrweg 4, 2333 CA, Leiden, Netherlands', None, 'Department of Physics and Astronomy, Haverford College, 370 Lancaster Avenue, Haverford, PA 19041, USA', 'Department of Physics and Astronomy, Haverford College, 370 Lancaster Avenue, Haverford, PA 19041, USA', 'IRAP, CNRS, 9 avenue du Colonel Roche, BP 44346, 31028 Toulouse Cedex 4, France; Université de Toulouse, CNES, UPS-OMP, 31028 Toulouse, France', 'X-Ray Astrophysics Laboratory, NASA Goddard Space Flight Center, Greenbelt, MD, 20771, USA', 'Columbia Astrophysics Laboratory, Columbia University, 550 West 120th Street, New York, NY 10027, USA', 'Theoretical Division, Los Alamos National Laboratory, Los Alamos, NM 87545, USA']",0,0,1
Obtaining Magnetization of Super-Alfvénic Turbulence with the Structure Functions of Gradient Directions,"Super-Alfvénic turbulence is widespread in astrophysical environments, including molecular clouds and the diffuse plasma of galaxy clusters. At large scales, magnetic fields play only a minor dynamical role; however, for sufficiently extended turbulent cascades, the motions transition into the MHD regime at a characteristic scale $l_A$. We introduce a new diagnostic based on the structure functions of the gradient directions, which can be obtained directly from spectroscopic and synchrotron intensity observations. We demonstrate that the new measure robustly recovers the transition scale $l_A$. Building on this result, we propose a generalized expression that replaces the traditional Davis-Chandrasekhar-Fermi (DCF) method for estimating magnetic field strength in the super-Alfvénic regime, where the DCF approach fails. We further show how the magnetization and magnetic field strength of diffuse media, such as the intracluster medium, can be inferred using synchrotron intensity maps. Our theoretical predictions are validated through numerical simulations.","['A. Lazarian', 'Yue Hu', 'D. Pogosyan']",1.0,8.0,1.0,arxiv.org/pdf/2512.19816,Astrophysics of Galaxies,,,,['Interstellar medium (847) — Interstellar magnetic fields (845) — Plasma astrophysics (1261) — Magnetohydrodynamics (1964) 1'],2025-12-24,"8 pages, 1 figure",,0,"[None, None, None]",0,0,0
VERITAS contributions to the 39th International Cosmic Ray Conference,"Compilation of papers presented by the VERITAS Collaboration at the 39th International Cosmic Ray Conference (ICRC), held July 14 through July 24, 2025 in Geneva, Switzerland.","['A. Archer', 'P. Bangale', 'J. T. Bartkoske', 'W. Benbow', 'Y. Chen', 'J. L. Christiansen', 'A. J. Chromey', 'A. Duerr', 'M. Escobar Godoy', 'J. Escudero Pedrosa', 'Q. Feng', 'S. Filbert', 'L. Fortson', 'A. Furniss', 'W. Hanlon', 'O. Hervet', 'C. E. Hinrichs', 'J. Holder', 'T. B. Humensky', 'M. Iskakova', 'W. Jin', 'M. N. Johnson', 'E. Joshi', 'M. Kertzman', 'M. Kherlakian', 'D. Kieda', 'T. K. Kleiner', 'N. Korzoun', 'S. Kumar', 'M. J. Lang', 'M. Lundy', 'G. Maier', 'C. E McGrath', 'P. Moriarty', 'R. Mukherjee', 'W. Ning', 'R. A. Ong', 'M. Pohl', 'E. Pueschel', 'J. Quinn', 'P. L. Rabinowitz', 'K. Ragan', 'P. T. Reynolds', 'D. Ribeiro', 'E. Roache', 'I. Sadeh', 'L. Saha', 'H. Salzmann', 'G. H. Sembroski', 'B. Shen', 'M. Splettstoesser', 'A. K. Talluri', 'J. V. Tucci', 'J. Valverde', 'V. V. Vassiliev', 'D. A. Williams', 'S. L. Wong', 'T. Yoshikoshi']",,,,arxiv.org/pdf/2512.19835,High Energy Astrophysical Phenomena,,,,,2025-12-24,,,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0,0,0
