title,authors,affiliations
CAPERS-LRD-z9: A Gas Enshrouded Little Red Dot Hosting a Broad-line AGN at z=9.288,"['Anthony J. Taylor', 'Vasily Kokorev', 'Dale D. Kocevski', 'Hollis B. Akins', 'Fergus Cullen', 'Mark Dickinson', 'Steven L. Finkelstein', 'Pablo Arrabal Haro', 'Volker Bromm', 'Mauro Giavalisco', 'Kohei Inayoshi', ""St{\\'e}phanie Juneau"", 'Gene C. K. Leung']","[['Department of Astronomy, The University of Texas at Austin, Austin, TX, USA'], ['Department of Astronomy, The University of Texas at Austin, Austin, TX, USA'], ['Department of Physics and Astronomy, Colby College, Waterville, ME 04901, USA'], ['Department of Astronomy, The University of Texas at Austin, Austin, TX, USA'], ['Institute for Astronomy, University of Edinburgh, Royal Observatory, Edinburgh EH9 3HJ, UK'], [""NSF's National Optical-Infrared Astronomy Research Laboratory, 950 N. Cherry Ave., Tucson, AZ 85719, USA""], ['Department of Astronomy, The University of Texas at Austin, Austin, TX, USA'], ['Astrophysics Science Division, NASA Goddard Space Flight Center, 8800 Greenbelt Rd, Greenbelt, MD 20771, USA'], ['Department of Astronomy, The University of Texas at Austin, Austin, TX, USA'], ['University of Massachusetts Amherst, 710 North Pleasant Street, Amherst, MA 01003-9305, USA'], ['Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, China'], [""NSF's National Optical-Infrared Astronomy Research Laboratory, 950 N. Cherry Ave., Tucson, AZ 85719, USA""], ['MIT Kavli Institute for Astrophysics and Space Research, 77 Massachusetts Ave., Cambridge, MA 02139, USA']]"
Stray and Scattered Light Considerations in a Non-contiguous Array of Commercial CMOS Sensors in a Space Mission,[],[]
TOI-1438: A rare system with two short-period sub-Neptunes and a tentative long-period Jupiter-like planet orbiting a K0V star,[],[]
Probabilistic mapping between multiparticle production variables and the depth of maximum in proton-induced extensive air showers,[],[]
In situ Evidence of 5-minute Oscillations from Parker Solar Probe,[],[]
An Ancient Descendant of the First Galaxies,[],[]
Evidence for ultra-water-rich ammonia hydrates stabilized in icy exoplanetary mantles,[],[]
MeerKAT view of Hickson Compact Groups: II. HI deficiency in the core and surrounding regions,"[""A. Sorgho\\inst{1}, L. Verdes-Montenegro\\inst{1}, R. Ianjamasimanana\\inst{1}, K. M. Hess\\inst{2,3,1}, M. G. Jones\\inst{4}, M. Korsaga\\inst{5,1}, Jing Wang\\inst{6}, Xuchen Lin\\inst{7}, J. M. Solanes\\inst{8,9}, M. E. Cluver\\inst{10}, J. M. Cannon\\inst{11}, A. Bosma\\inst{12}, E. Athanassoula\\inst{12}, A. del Olmo\\inst{1}, J. Perea\\inst{1}, J. Mold\\'on\\inst{1}, T. Wiegert\\inst{1}, S. Sanchez-Exp\\'osito\\inst{1}, J. Garrido\\inst{1}, R. Garc\\'ia-Benito\\inst{1}, G. I. G. J\\'ozsa\\inst{13,14}, S. Borthakur\\inst{15}, T. Jarrett\\inst{16,17}, B. Namumba\\inst{1}, E. P\\'erez\\inst{1}, Javier Rom\\'an\\inst{18}, O. M. Smirnov\\inst{19,20,21}, M. Yun\\inst{22}""]","[['\\inst{1} Instituto de Astrof\\\'isica de Andaluc\\\'ia (CSIC), Glorieta de la Astronom\\\'ia s/n, 18008 Granada, Spain\\\\ \\email{asorgho@iaa.es}\\\\ \\inst{2} Department of Space, Earth and Environment, Chalmers University of Technology, Onsala Space Observatory, 43992 Onsala, Sweden\\\\ \\inst{3} Netherlands Institute for Radio Astronomy (ASTRON), Postbus 2, 7990 AA Dwingeloo, the Netherlands\\\\ \\inst{4} Steward Observatory, University of Arizona, 933 North Cherry Avenue, Rm. N204, Tucson, AZ 85721-0065, USA\\\\ \\inst{5} Laboratoire de Physique et de Chimie de l\'Environnement, Universit\\\'e Joseph Ki-Zerbo, 03 BP 7021, Ouaga 03, Burkina Faso\\\\ \\inst{6} Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, People’s Republic of China\\\\ \\inst{7} Department of Astronomy, School of Physics, Peking University, Beijing 100871, People’s Republic of China\\\\ \\inst{8} Departament de F\\\'isica Qu\\`antica i Astrof\\\'isica, Universitat de Barcelona, C. Mart\\\'i i Franqu\\`es 1, 08028, Barcelona, Spain\\\\ \\inst{9} Institut de Ci\\`encies del Cosmos (ICCUB), Universitat de Barcelona., C. Mart\\\'i i Franqu\\`es 1, 08028, Barcelona, Spain\\\\ \\inst{10} Centre for Astrophysics and Supercomputing, Swinburne University of Technology, Hawthorn, VIC 3122, Australia\\\\ \\inst{11} Department of Physics \\& Astronomy, Macalester College, 1600 Grand Avenue, Saint Paul, MN 55105, USA\\\\ \\inst{12} Aix Marseille Univ, CNRS, CNES, LAM, Marseille, France\\\\ \\inst{13} Max-Planck-Intitut f\\""ur Radioastronomie, Auf dem H\\""ugel 69, 53121 Bonn, Germany\\\\ \\inst{14} Department of Physics and Electronics, Rhodes University, PO Box 94, Makhanda 6140, South Africa\\\\ \\inst{15} School of Earth and Space Exploration, Arizona State University, 781 Terrace Mall, Tempe, AZ, 85287, USA\\\\ \\inst{16} Astronomy Department, University of Cape Town, Private Bag X3, Rondebosch 7701, South Africa\\\\ \\inst{17} Inter-University Institute for Data Intensive Astronomy (IDIA), University of Cape Town, Rondebosch, Cape Town, 7701, South Africa\\\\ \\inst{18} Departamento de F\\\'isica de la Tierra y Astrof\\\'isica, Universidad Complutense de Madrid, E-28040 Madrid, Spain\\\\ \\inst{19} Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa\\\\ \\inst{20} South African Radio Astronomy Observatory, Black River Park, 2 Fir Street, Observatory, Cape Town 7925, South Africa\\\\ \\inst{21} Institute for Radioastronomy, National Institute of Astrophysics (INAF IRA), Via Gobetti 101, 40129 Bologna, Italy\\\\ \\inst{22} Department of Astronomy, University of Massachusetts, Amherst, MA 01003, USA']]"
On the analysis of eruptive events with non-radial evolution,[],[]
Determining the Milky Way gravitational potential without selection functions,[],[]
Analytical approaches for rapid prediction of gravitational waveforms for relativistic binary systems,[],[]
"Computational Insights into the Chemical Reaction Networks of C3H6O3,C3H7O3 and C2H5O2: Implications for the Interstellar Medium",[],[]
The Stellar Mass and Age Distributions of Star-Forming Clumps at $0.5 < z < 5$ in JWST CANUCS: Implications for Clump Formation and Destruction,[],[]
New constraints on the evolution of the MHI-M* scaling relation combining CHILES and MIGHTEE-HI data,[],[]
Photometric Redshift Estimation for Rubin Observatory Data Preview 1 with Redshift Assessment Infrastructure Layers (RAIL),[],[]
The mass-metallicity relation of bulges,[],[]
Galaxy Protoclusters as Drivers of Cosmic Reionization: I. Bubble Overlap at Redshift z ~ 7 in LAGER-z7OD1,[],[]
X-ray polarization of reflected thermal emission,[],[]
Inclusion of sulfur chemistry in a validated C/H/O/N chemical network: identification of key C/S coupling pathways,"['R. Veillet \\inst{1,4}, O. Venot \\inst{1}, B. Sirjean \\inst{2}, F. Citrangolo Destro \\inst{2}, R. Fournet \\inst{2}, A. Al-Refaie \\inst{3}, E. Hébrard \\inst{4}, P-A. Glaude \\inst{2}, \\and R. Bounaceur \\inst{2}']","[[""Universit\\'e Paris Cit\\'e and Univ Paris Est Creteil, CNRS, LISA, F-75013 Paris, France\\\\ \\email{r.veillet@exeter.ac.uk} \\and Université de Lorraine, CNRS, LRGP, F-54000 Nancy, France \\and Department of Physics and Astronomy, University College London, Gower Street, London, WC1E 6BT, UK \\and Astrophysics Group, University of Exeter, EX4 4QL Exeter, UK""]]"
The Leinster-Cobbold diversity index as a criterion for sub-clustering,[],[]
The Impact of Spectroscopic Redshift Errors on Cosmological Measurements,[],[]
Violent mergers revisited: The origin of the fastest stars in the Galaxy,[],[]
Fe XVIII-XXIV K beta Inner-shell Absorption Lines in the X-ray Spectra of Neutron Star and Black Hole Binaries with XRISM,[],[]
FRB 20250316A: A Brilliant and Nearby One-Off Fast Radio Burst Localized to 13 parsec Precision,"['Thomas C. Abbott', 'Daniel Amouyal', 'Shion E.~Andrew', 'Kevin Bandura', 'Mohit Bhardwaj', 'Kalyani Bhopi', 'Yash Bhusare', 'Charanjot Brar', 'Alice Cai', 'Tomas Cassanelli', 'Shami Chatterjee', 'Jean-Fran\\c{c}ois Cliche', 'Amanda M.~Cook', 'Alice P.~Curtin']","[[""Department of Physics, McGill University, 3600 rue University, Montr\\'eal, QC H3A 2T8, Canada"", ""Trottier Space Institute, McGill University, 3550 rue University, Montr\\'eal, QC H3A 2A7, Canada""], [""Department of Physics, McGill University, 3600 rue University, Montr\\'eal, QC H3A 2T8, Canada"", ""Trottier Space Institute, McGill University, 3550 rue University, Montr\\'eal, QC H3A 2A7, Canada""], ['MIT Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, 77 Massachusetts Ave, Cambridge, MA 02139, USA', 'Department of Physics, Massachusetts Institute of Technology, 77 Massachusetts Ave, Cambridge, MA 02139, USA'], ['Lane Department of Computer Science and Electrical Engineering, 1220 Evansdale Drive, PO Box 6109, Morgantown, WV 26506, USA', 'Center for Gravitational Waves and Cosmology, West Virginia University, Chestnut Ridge Research Building, Morgantown, WV 26505, USA'], ['McWilliams Center for Cosmology \\& Astrophysics, Department of Physics, Carnegie Mellon University, Pittsburgh, PA 15213, USA'], ['Lane Department of Computer Science and Electrical Engineering, 1220 Evansdale Drive, PO Box 6109, Morgantown, WV 26506, USA', 'Center for Gravitational Waves and Cosmology, West Virginia University, Chestnut Ridge Research Building, Morgantown, WV 26505, USA'], ['National Centre for Radio Astrophysics, Post Bag 3, Ganeshkhind, Pune, 411007, India', 'Department of Astronomy and Astrophysics, Tata Institute of Fundamental Research, Mumbai, 400005, India'], ['National Research Council of Canada, Herzberg Astronomy and Astrophysics, 5071 West Saanich Road, Victoria, BC V9E 2E7, Canada'], ['Department of Physics and Astronomy, Northwestern University, Evanston, IL 60208, USA', 'Center for Interdisciplinary Exploration and Research in Astronomy, Northwestern University, 1800 Sherman Avenue, Evanston, IL 60201, USA'], ['Department of Electrical Engineering, Universidad de Chile, Av. Tupper 2007, Santiago 8370451, Chile'], ['Cornell Center for Astrophysics and Planetary Science, Cornell University, Ithaca, NY 14853, USA'], [""Department of Physics, McGill University, 3600 rue University, Montr\\'eal, QC H3A 2T8, Canada"", ""Trottier Space Institute, McGill University, 3550 rue University, Montr\\'eal, QC H3A 2A7, Canada""], [""Department of Physics, McGill University, 3600 rue University, Montr\\'eal, QC H3A 2T8, Canada"", ""Trottier Space Institute, McGill University, 3550 rue University, Montr\\'eal, QC H3A 2A7, Canada"", 'Anton Pannekoek Institute for Astronomy, University of Amsterdam, Science Park 904, 1098 XH Amsterdam, The Netherlands'], []]"
"WASP-12, shrouded in mystery or just cold gas?",[],[]
The S-PLUS 12-band photometry as a powerful tool for discovery and classification: ten cataclysmic variables in a proof-of-concept study,"['Raimundo Lopes de Oliveira', 'Amanda S. de Araújo', 'Angela C. Krabbe', 'Claudia L. Mendes de Oliveira', 'Koji Mukai', ""Luis A. Guti\\'{e}rrez-Soto"", 'Antonio Kanaan', 'Romualdo Eleutério', 'Marcelo Borges Fernandes', 'Fredi Quispe-Huaynasi', 'William Schoenell', 'Tiago Ribeiro']","[[""Departamento de F\\'isica, Universidade Federal de Sergipe, Av. Marechal Rondon, S/N, 49100-000, S\\~ao Crist\\'ov\\~ao, SE, Brazil"", ""Observat\\'orio Nacional, Rua Gal. Jos\\'e Cristino 77, 20921-400, Rio~de~Janeiro, RJ, Brazil""], [""Observat\\'orio Nacional, Rua Gal. Jos\\'e Cristino 77, 20921-400, Rio~de~Janeiro, RJ, Brazil"", ""Departamento de F\\'isica, Universidade Federal de Sergipe, Av. Marechal Rondon, S/N, 49100-000, S\\~ao Crist\\'ov\\~ao, SE, Brazil""], [""Departamento de Astronomia, Instituto de Astronomia, Geof\\'isica e Ci\\^encias Atmosf\\'ericas, Universidade de S\\~ao Paulo, R. do Mat\\~ao 1226, Cidade Universit\\'aria, 05508-090, S\\~ao Paulo, SP, Brazil""], [""Departamento de Astronomia, Instituto de Astronomia, Geof\\'isica e Ci\\^encias Atmosf\\'ericas, Universidade de S\\~ao Paulo, R. do Mat\\~ao 1226, Cidade Universit\\'aria, 05508-090, S\\~ao Paulo, SP, Brazil""], ['CRESST II and X-ray Astrophysics Laboratory, NASA/GSFC, Greenbelt, MD 20771, USA', 'Department of Physics, University of Maryland, Baltimore County, 1000 Hilltop Circle, Baltimore, MD 21250, USA'], [""Instituto de Astrof\\'{i}sica de La Plata (CCT La Plata - CONICET - UNLP), B1900FWA, La Plata, Argentina""], ['Departamento de Física, Universidade Federal de Santa Catarina, Florianópolis, SC 88040-900, Brazil'], [""Observat\\'orio Nacional, Rua Gal. Jos\\'e Cristino 77, 20921-400, Rio~de~Janeiro, RJ, Brazil""], [""Observat\\'orio Nacional, Rua Gal. Jos\\'e Cristino 77, 20921-400, Rio~de~Janeiro, RJ, Brazil""], [""Observat\\'orio Nacional, Rua Gal. Jos\\'e Cristino 77, 20921-400, Rio~de~Janeiro, RJ, Brazil""], ['The Observatories of the Carnegie Institution for Science, 813 Santa Barbara St, Pasadena, CA 91101, USA'], ['Rubin Observatory Project Office, 950 N. Cherry Ave., Tucson, AZ 85719, USA']]"
NIRPS and TESS reveal a peculiar system around the M dwarf TOI-756: A transiting sub-Neptune and a cold eccentric giant,[],[]
Simulated Real-Time Testing of the Prototype Implementation of the SOFIE Model: The 2025 Space Weather Prediction Testbed Exercise,[],[]
Tails of Gravity: Persistence of Star Formation in the CMZ Environment,[],[]
All-sky search for short gravitational-wave bursts in the first part of the fourth LIGO-Virgo-KAGRA observing run,"['A.~G.~Abac\\,\\orcidlink{0000-0003-4786-2698}', 'I.~Abouelfettouh', 'F.~Acernese', 'K.~Ackley\\,\\orcidlink{0000-0002-8648-0767}', 'C.~Adamcewicz\\,\\orcidlink{0000-0001-5525-6255}', 'S.~Adhicary\\,\\orcidlink{0009-0004-2101-5428}', 'D.~Adhikari', 'N.~Adhikari\\,\\orcidlink{0000-0002-4559-8427}', 'R.~X.~Adhikari\\,\\orcidlink{0000-0002-5731-5076}', 'V.~K.~Adkins', 'S.~Afroz\\,\\orcidlink{0009-0004-4459-2981}', 'A.~Agapito', 'D.~Agarwal\\,\\orcidlink{0000-0002-8735-5554}', 'M.~Agathos\\,\\orcidlink{0000-0002-9072-1121}', 'N.~Aggarwal', 'S.~Aggarwal', 'O.~D.~Aguiar\\,\\orcidlink{0000-0002-2139-4390}', 'I.-L.~Ahrend', 'L.~Aiello\\,\\orcidlink{0000-0003-2771-8816}', 'A.~Ain\\,\\orcidlink{0000-0003-4534-4619}', 'P.~Ajith\\,\\orcidlink{0000-0001-7519-2439}', 'T.~Akutsu\\,\\orcidlink{0000-0003-0733-7530}', 'S.~Albanesi\\,\\orcidlink{0000-0001-7345-4415}']","[['Max Planck Institute for Gravitational Physics (Albert Einstein Institute), D-14476 Potsdam, Germany'], ['LIGO Hanford Observatory, Richland, WA 99352, USA'], ['Dipartimento di Farmacia, Universit\\`a di Salerno, I-84084 Fisciano, Salerno, Italy', 'INFN, Sezione di Napoli, I-80126 Napoli, Italy'], ['University of Warwick, Coventry CV4 7AL, United Kingdom'], ['OzGrav, School of Physics \\& Astronomy, Monash University, Clayton 3800, Victoria, Australia'], ['The Pennsylvania State University, University Park, PA 16802, USA'], ['Max Planck Institute for Gravitational Physics (Albert Einstein Institute), D-30167 Hannover, Germany', 'Leibniz Universit\\""{a}t Hannover, D-30167 Hannover, Germany'], ['University of Wisconsin-Milwaukee, Milwaukee, WI 53201, USA'], ['LIGO Laboratory, California Institute of Technology, Pasadena, CA 91125, USA'], ['Louisiana State University, Baton Rouge, LA 70803, USA'], ['Tata Institute of Fundamental Research, Mumbai 400005, India'], [""Centre de Physique Th\\'eorique, Aix-Marseille Universit\\'e, Campus de Luminy, 163 Av. de Luminy, 13009 Marseille, France""], [""Universit\\'e catholique de Louvain, B-1348 Louvain-la-Neuve, Belgium""], ['Queen Mary University of London, London E1 4NS, United Kingdom'], ['University of California, Davis, Davis, CA 95616, USA'], ['University of Minnesota, Minneapolis, MN 55455, USA'], [""Instituto Nacional de Pesquisas Espaciais, 12227-010 S\\~{a}o Jos\\'{e} dos Campos, S\\~{a}o Paulo, Brazil""], [""Universit\\'e Paris Cit\\'e, CNRS, Astroparticule et Cosmologie, F-75013 Paris, France""], ['Universit\\`a di Roma Tor Vergata, I-00133 Roma, Italy', 'INFN, Sezione di Roma Tor Vergata, I-00133 Roma, Italy'], ['Universiteit Antwerpen, 2000 Antwerpen, Belgium'], ['International Centre for Theoretical Sciences, Tata Institute of Fundamental Research, Bengaluru 560089, India'], ['Gravitational Wave Science Project, National Astronomical Observatory of Japan, 2-21-1 Osawa, Mitaka City, Tokyo 181-8588, Japan', 'Advanced Technology Center, National Astronomical Observatory of Japan, 2-21-1 Osawa, Mitaka City, Tokyo 181-8588, Japan'], ['Theoretisch-Physikalisches Institut, Friedrich-Schiller-Universit\\""at Jena, D-07743 Jena, Germany', 'INFN Sezione di Torino, I-10125 Torino, Italy']]"
Multiphase Astrophysics to Unveil the Virgo Environment (MAUVE),[],[]
Halo Lightcones with Optimised Orientation and Interpolation in Cosmological Simulations -- an application to mock H$α$ selected galaxies,[],[]
Numerical analysis of quasiperiodic oscillations in the Hartle-Thorne spacetime,"['K.~Boshkayev,$^{1,2,3}$\\thanks{kuantay@mail.ru} T.~Konysbayev,$^{1,2}$\\thanks{talgar\\_777@mail.ru} Ye.~Kurmanov,$^{1,2}$\\thanks{kurmanov.yergali@kaznu.kz} M.~Muccino,$^{2,4}$\\thanks{marco.muccino@lnf.infn.it} and H.~ Quevedo,$^{2,5,6}$\\thanks{quevedo@nucleares.unam.mx}\\\\ $^1$National Nanotechnology Laboratory of Open Type, Almaty 050040, Kazakhstan.\\\\ $^2$Al-Farabi Kazakh National University, Al-Farabi ave. 71, 050040 Almaty , Kazakhstan.\\\\ $^3$Institute of Nuclear Physics, Ibragimova, 1, 050032 Almaty, Kazakhstan.\\\\ $^4$Universit\\`a di Camerino, Via Madonna delle Carceri 9, 62032 Camerino, Italy\\\\ $^5$Instituto de Ciencias Nucleares, Universidad Nacional Aut\\`onoma de M\\`exico, Mexico.\\\\ $^6$Dipartimento di Fisica and Icra, Universit\\`a di Roma “La Sapienza”, Roma, Italy.']",[[]]
Synthesizer: a Software Package for Synthetic Astronomical Observables,[],[]
XRISM/Resolve observations of Hercules X-1: vertical structure and kinematics of the disk wind,[],[]
A unified model for long-period radio transients and white dwarf binary pulsars,"[""Csan\\'{a}d Horv\\'{a}th$^{1}$, Nanda Rea$^{2,3}$, Natasha Hurley-Walker$^{1}$, Samuel J. McSweeney$^{1}$, Richard A. Perley$^{4}$, Emil Lenc$^{5}$""]",[[]]
Concurrent Accretion and Migration of Giant Planets in their Natal Disks with Consistent Accretion Torque (II): Parameter Survey and Condition for Outward Migration,[],[]
Characterization of type Ibn SNe,[],[]
Inferring cosmological parameters from galaxy and dark sirens cross-correlation,[],[]
NASA Exoplanet Exploration Program (ExEP) Science Gap List,[],[]
Assessing Ocean World Habitability with HWO,[],[]
Rediscovering the Milky Way with an orbit superposition approach and APOGEE data V. The disc growth and history of star formation,[],[]
The high-speed X-ray camera on AXIS: design and performance updates,[],[]
Biasing from galaxy trough and peak profiles with the DES Y3 redMaGiC galaxies and the weak lensing mass map,[],[]
Free Floating or Merely Detached?,[],[]
SpecpolFlow: a new software package for spectropolarimetry using Python,"['Christiana Erba \\,\\orcidlink{0000-0003-1299-8878}\\, \\thanks{Co-first author}', 'Veronique Petit \\,\\orcidlink{0000-0002-5633-7548}\\,', 'Shaquann Seadrow \\,\\orcidlink{0009-0002-0308-2497}\\,', 'Patrick Stanley \\,\\orcidlink{0000-0002-0378-0140}\\,', 'Tali Natan \\,\\orcidlink{0000-0002-7703-6701}\\,', 'Bonnie Zaire \\,\\orcidlink{0000-0002-9328-9530}\\,', 'Mary E. Oksala \\,\\orcidlink{0000-0003-2580-1464}\\,', 'Federico Villadiego Forero', 'Robin Moore', 'Marisol Catalan Olais \\,\\orcidlink{0009-0006-2442-6235}\\,']","[[], [], [], [], [], [], [], [], [], []]"
Long Secondary Periods in Red Giants: AAVSO Observations and the Eclipse Hypothesis,[],[]
JWST's PEARLS: Temperatures of Nine Highly Magnified Stars in a Galaxy at Redshift z = 0.94 and Simulated Stellar Population Dependence on Stellar Metallicity and the Initial Mass Function,"['Hayley Williams', 'Patrick L. Kelly', 'Rogier A. Windhorst', 'Alexei V. Filippenko', 'Amruth Alfred', 'Tom Broadhurst', 'Wenlei Chen', 'Christopher J.\\ Conselice', 'Seth H. Cohen', ""Jos\\'e M. Diego"", 'Benne W. Holwerda', 'Anton M. Koekemoer', 'Sung Kei Li']","[['School of Physics and Astronomy, University of Minnesota 116 Church Street SE, Minneapolis, MN 55455, USA', 'School of Earth and Space Exploration, Arizona State University, Tempe, AZ 85287-6004, USA'], ['School of Physics and Astronomy, University of Minnesota 116 Church Street SE, Minneapolis, MN 55455, USA'], ['School of Earth and Space Exploration, Arizona State University, Tempe, AZ 85287-6004, USA'], ['Department of Astronomy, University of California, Berkeley, CA 94720-3411, USA'], ['Department of Physics, The University of Hong Kong, Pokfulam Road, Hong Kong'], [""Donostia International Physics Center, DIPC, Basque Country, San Sebasti\\'an, 20018, Spain"", 'Department of Physics, University of Basque Country UPV/EHU, Bilbao, Spain', 'Ikerbasque, Basque Foundation for Science, Bilbao, Spain'], ['Department of Physics, Oklahoma State University, 145 Physical Sciences Bldg, Stillwater, OK 74078, USA'], ['Jodrell Bank Centre for Astrophysics, Alan Turing Building, University of Manchester, Oxford Road, Manchester M13 9PL, UK'], ['School of Earth and Space Exploration, Arizona State University, Tempe, AZ 85287-1404, USA'], [""IFCA, Instituto de F\\'isica de Cantabria (UC-CSIC), Av. de Los Castros s/n, 39005 Santander, Spain""], ['Department of Physics, University of Louisville, Natural Science Building 102, 40292 KY Louisville, USA'], ['Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA'], ['Department of Physics, The University of Hong Kong, Pokfulam Road, Hong Kong']]"
