original_index,arxiv_id,extracted_authors,extracted_affiliations,extracted_countries,first_author_country
10,2501.12716,"[""F. Cantalloube"", ""D. Barret"", ""M. Bouffard"", ""P. Hennebelle"", ""J. Milli"", ""F. Malbet"", ""A. Santerne"", ""N. Fargette"", ""S. Bontemps"", ""C. Moutou"", ""A. Mouini\u00c3\u00a9"", ""H. M\u00c3\u00a9heut"", ""A. Saint-Martin"", ""A. Hardy""]","[""Univ. Grenoble Alpes, CNRS, IPAG, F-38000 Grenoble, France"", ""IRAP, Universit\u00c3\u00a9 de Toulouse, CNRS, CNES, UT3-PS, Toulouse, France"", ""Laboratoire de Plan\u00c3\u00a9tologie et G\u00c3\u00a9osciences, CNRS UMR 6112, Nantes Universit\u00c3\u00a9, Universit\u00c3\u00a9 d'Angers, Le Mans Universit\u00c3\u00a9, Nantes, France"", ""Universit\u00c3\u00a9 Paris-Saclay, Universit\u00c3\u00a9 Paris Cit\u00c3\u00a9, CEA, CNRS, AIM, 91191, Gif-sur-Yvette, France"", ""Univ. Grenoble Alpes, CNRS, IPAG, F-38000 Grenoble, France"", ""Univ. Grenoble Alpes, CNRS, IPAG, F-38000 Grenoble, France"", ""Aix-Marseille Univ, CNRS, CNES, LAM, Marseille, France"", ""The Blackett Laboratory, Department of Physics, Imperial College London, London SW7 2AZ, UK"", ""Laboratoire d\u00e2\u20ac\u2122astrophysique de Bordeaux, Univ. Bordeaux, CNRS, B18N, all\u00c3\u00a9e Geoffroy Saint-Hilaire, 33615 Pessac, France"", ""Laboratoire d\u00e2\u20ac\u2122astrophysique de Bordeaux, Univ. Bordeaux, CNRS, B18N, all\u00c3\u00a9e Geoffroy Saint-Hilaire, 33615 Pessac, France"", ""Laboratoire d\u00e2\u20ac\u2122astrophysique de Bordeaux, Univ. Bordeaux, CNRS, B18N, all\u00c3\u00a9e Geoffroy Saint-Hilaire, 33615 Pessac, France"", ""Universit\u00c3\u00a9 C\textsuperscript{o}te d\u00e2\u20ac\u2122Azur, Observatoire de la C\textsuperscript{o}te d\u00e2\u20ac\u2122Azur, CNRS, Laboratoire Lagrange, Nice, France"", ""Centre europ\u00c3\u00a9en de sociologie et de science politique, CNRS, EHESS, Paris 1"", ""Sciences Po Bordeaux 11 all\u00c3\u00a9e Ausone 33607 Pessac CEDEX - France""]","[""France"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France"", ""UK"", ""France"", ""France"", ""France"", ""France"", ""France"", ""France""]",France
12,2501.12694,"[""Masataka Yukumoto"", ""Koji Mori"", ""Ayaki Takeda"", ""Yusuke Nishioka"", ""Miraku Kimura"", ""Yuta Fuchita"", ""Taiga Yoshida"", ""Takeshi G. Tsuru"", ""Ikuo Kurachi"", ""Kouichi Hagino"", ""Yasuo Arai"", ""Takayoshi Kohmura"", ""Takaaki Tanaka"", ""Kumiko K. Nobukawa""]","[""Department of Applied Physics, Faculty of Engineering, University of Miyazaki, 1-1 Gakuen-Kibanadai-Nishi, Miyazaki, 889-2192, Japan"", ""Department of Applied Physics, Faculty of Engineering, University of Miyazaki, 1-1 Gakuen-Kibanadai-Nishi, Miyazaki, 889-2192, Japan"", ""Department of Applied Physics, Faculty of Engineering, University of Miyazaki, 1-1 Gakuen-Kibanadai-Nishi, Miyazaki, 889-2192, Japan"", ""Department of Applied Physics, Faculty of Engineering, University of Miyazaki, 1-1 Gakuen-Kibanadai-Nishi, Miyazaki, 889-2192, Japan"", ""Department of Applied Physics, Faculty of Engineering, University of Miyazaki, 1-1 Gakuen-Kibanadai-Nishi, Miyazaki, 889-2192, Japan"", ""Department of Applied Physics, Faculty of Engineering, University of Miyazaki, 1-1 Gakuen-Kibanadai-Nishi, Miyazaki, 889-2192, Japan"", ""Department of Applied Physics, Faculty of Engineering, University of Miyazaki, 1-1 Gakuen-Kibanadai-Nishi, Miyazaki, 889-2192, Japan"", ""Department of Physics, Faculty of Science, Kyoto University, Kitashirakawa Oiwake-cho, Sakyo-ku, Kyoto 606-8502, Japan"", ""D&S Inc., 774-3-213 Higashiasakawacho, Hachioji, Tokyo 193-0834, Japan"", ""Department of Physics, University of Tokyo, 7-3-1 Hongo, Bunkyo, Tokyo 113-0033, Japan"", ""Accelerator Laboratory, High Energy Accelerator Research Organization (KEK), 1-1 Oho, Tsukuba 305-0801, Japan"", ""Department of Physics and Astronomy, Faculty of Science and Technology, Tokyo University of Science, 2641 Yamazaki, Noda, Chiba 278-8510, Japan"", ""Department of Physics, Konan University, 8-9-1 Okamoto, Higashinada, Kobe, Hyogo 658-8501, Japan"", ""Faculty of Science and Engineering, Kindai University, 3-4-1 Kowakae, Higashi-Osaka, Osaka 577-8502, Japan""]","[""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan"", ""Japan""]",Japan
14,2501.12665,"[""Yuxuan Pang"", ""Xue-Bing Wu"", ""Yuming Fu"", ""Rui Zhu"", ""Bing Lyu"", ""Huimei Wang"", ""Xiaotong Feng""]","[""Department of Astronomy, School of Physics, Peking University, Beijing 100871, People's Republic of China; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, People's Republic of China"", ""Department of Astronomy, School of Physics, Peking University, Beijing 100871, People's Republic of China; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, People's Republic of China"", ""Leiden Observatory, Leiden University, P.O. Box 9513, NL-2300 RA Leiden, The Netherlands; Kapteyn Astronomical Institute, University of Groningen, P.O. Box 800, NL-9700 AV Groningen, The Netherlands"", ""Department of Astronomy, School of Physics, Peking University, Beijing 100871, People's Republic of China; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, People's Republic of China"", ""Department of Astronomy, School of Physics, Peking University, Beijing 100871, People's Republic of China; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, People's Republic of China"", ""Department of Astronomy, School of Physics, Peking University, Beijing 100871, People's Republic of China; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, People's Republic of China"", ""Department of Astronomy, School of Physics, Peking University, Beijing 100871, People's Republic of China; Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, People's Republic of China""]","[""China"", ""China"", ""Netherlands"", ""China"", ""China"", ""China"", ""China""]",China
15,2501.12661,"[""Ryo Terasawa"", ""Yue Nan"", ""Masahiro Takada""]","[""Kavli Institute for the Physics and Mathematics of the Universe (WPI), The University of Tokyo Institutes for Advanced Study (UTIAS), The University of Tokyo, Chiba 277-8583, Japan; Department of Physics, Graduate School of Science, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113-0033, Japan; Center for Data-Driven Discovery (CD3), Kavli IPMU (WPI), UTIAS, The University of Tokyo, Kashiwa, Chiba 277-8583, Japan"", ""Kavli Institute for the Physics and Mathematics of the Universe (WPI), The University of Tokyo Institutes for Advanced Study (UTIAS), The University of Tokyo, Chiba 277-8583, Japan; Center for Data-Driven Discovery (CD3), Kavli IPMU (WPI), UTIAS, The University of Tokyo, Kashiwa, Chiba 277-8583, Japan"", ""Kavli Institute for the Physics and Mathematics of the Universe (WPI), The University of Tokyo Institutes for Advanced Study (UTIAS), The University of Tokyo, Chiba 277-8583, Japan; Center for Data-Driven Discovery (CD3), Kavli IPMU (WPI), UTIAS, The University of Tokyo, Kashiwa, Chiba 277-8583, Japan""]","[""Japan"", ""Japan"", ""Japan""]",Japan
16,2501.12658,"[""Hidenori Matsui"", ""Kenji Bekki"", ""Madeleine McKenzie"", ""Takayuki R. Saitoh""]","[""National Institute of Technology, Asahikawa College, Shunkodai 2-2-1-6, Asahikawa, Hokkaido, 071-8142, Japan; International Centre for Radio Astronomy Research (ICRAR), M468, The University of Western Australia, 35 Stirling Hwy, Crawley, Western Australia, 6009, Australia"", ""International Centre for Radio Astronomy Research (ICRAR), M468, The University of Western Australia, 35 Stirling Hwy, Crawley, Western Australia, 6009, Australia"", ""Research School of Astronomy & Astrophysics, Australian National University, Canberra, ACT 2611, Australia; ARC Centre of Excellence for Astrophysics in Three Dimensions (ASTRO-3D), Canberra 2611, Australia"", ""Department of Planetology, Graduate School of Science, Kobe University, 1-1 Rokkodai-cho, Nada-ku, Kobe, Hyogo 657-8501, Japan; Center for Planetary Science (CPS), Graduate School of Science, Kobe University, 1-1 Rokkodai-cho, Nada-ku, Kobe, Hyogo 657-8501, Japan""]","[""Japan; Australia"", ""Australia"", ""Australia"", ""Japan""]",Japan; Australia
17,2501.12650,"[""Linghong Lin"", ""Beibei Liu"", ""Zekai Zheng""]","[""Institute for Astronomy, School of Physics, Zhejiang University, Hangzhou 310027, China"", ""Institute for Astronomy, School of Physics, Zhejiang University, Hangzhou 310027, China; Department of Physics, National University of Singapore, Singapore 117542, Singapore"", ""Institute for Astronomy, School of Physics, Zhejiang University, Hangzhou 310027, China; Department of Physics, National University of Singapore, Singapore 117542, Singapore""]","[""China"", ""China; Singapore"", ""China; Singapore""]",China
18,2501.12809,"[""Lorenzo V. Mugnai"", ""Andrea Bocchieri"", ""Enzo Pascale"", ""Andrea Lorenzani"", ""Andreas Papageorgiou""]","[""Dipartimento di Fisica, La Sapienza Universit`a di Roma, Piazzale Aldo Moro 5, Roma, 00185, Italy; School of Physics and Astronomy, Cardiff University, Queens Buildings, The Parade, Cardiff, CF24 3AA, UK; Department of Physics and Astronomy, University College London, Gower Street, London, WC1E 6BT, UK; Osservatorio Astronomico di Palermo, INAF, Piazza del Parlamento 1, Palermo, 90134, Italy"", ""Dipartimento di Fisica, La Sapienza Universit`a di Roma, Piazzale Aldo Moro 5, Roma, 00185, Italy"", ""Dipartimento di Fisica, La Sapienza Universit`a di Roma, Piazzale Aldo Moro 5, Roma, 00185, Italy"", ""Osservatorio Astrofisico di Arcetri, INAF, Largo E. Fermi 5, Firenze, 50125, Italy"", ""School of Physics and Astronomy, Cardiff University, Queens Buildings, The Parade, Cardiff, CF24 3AA, UK""]","[""Italy; UK"", ""Italy"", ""Italy"", ""Italy"", ""UK""]",Italy; UK
19,2501.12636,"[""Ethan O. Nadler"", ""Andrew J. Benson""]","[""Department of Astronomy & Astrophysics, University of California, San Diego, La Jolla, California 92093, USA"", ""Carnegie Observatories, 813 Santa Barbara Street, Pasadena, California 91101, USA""]","[""USA"", ""USA""]",USA
20,2501.12822,"[""Sara Evangelista"", ""Jens Chluba"", ""Francesco Pace""]","[""Dipartimento di Fisica, Universit`a degli Studi di Torino, Via P. Giuria 1, I-10125, Torino, Italy"", ""Jodrell Bank Centre for Astrophysics, School of Physics and Astronomy, The University of Manchester, Manchester M13 9PL, U.K."", ""Dipartimento di Fisica, Universit`a degli Studi di Torino, Via P. Giuria 1, I-10125, Torino, Italy; INFN-Sezione di Torino, Via P. Giuria 1, I-10125, Torino, Italy; INAF-Istituto Nazionale di Astrofisica, Osservatorio Astrofisico di Torino, strada Osservatorio 20, 10025, Pino Torinese, Italy""]","[""Italy"", ""United Kingdom"", ""Italy""]",Italy
21,2501.12905,"[""Hristijan Kochankovski"", ""Georgios Lioutas"", ""Sebastian Blacker"", ""Andreas Bauswein"", ""Angels Ramos"", ""Laura Tolos""]","[""Departament de F\u00c3\u00adsica Qu\u00c3 ntica i Astrof\u00c3\u00adsica and Institut de Ci\u00c3\u00a8ncies del Cosmos, Universitat de Barcelona, Mart\u00c3\u00ad i Franqu\u00c3 s 1, 08028, Barcelona, Spain"", ""GSI Helmholtzzentrum f\""ur Schwerionenforschung, Planckstra{\\ss}e 1, 64291 Darmstadt, Germany; Heidelberger Institut f\u00c3\u00bcr Theoretische Studien (HITS), Schloss-Wolfsbrunnenweg 35, 69118 Heidelberg, Germany"", ""Institut f\""ur Kernphysik, Technische Universit\""at Darmstadt, 64289 Darmstadt, Germany; GSI Helmholtzzentrum f\""ur Schwerionenforschung, Planckstra{\\ss}e 1, 64291 Darmstadt, Germany"", ""GSI Helmholtzzentrum f\""ur Schwerionenforschung, Planckstra{\\ss}e 1, 64291 Darmstadt, Germany; Helmholtz Research Academy Hesse for FAIR (HFHF), Campus Darmstadt, 64291 Darmstadt, Germany"", ""Departament de F\u00c3\u00adsica Qu\u00c3 ntica i Astrof\u00c3\u00adsica and Institut de Ci\u00c3\u00a8ncies del Cosmos, Universitat de Barcelona, Mart\u00c3\u00ad i Franqu\u00c3 s 1, 08028, Barcelona, Spain"", ""Institute of Space Sciences (ICE, CSIC), Campus UAB, Carrer de Can Magrans, 08193 Barcelona, Spain; Institut d'Estudis Espacials de Catalunya (IEEC), 08860 Castelldefels (Barcelona), Spain""]","[""Spain"", ""Germany"", ""Germany"", ""Germany"", ""Spain"", ""Spain""]",Spain
22,2501.13090,"[""Anumanchi Agastya Sai Ram Likhit"", ""Katta Naveen"", ""Arul Pandian B"", ""Abhishek R"", ""Prabu T""]","[""Department of Physics, Indian Institute of Science Education and Research Bhopal, 462066, India"", ""Department of Physics, Indian Institute of Science Education and Research Bhopal, 462066, India"", ""Electronics Engineering Group, Raman Research Institute, 560080, India"", ""Electronics Engineering Group, Raman Research Institute, 560080, India"", ""Electronics Engineering Group, Raman Research Institute, 560080, India""]","[""India"", ""India"", ""India"", ""India"", ""India""]",India
23,2501.13082,"[""Xihan Ji"", ""Roberto Maiolino"", ""Hannah \""Ubler"", ""Jan Scholtz"", ""Francesco D'Eugenio"", ""Fengwu Sun"", ""Michele Perna"", ""Hannah Turner"", ""Stefano Carniani"", ""Santiago Arribas"", ""Jake S. Bennett"", ""Andrew Bunker"", ""St\u00c3\u00a9phane Charlot"", ""Giovanni Cresci"", ""Mirko Curti"", ""Eiichi Egami"", ""Andy Fabian"", ""Kohei Inayoshi"", ""Yuki Isobe"", ""Gareth Jones"", ""Ignas Juod\u00c5\u00bebalis"", ""Nimisha Kumari"", ""Jianwei Lyu"", ""Giovanni Mazzolari"", ""Eleonora Parlanti"", ""Brant Robertson"", ""Bruno~Rodr\u00c3\u00adguez~Del~Pino"", ""Raffaella Schneider"", ""Debora Sijacki"", ""Sandro Tacchella"", ""Alessandro Trinca"", ""Rosa Valiante"", ""Giacomo Venturi"", ""Marta Volonteri"", ""Chris Willott"", ""Callum Witten"", ""Joris Witstok""]","[""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Institute of Science and Technology Austria (ISTA), Am Campus 1, Klosterneuburg 3400, Austria"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Institute of Science and Technology Austria (ISTA), Am Campus 1, Klosterneuburg 3400, Austria"", ""University of Toledo, Department of Physics and Astronomy and Ritter Astrophysical Research Center, 2801 W. Bancroft Street, Toledo, Ohio 43606"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""University of Toledo, Department of Physics and Astronomy and Ritter Astrophysical Research Center, 2801 W. Bancroft Street, Toledo, Ohio 43606"", ""Institute of Space Sciences (ICE, CSIC), Campus UAB, Carrer de Can Magrans, s/n, 08193 Barcelona, Spain"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Institute of Space Sciences (ICE, CSIC), Campus UAB, Carrer de Can Magrans, s/n, 08193 Barcelona, Spain"", ""University of Toledo, Department of Physics and Astronomy and Ritter Astrophysical Research Center, 2801 W. Bancroft Street, Toledo, Ohio 43606"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Institute of Space Sciences (ICE, CSIC), Campus UAB, Carrer de Can Magrans, s/n, 08193 Barcelona, Spain"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA""]","[""USA; Austria"", ""USA; Austria"", ""USA"", ""USA"", ""USA"", ""USA"", ""Spain"", ""USA"", ""USA"", ""Spain"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""Spain"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",USA
